Name;Type;DLL;SymbolOrOrdinal
CLIPFORMAT_UserFreeExt;code;ole32.dll;?CLIPFORMAT_UserFreeExt@@YAXPAKPAG@Z (void __cdecl CLIPFORMAT_UserFreeExt(unsigned long *,unsigned short *))
CLIPFORMAT_UserMarshalExt;code;ole32.dll;?CLIPFORMAT_UserMarshalExt@@YAPAEPAKPAEPAG@Z (unsigned char * __cdecl CLIPFORMAT_UserMarshalExt(unsigned long *,unsigned char *,unsigned short *))
CLIPFORMAT_UserSizeExt;code;ole32.dll;?CLIPFORMAT_UserSizeExt@@YAKPAKKPAG@Z (unsigned long __cdecl CLIPFORMAT_UserSizeExt(unsigned long *,unsigned long,unsigned short *))
CLIPFORMAT_UserUnmarshalExt;code;ole32.dll;?CLIPFORMAT_UserUnmarshalExt@@YAPAEPAKPAEPAG@Z (unsigned char * __cdecl CLIPFORMAT_UserUnmarshalExt(unsigned long *,unsigned char *,unsigned short *))
HPALETTE_UserFreeExt;code;ole32.dll;?HPALETTE_UserFreeExt@@YAXPAKPAPAUHPALETTE__@@@Z (void __cdecl HPALETTE_UserFreeExt(unsigned long *,struct HPALETTE__ * *))
HPALETTE_UserMarshalExt;code;ole32.dll;?HPALETTE_UserMarshalExt@@YAPAEPAKPAEPAPAUHPALETTE__@@@Z (unsigned char * __cdecl HPALETTE_UserMarshalExt(unsigned long *,unsigned char *,struct HPALETTE__ * *))
HPALETTE_UserSizeExt;code;ole32.dll;?HPALETTE_UserSizeExt@@YAKPAKKPAPAUHPALETTE__@@@Z (unsigned long __cdecl HPALETTE_UserSizeExt(unsigned long *,unsigned long,struct HPALETTE__ * *))
HPALETTE_UserUnmarshalExt;code;ole32.dll;?HPALETTE_UserUnmarshalExt@@YAPAEPAKPAEPAPAUHPALETTE__@@@Z (unsigned char * __cdecl HPALETTE_UserUnmarshalExt(unsigned long *,unsigned char *,struct HPALETTE__ * *))
HWND_UserFreeExt;code;ole32.dll;?HWND_UserFreeExt@@YAXPAKPAPAUHWND__@@@Z (void __cdecl HWND_UserFreeExt(unsigned long *,struct HWND__ * *))
HWND_UserMarshalExt;code;ole32.dll;?HWND_UserMarshalExt@@YAPAEPAKPAEPAPAUHWND__@@@Z (unsigned char * __cdecl HWND_UserMarshalExt(unsigned long *,unsigned char *,struct HWND__ * *))
HWND_UserSizeExt;code;ole32.dll;?HWND_UserSizeExt@@YAKPAKKPAPAUHWND__@@@Z (unsigned long __cdecl HWND_UserSizeExt(unsigned long *,unsigned long,struct HWND__ * *))
HWND_UserUnmarshalExt;code;ole32.dll;?HWND_UserUnmarshalExt@@YAPAEPAKPAEPAPAUHWND__@@@Z (unsigned char * __cdecl HWND_UserUnmarshalExt(unsigned long *,unsigned char *,struct HWND__ * *))
MonikerLoadTypeLib;code;ole32.dll;?MonikerLoadTypeLib@@YAJPBGPAPAUITypeLib@@@Z (long __cdecl MonikerLoadTypeLib(unsigned short const *,struct ITypeLib * *))
ReadStorageProperties;code;ole32.dll;?ReadStorageProperties@@YAJPAUIStorage@@PAU_GUID@@@Z (long __cdecl ReadStorageProperties(struct IStorage *,struct _GUID *))
STGMEDIUM_UserFreeExt;code;ole32.dll;?STGMEDIUM_UserFreeExt@@YAXPAKPAUtagSTGMEDIUM@@@Z (void __cdecl STGMEDIUM_UserFreeExt(unsigned long *,struct tagSTGMEDIUM *))
STGMEDIUM_UserMarshalExt;code;ole32.dll;?STGMEDIUM_UserMarshalExt@@YAPAEPAKPAEPAUtagSTGMEDIUM@@@Z (unsigned char * __cdecl STGMEDIUM_UserMarshalExt(unsigned long *,unsigned char *,struct tagSTGMEDIUM *))
