Name;Type;DLL;SymbolOrOrdinal
PrjAllocateAlignedBuffer;code;PROJECTEDFSLIB.dll;
PrjClearNegativePathCache;code;PROJECTEDFSLIB.dll;
PrjCloseFile;code;PROJECTEDFSLIB.dll;
PrjCommandCallbacksInit;code;PROJECTEDFSLIB.dll;
PrjCompleteCommand;code;PROJECTEDFSLIB.dll;
PrjConfigureVolume;code;PROJECTEDFSLIB.dll;
PrjConvertDirectoryToPlaceholder;code;PROJECTEDFSLIB.dll;
PrjCreatePlaceholderAsHardlink;code;PROJECTEDFSLIB.dll;
PrjDeleteFile;code;PROJECTEDFSLIB.dll;
PrjDetachDriver;code;PROJECTEDFSLIB.dll;
PrjDoesNameContainWildCards;code;PROJECTEDFSLIB.dll;
PrjFileNameCompare;code;PROJECTEDFSLIB.dll;
PrjFileNameMatch;code;PROJECTEDFSLIB.dll;
PrjFillDirEntryBuffer;code;PROJECTEDFSLIB.dll;
PrjFreeAlignedBuffer;code;PROJECTEDFSLIB.dll;
PrjGetOnDiskFileState;code;PROJECTEDFSLIB.dll;
PrjGetVirtualizationInstanceIdFromHandle;code;PROJECTEDFSLIB.dll;
PrjGetVirtualizationInstanceInfo;code;PROJECTEDFSLIB.dll;
PrjMarkDirectoryAsPlaceholder;code;PROJECTEDFSLIB.dll;
PrjOpenFile;code;PROJECTEDFSLIB.dll;
PrjReadFile;code;PROJECTEDFSLIB.dll;
PrjStartVirtualizationInstance;code;PROJECTEDFSLIB.dll;
PrjStartVirtualizationInstanceEx;code;PROJECTEDFSLIB.dll;
PrjStartVirtualizing;code;PROJECTEDFSLIB.dll;
PrjStopVirtualizationInstance;code;PROJECTEDFSLIB.dll;
PrjStopVirtualizing;code;PROJECTEDFSLIB.dll;
PrjUpdateFileIfNeeded;code;PROJECTEDFSLIB.dll;
PrjUpdatePlaceholderIfNeeded;code;PROJECTEDFSLIB.dll;
PrjWriteFile;code;PROJECTEDFSLIB.dll;
PrjWriteFileData;code;PROJECTEDFSLIB.dll;
PrjWritePlaceholderInfo;code;PROJECTEDFSLIB.dll;
PrjWritePlaceholderInformation;code;PROJECTEDFSLIB.dll;
PrjpReadPrjReparsePointData;code;PROJECTEDFSLIB.dll;
