Name;Type;DLL;SymbolOrOrdinal
BCryptAddContextFunction;code;bcrypt.dll;
BCryptCloseAlgorithmProvider;code;bcrypt.dll;
BCryptConfigureContext;code;bcrypt.dll;
BCryptConfigureContextFunction;code;bcrypt.dll;
BCryptCreateContext;code;bcrypt.dll;
BCryptCreateHash;code;bcrypt.dll;
BCryptCreateMultiHash;code;bcrypt.dll;
BCryptDecrypt;code;bcrypt.dll;
BCryptDeleteContext;code;bcrypt.dll;
BCryptDeriveKey;code;bcrypt.dll;
BCryptDeriveKeyCapi;code;bcrypt.dll;
BCryptDeriveKeyPBKDF2;code;bcrypt.dll;
BCryptDestroyHash;code;bcrypt.dll;
BCryptDestroyKey;code;bcrypt.dll;
BCryptDestroySecret;code;bcrypt.dll;
BCryptDuplicateHash;code;bcrypt.dll;
BCryptDuplicateKey;code;bcrypt.dll;
BCryptEncrypt;code;bcrypt.dll;
BCryptEnumAlgorithms;code;bcrypt.dll;
BCryptEnumContextFunctionProviders;code;bcrypt.dll;
BCryptEnumContextFunctions;code;bcrypt.dll;
BCryptEnumContexts;code;bcrypt.dll;
BCryptEnumProviders;code;bcrypt.dll;
BCryptEnumRegisteredProviders;code;bcrypt.dll;
BCryptExportKey;code;bcrypt.dll;
BCryptFinalizeKeyPair;code;bcrypt.dll;
BCryptFinishHash;code;bcrypt.dll;
BCryptFreeBuffer;code;bcrypt.dll;
BCryptGenRandom;code;bcrypt.dll;
BCryptGenerateKeyPair;code;bcrypt.dll;
BCryptGenerateSymmetricKey;code;bcrypt.dll;
BCryptGetFipsAlgorithmMode;code;bcrypt.dll;
BCryptGetProperty;code;bcrypt.dll;
BCryptHash;code;bcrypt.dll;
BCryptHashData;code;bcrypt.dll;
BCryptImportKey;code;bcrypt.dll;
BCryptImportKeyPair;code;bcrypt.dll;
BCryptKeyDerivation;code;bcrypt.dll;
BCryptOpenAlgorithmProvider;code;bcrypt.dll;
BCryptProcessMultiOperations;code;bcrypt.dll;
BCryptQueryContextConfiguration;code;bcrypt.dll;
BCryptQueryContextFunctionConfiguration;code;bcrypt.dll;
BCryptQueryContextFunctionProperty;code;bcrypt.dll;
BCryptQueryProviderRegistration;code;bcrypt.dll;
BCryptRegisterConfigChangeNotify;code;bcrypt.dll;
BCryptRemoveContextFunction;code;bcrypt.dll;
BCryptResolveProviders;code;bcrypt.dll;
BCryptSecretAgreement;code;bcrypt.dll;
BCryptSetAuditingInterface;code;bcrypt.dll;
BCryptSetContextFunctionProperty;code;bcrypt.dll;
BCryptSetProperty;code;bcrypt.dll;
BCryptSignHash;code;bcrypt.dll;
BCryptUnregisterConfigChangeNotify;code;bcrypt.dll;
BCryptVerifySignature;code;bcrypt.dll;
