Name;Type;DLL;SymbolOrOrdinal
BluetoothAuthenticateDevice;code;bthprops.cpl;
BluetoothAuthenticateDeviceEx;code;bthprops.cpl;
BluetoothAuthenticateMultipleDevices;code;bthprops.cpl;
BluetoothAuthenticationAgent;code;bthprops.cpl;
BluetoothDisconnectDevice;code;bthprops.cpl;
BluetoothDisplayDeviceProperties;code;bthprops.cpl;
BluetoothEnableDiscovery;code;bthprops.cpl;
BluetoothEnableIncomingConnections;code;bthprops.cpl;
BluetoothEnumerateInstalledServices;code;bthprops.cpl;
BluetoothFindDeviceClose;code;bthprops.cpl;
BluetoothFindFirstDevice;code;bthprops.cpl;
BluetoothFindFirstRadio;code;bthprops.cpl;
BluetoothFindFirstService;code;bthprops.cpl;
BluetoothFindNextDevice;code;bthprops.cpl;
BluetoothFindNextRadio;code;bthprops.cpl;
BluetoothFindNextService;code;bthprops.cpl;
BluetoothFindRadioClose;code;bthprops.cpl;
BluetoothFindServiceClose;code;bthprops.cpl;
BluetoothGetDeviceInfo;code;bthprops.cpl;
BluetoothGetRadioInfo;code;bthprops.cpl;
BluetoothIsConnectable;code;bthprops.cpl;
BluetoothIsDiscoverable;code;bthprops.cpl;
BluetoothIsVersionAvailable;code;bthprops.cpl;
BluetoothRegisterForAuthentication;code;bthprops.cpl;
BluetoothRegisterForAuthenticationEx;code;bthprops.cpl;
BluetoothRemoveDevice;code;bthprops.cpl;
BluetoothSdpEnumAttributes;code;bthprops.cpl;
BluetoothSdpGetAttributeValue;code;bthprops.cpl;
BluetoothSdpGetContainerElementData;code;bthprops.cpl;
BluetoothSdpGetElementData;code;bthprops.cpl;
BluetoothSdpGetString;code;bthprops.cpl;
BluetoothSendAuthenticationResponse;code;bthprops.cpl;
BluetoothSendAuthenticationResponseEx;code;bthprops.cpl;
BluetoothSetLocalServiceInfo;code;bthprops.cpl;
BluetoothSetServiceState;code;bthprops.cpl;
BluetoothUnregisterAuthentication;code;bthprops.cpl;
BluetoothUpdateDeviceRecord;code;bthprops.cpl;
CPlApplet;code;bthprops.cpl;
