Name;Type;DLL;SymbolOrOrdinal
CfAbortHydration;code;CLDAPI.dll;
CfCloseAppPolicy;code;CLDAPI.dll;
CfCloseHandle;code;CLDAPI.dll;
CfConnectSyncRoot;code;CLDAPI.dll;
CfConvertToPlaceholder;code;CLDAPI.dll;
CfCreatePlaceholders;code;CLDAPI.dll;
CfDehydratePlaceholder;code;CLDAPI.dll;
CfDisconnectSyncRoot;code;CLDAPI.dll;
CfEnumAppPolicy;code;CLDAPI.dll;
CfExecute;code;CLDAPI.dll;
CfGetCorrelationVector;code;CLDAPI.dll;
CfGetLastSyncStatus;code;CLDAPI.dll;
CfGetPlaceholderInfo;code;CLDAPI.dll;
CfGetPlaceholderRangeInfo;code;CLDAPI.dll;
CfGetPlaceholderStateFromAttributeTag;code;CLDAPI.dll;
CfGetPlaceholderStateFromFileInfo;code;CLDAPI.dll;
CfGetPlaceholderStateFromFindData;code;CLDAPI.dll;
CfGetPlatformInfo;code;CLDAPI.dll;
CfGetSyncRootInfoByHandle;code;CLDAPI.dll;
CfGetSyncRootInfoByPath;code;CLDAPI.dll;
CfGetTransferKey;code;CLDAPI.dll;
CfGetWin32HandleFromProtectedHandle;code;CLDAPI.dll;
CfHydratePlaceholder;code;CLDAPI.dll;
CfLockProperties;code;CLDAPI.dll;
CfOpenAppPolicy;code;CLDAPI.dll;
CfOpenFileWithOplock;code;CLDAPI.dll;
CfOpenProgressEvent;code;CLDAPI.dll;
CfQueryProgress;code;CLDAPI.dll;
CfQuerySyncProviderStatus;code;CLDAPI.dll;
CfReferenceProtectedHandle;code;CLDAPI.dll;
CfRegisterSyncRoot;code;CLDAPI.dll;
CfReleaseProtectedHandle;code;CLDAPI.dll;
CfReleaseTransferKey;code;CLDAPI.dll;
CfReportProviderProgress;code;CLDAPI.dll;
CfReportSyncStatus;code;CLDAPI.dll;
CfRetrieveProperties;code;CLDAPI.dll;
CfRevertPlaceholder;code;CLDAPI.dll;
CfSetAppPolicy;code;CLDAPI.dll;
CfSetCorrelationVector;code;CLDAPI.dll;
CfSetInSyncState;code;CLDAPI.dll;
CfSetPinState;code;CLDAPI.dll;
CfStoreProperties;code;CLDAPI.dll;
CfUnlockProperties;code;CLDAPI.dll;
CfUnregisterSyncRoot;code;CLDAPI.dll;
CfUpdatePlaceholder;code;CLDAPI.dll;
CfUpdateSyncProviderStatus;code;CLDAPI.dll;
