Name;Type;DLL;SymbolOrOrdinal
DeviceAdvancedPropertiesA;code;DEVMGR.DLL;17
DeviceAdvancedPropertiesW;code;DEVMGR.DLL;18
DeviceCreateHardwarePage;code;DEVMGR.DLL;19
DeviceCreateHardwarePageCustom;code;DEVMGR.DLL;25
DeviceCreateHardwarePageEx;code;DEVMGR.DLL;20
DeviceManager_ExecuteA;code;DEVMGR.DLL;9
DeviceManager_ExecuteW;code;DEVMGR.DLL;10
DeviceProblemTextA;code;DEVMGR.DLL;11
DeviceProblemTextW;code;DEVMGR.DLL;12
DeviceProblemWizardA;code;DEVMGR.DLL;13
DeviceProblemWizardW;code;DEVMGR.DLL;14
DeviceProblenWizard_RunDLLA;code;DEVMGR.DLL;23
DeviceProblenWizard_RunDLLW;code;DEVMGR.DLL;24
DevicePropertiesA;code;DEVMGR.DLL;7
DevicePropertiesExA;code;DEVMGR.DLL;21
DevicePropertiesExW;code;DEVMGR.DLL;22
DevicePropertiesW;code;DEVMGR.DLL;8
DeviceProperties_RunDLLA;code;DEVMGR.DLL;5
DeviceProperties_RunDLLW;code;DEVMGR.DLL;6
