Name;Type;DLL;SymbolOrOrdinal
SetupWithCYS;code;MPRSNAP.dll;?SetupWithCYS@@YAJKPAPAX@Z (long __cdecl SetupWithCYS(unsigned long,void * *))
AddIpPerInterfaceBlocks;code;MPRSNAP.dll;
ConnectInterface;code;MPRSNAP.dll;
ConnectInterfaceEx;code;MPRSNAP.dll;
ConnectRegistry;code;MPRSNAP.dll;
ConnectRouter;code;MPRSNAP.dll;
CreateInfoBase;code;MPRSNAP.dll;
CreateInterfaceInfo;code;MPRSNAP.dll;
CreateInterfaceInfoAggregation;code;MPRSNAP.dll;
CreateRouterInfo;code;MPRSNAP.dll;
CreateRouterInfoAggregation;code;MPRSNAP.dll;
CreateRtrMgrInfoAggregation;code;MPRSNAP.dll;
CreateRtrMgrInterfaceInfo;code;MPRSNAP.dll;
CreateRtrMgrInterfaceInfoAggregation;code;MPRSNAP.dll;
CreateRtrMgrProtocolInfo;code;MPRSNAP.dll;
CreateRtrMgrProtocolInfoAggregation;code;MPRSNAP.dll;
CreateRtrMgrProtocolInterfaceInfo;code;MPRSNAP.dll;
CreateRtrMgrProtocolInterfaceInfoAggregation;code;MPRSNAP.dll;
DisconnectRegistry;code;MPRSNAP.dll;
ErasePSK;code;MPRSNAP.dll;
ForceGlobalRefresh;code;MPRSNAP.dll;
GetNTVersion;code;MPRSNAP.dll;
GetRouterServiceStartType;code;MPRSNAP.dll;
GetRouterServiceStatus;code;MPRSNAP.dll;
GetRouterUpTime;code;MPRSNAP.dll;
IsNT4Machine;code;MPRSNAP.dll;
IsRouterServiceRunning;code;MPRSNAP.dll;
LoadInfoBase;code;MPRSNAP.dll;
LookupRtrMgr;code;MPRSNAP.dll;
LookupRtrMgrInterface;code;MPRSNAP.dll;
LookupRtrMgrProtocol;code;MPRSNAP.dll;
LookupRtrMgrProtocolInterface;code;MPRSNAP.dll;
MprConfigServerUnattendedInstall;code;MPRSNAP.dll;
PauseRouterService;code;MPRSNAP.dll;
PromptForCredentials;code;MPRSNAP.dll;
QueryRouterType;code;MPRSNAP.dll;
QueryRouterVersionInfo;code;MPRSNAP.dll;
ResumeRouterService;code;MPRSNAP.dll;
SetRouterServiceStartType;code;MPRSNAP.dll;
StartRAMgmtService;code;MPRSNAP.dll;
StartRouterService;code;MPRSNAP.dll;
StopRAMgmtService;code;MPRSNAP.dll;
StopRouterService;code;MPRSNAP.dll;
UpdateDDM;code;MPRSNAP.dll;
UpdateRoutes;code;MPRSNAP.dll;
UpdateRoutesEx;code;MPRSNAP.dll;
