Name;Type;DLL;SymbolOrOrdinal
AddPointerInteractionContext;code;NInput.dll;
BufferPointerPacketsInteractionContext;code;NInput.dll;
CreateInteractionContext;code;NInput.dll;
DestroyInteractionContext;code;NInput.dll;
GetCrossSlideParameterInteractionContext;code;NInput.dll;
GetHoldParameterInteractionContext;code;NInput.dll;
GetInertiaParameterInteractionContext;code;NInput.dll;
GetInteractionConfigurationInteractionContext;code;NInput.dll;
GetMouseWheelParameterInteractionContext;code;NInput.dll;
GetPropertyInteractionContext;code;NInput.dll;
GetStateInteractionContext;code;NInput.dll;
GetTapParameterInteractionContext;code;NInput.dll;
GetTranslationParameterInteractionContext;code;NInput.dll;
ProcessBufferedPacketsInteractionContext;code;NInput.dll;
ProcessInertiaInteractionContext;code;NInput.dll;
ProcessPointerFramesInteractionContext;code;NInput.dll;
RegisterOutputCallbackInteractionContext;code;NInput.dll;
RegisterOutputCallbackInteractionContext2;code;NInput.dll;
RemovePointerInteractionContext;code;NInput.dll;
ResetInteractionContext;code;NInput.dll;
SetCrossSlideParametersInteractionContext;code;NInput.dll;
SetHoldParameterInteractionContext;code;NInput.dll;
SetInertiaParameterInteractionContext;code;NInput.dll;
SetInteractionConfigurationInteractionContext;code;NInput.dll;
SetMouseWheelParameterInteractionContext;code;NInput.dll;
SetPivotInteractionContext;code;NInput.dll;
SetPropertyInteractionContext;code;NInput.dll;
SetTapParameterInteractionContext;code;NInput.dll;
SetTranslationParameterInteractionContext;code;NInput.dll;
StopInteractionContext;code;NInput.dll;
