Name;Type;DLL;SymbolOrOrdinal
SetRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoTransformErrorW;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoTransformError;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoSetErrorReportingFlags;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoResolveRestrictedErrorInfoReference;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoOriginateErrorW;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoOriginateError;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoGetErrorReportingFlags;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoFailFastWithErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoCaptureErrorContext;code;api-ms-win-core-winrt-error-l1-1-0.dll;
GetRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-0.dll;
RoReportUnhandledError;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoReportFailedDelegate;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoOriginateLanguageException;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoInspectThreadErrorInfo;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoInspectCapturedStackBackTrace;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoGetMatchingRestrictedErrorInfo;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoClearError;code;api-ms-win-core-winrt-error-l1-1-1.dll;
IsErrorPropagationEnabled;code;api-ms-win-core-winrt-error-l1-1-1.dll;
RoUnregisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoUninitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRevokeActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoInitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetApartmentIdentifier;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetActivationFactory;code;api-ms-win-core-winrt-l1-1-0.dll;
RoActivateInstance;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetServerActivatableClasses;code;api-ms-win-core-winrt-registration-l1-1-0.dll;
RoGetActivatableClassRegistration;code;api-ms-win-core-winrt-registration-l1-1-0.dll;
RoGetBufferMarshaler;code;api-ms-win-core-winrt-robuffer-l1-1-0.dll;
RoParameterizedTypeExtraGetTypeSignature;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;
RoGetParameterizedTypeInstanceIID;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;
RoFreeParameterizedTypeExtra;code;api-ms-win-core-winrt-roparameterizediid-l1-1-0.dll;
WindowsTrimStringStart;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsTrimStringEnd;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsSubstringWithSpecifiedLength;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsSubstring;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsStringHasEmbeddedNull;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsReplaceString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsPromoteStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsPreallocateStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsIsStringEmpty;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsInspectString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsGetStringRawBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsGetStringLen;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsDuplicateString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsDeleteStringBuffer;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsDeleteString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsCreateStringReference;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsCreateString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsConcatString;code;api-ms-win-core-winrt-string-l1-1-0.dll;
WindowsCompareStringOrdinal;code;api-ms-win-core-winrt-string-l1-1-0.dll;
HSTRING_UserUnmarshal;code;api-ms-win-core-winrt-string-l1-1-0.dll;
HSTRING_UserSize;code;api-ms-win-core-winrt-string-l1-1-0.dll;
HSTRING_UserMarshal;code;api-ms-win-core-winrt-string-l1-1-0.dll;
HSTRING_UserFree;code;api-ms-win-core-winrt-string-l1-1-0.dll;
RoGetMetaDataFile;code;api-ms-win-ro-typeresolution-l1-1-0.dll;
RoParseTypeName;code;api-ms-win-ro-typeresolution-l1-1-0.dll;
RoResolveNamespace;code;api-ms-win-ro-typeresolution-l1-1-0.dll;
