Name;Type;DLL;SymbolOrOrdinal
AddUrlToFavorites;code;SHDOCVW.dll;
DllRegisterWindowClasses;code;SHDOCVW.dll;
DoAddToFavDlg;code;SHDOCVW.dll;
DoAddToFavDlgW;code;SHDOCVW.dll;
DoFileDownload;code;SHDOCVW.dll;
DoFileDownloadEx;code;SHDOCVW.dll;
DoOrganizeFavDlg;code;SHDOCVW.dll;
DoOrganizeFavDlgW;code;SHDOCVW.dll;
DoPrivacyDlg;code;SHDOCVW.dll;
HlinkFindFrame;code;SHDOCVW.dll;
HlinkFrameNavigate;code;SHDOCVW.dll;
HlinkFrameNavigateNHL;code;SHDOCVW.dll;
ImportPrivacySettings;code;SHDOCVW.dll;
OpenURL;code;SHDOCVW.dll;
SHGetIDispatchForFolder;code;SHDOCVW.dll;
SetQueryNetSessionCount;code;SHDOCVW.dll;
SoftwareUpdateMessageBox;code;SHDOCVW.dll;
URLQualifyA;code;SHDOCVW.dll;
URLQualifyW;code;SHDOCVW.dll;
