Name;Type;DLL;SymbolOrOrdinal
#CloseCompressor;code;Cabinet.dll;35
#CloseDecompressor;code;Cabinet.dll;45
#Compress;code;Cabinet.dll;33
#CreateCompressor;code;Cabinet.dll;30
#CreateDecompressor;code;Cabinet.dll;40
#Decompress;code;Cabinet.dll;43
#DeleteExtractedFiles;code;Cabinet.dll;4
#DllGetVersion;code;Cabinet.dll;2
#Extract;code;Cabinet.dll;3
#FCIAddFile;code;Cabinet.dll;11
#FCICreate;code;Cabinet.dll;10
#FCIDestroy;code;Cabinet.dll;14
#FCIFlushCabinet;code;Cabinet.dll;13
#FCIFlushFolder;code;Cabinet.dll;12
#FDICopy;code;Cabinet.dll;22
#FDICreate;code;Cabinet.dll;20
#FDIDestroy;code;Cabinet.dll;23
#FDIIsCabinet;code;Cabinet.dll;21
#FDITruncateCabinet;code;Cabinet.dll;24
#GetDllVersion;code;Cabinet.dll;1
#QueryCompressorInformation;code;Cabinet.dll;32
#QueryDecompressorInformation;code;Cabinet.dll;42
#ResetCompressor;code;Cabinet.dll;34
#ResetDecompressor;code;Cabinet.dll;44
#SetCompressorInformation;code;Cabinet.dll;31
#SetDecompressorInformation;code;Cabinet.dll;41
CloseCompressor;code;Cabinet.dll;35
CloseDecompressor;code;Cabinet.dll;45
Compress;code;Cabinet.dll;33
CreateCompressor;code;Cabinet.dll;30
CreateDecompressor;code;Cabinet.dll;40
Decompress;code;Cabinet.dll;43
DeleteExtractedFiles;code;Cabinet.dll;4
DllGetVersion;code;Cabinet.dll;2
Extract;code;Cabinet.dll;3
FCIAddFile;code;Cabinet.dll;11
FCICreate;code;Cabinet.dll;10
FCIDestroy;code;Cabinet.dll;14
FCIFlushCabinet;code;Cabinet.dll;13
FCIFlushFolder;code;Cabinet.dll;12
FDICopy;code;Cabinet.dll;22
FDICreate;code;Cabinet.dll;20
FDIDestroy;code;Cabinet.dll;23
FDIIsCabinet;code;Cabinet.dll;21
FDITruncateCabinet;code;Cabinet.dll;24
GetDllVersion;code;Cabinet.dll;1
QueryCompressorInformation;code;Cabinet.dll;32
QueryDecompressorInformation;code;Cabinet.dll;42
ResetCompressor;code;Cabinet.dll;34
ResetDecompressor;code;Cabinet.dll;44
SetCompressorInformation;code;Cabinet.dll;31
SetDecompressorInformation;code;Cabinet.dll;41
