Name;Type;DLL;SymbolOrOrdinal
JsInitializeJITServer;code;chakra.dll;?JsInitializeJITServer@@YAJPEAU_GUID@@PEAX1@Z (long __cdecl JsInitializeJITServer(struct _GUID *,void *,void *))
MemProtectHeapAddRootSection;code;chakra.dll;?MemProtectHeapAddRootSection@@YAXPEAXPEAUMemProtectHeapRootSection@@@Z (void __cdecl MemProtectHeapAddRootSection(void *,struct MemProtectHeapRootSection *))
MemProtectHeapCollect;code;chakra.dll;?MemProtectHeapCollect@@YAJPEAXW4MemProtectHeapCollectFlags@@@Z (long __cdecl MemProtectHeapCollect(void *,enum MemProtectHeapCollectFlags))
MemProtectHeapCreate;code;chakra.dll;?MemProtectHeapCreate@@YAJPEAPEAXW4MemProtectHeapCreateFlags@@@Z (long __cdecl MemProtectHeapCreate(void * *,enum MemProtectHeapCreateFlags))
MemProtectHeapDestroy;code;chakra.dll;?MemProtectHeapDestroy@@YAJPEAX@Z (long __cdecl MemProtectHeapDestroy(void *))
MemProtectHeapDisableCollection;code;chakra.dll;?MemProtectHeapDisableCollection@@YAXPEAX@Z (void __cdecl MemProtectHeapDisableCollection(void *))
MemProtectHeapIsValidObject;code;chakra.dll;?MemProtectHeapIsValidObject@@YA_NPEAX0@Z (bool __cdecl MemProtectHeapIsValidObject(void *,void *))
MemProtectHeapMemSize;code;chakra.dll;?MemProtectHeapMemSize@@YAJPEAX0PEA_K@Z (long __cdecl MemProtectHeapMemSize(void *,void *,unsigned __int64 *))
MemProtectHeapNotifyCurrentThreadDetach;code;chakra.dll;?MemProtectHeapNotifyCurrentThreadDetach@@YAXPEAX@Z (void __cdecl MemProtectHeapNotifyCurrentThreadDetach(void *))
MemProtectHeapProtectCurrentThread;code;chakra.dll;?MemProtectHeapProtectCurrentThread@@YAJPEAXP6AX0@Z0@Z (long __cdecl MemProtectHeapProtectCurrentThread(void *,void (__cdecl*)(void *),void *))
MemProtectHeapRemoveRootSection;code;chakra.dll;?MemProtectHeapRemoveRootSection@@YAJPEAXPEAUMemProtectHeapRootSection@@@Z (long __cdecl MemProtectHeapRemoveRootSection(void *,struct MemProtectHeapRootSection *))
MemProtectHeapReportHeapSize;code;chakra.dll;?MemProtectHeapReportHeapSize@@YAXPEAX@Z (void __cdecl MemProtectHeapReportHeapSize(void *))
MemProtectHeapRootAlloc;code;chakra.dll;?MemProtectHeapRootAlloc@@YAPEAXPEAX_K@Z (void * __cdecl MemProtectHeapRootAlloc(void *,unsigned __int64))
MemProtectHeapRootAllocLeaf;code;chakra.dll;?MemProtectHeapRootAllocLeaf@@YAPEAXPEAX_K@Z (void * __cdecl MemProtectHeapRootAllocLeaf(void *,unsigned __int64))
MemProtectHeapRootRealloc;code;chakra.dll;?MemProtectHeapRootRealloc@@YAJPEAX_KPEAPEAX@Z (long __cdecl MemProtectHeapRootRealloc(void *,unsigned __int64,void * *))
MemProtectHeapRootReallocLeaf;code;chakra.dll;?MemProtectHeapRootReallocLeaf@@YAJPEAX_KPEAPEAX@Z (long __cdecl MemProtectHeapRootReallocLeaf(void *,unsigned __int64,void * *))
MemProtectHeapSynchronizeWithCollector;code;chakra.dll;?MemProtectHeapSynchronizeWithCollector@@YAJPEAX@Z (long __cdecl MemProtectHeapSynchronizeWithCollector(void *))
MemProtectHeapUnprotectCurrentThread;code;chakra.dll;?MemProtectHeapUnprotectCurrentThread@@YAJPEAX@Z (long __cdecl MemProtectHeapUnprotectCurrentThread(void *))
MemProtectHeapUnrootAndZero;code;chakra.dll;?MemProtectHeapUnrootAndZero@@YAJPEAX0@Z (long __cdecl MemProtectHeapUnrootAndZero(void *,void *))
JsAddRef;code;chakra.dll;
JsBoolToBoolean;code;chakra.dll;
JsBooleanToBool;code;chakra.dll;
JsCallFunction;code;chakra.dll;
JsCollectGarbage;code;chakra.dll;
JsConstructObject;code;chakra.dll;
JsConvertValueToBoolean;code;chakra.dll;
JsConvertValueToNumber;code;chakra.dll;
JsConvertValueToObject;code;chakra.dll;
JsConvertValueToString;code;chakra.dll;
JsCreateArray;code;chakra.dll;
JsCreateArrayBuffer;code;chakra.dll;
JsCreateContext;code;chakra.dll;
JsCreateDataView;code;chakra.dll;
JsCreateError;code;chakra.dll;
JsCreateExternalArrayBuffer;code;chakra.dll;
JsCreateExternalObject;code;chakra.dll;
JsCreateFunction;code;chakra.dll;
JsCreateNamedFunction;code;chakra.dll;
JsCreateObject;code;chakra.dll;
JsCreateRangeError;code;chakra.dll;
JsCreateReferenceError;code;chakra.dll;
JsCreateRuntime;code;chakra.dll;
JsCreateSymbol;code;chakra.dll;
JsCreateSyntaxError;code;chakra.dll;
