Name;Type;DLL;SymbolOrOrdinal
AddClusterGroupDependency;code;CLUSAPI.dll;#AddClusterGroupDependency
AddClusterGroupSetDependency;code;CLUSAPI.dll;#AddClusterGroupSetDependency
AddClusterGroupToGroupSetDependency;code;CLUSAPI.dll;#AddClusterGroupToGroupSetDependency
AddClusterNode;code;CLUSAPI.dll;#AddClusterNode
AddClusterNodeEx;code;CLUSAPI.dll;#AddClusterNodeEx
AddClusterResourceDependency;code;CLUSAPI.dll;#AddClusterResourceDependency
AddClusterResourceNode;code;CLUSAPI.dll;#AddClusterResourceNode
AddClusterStorageNode;code;CLUSAPI.dll;#AddClusterStorageNode
AddCrossClusterGroupSetDependency;code;CLUSAPI.dll;#AddCrossClusterGroupSetDependency
AddResourceToClusterSharedVolumes;code;CLUSAPI.dll;#AddResourceToClusterSharedVolumes
AddResourceToClusterSharedVolumesEx;code;CLUSAPI.dll;#AddResourceToClusterSharedVolumesEx
BackupClusterDatabase;code;CLUSAPI.dll;#BackupClusterDatabase
CanResourceBeDependent;code;CLUSAPI.dll;#CanResourceBeDependent
CancelClusterGroupOperation;code;CLUSAPI.dll;#CancelClusterGroupOperation
ChangeClusterResourceGroup;code;CLUSAPI.dll;#ChangeClusterResourceGroup
ChangeClusterResourceGroupEx;code;CLUSAPI.dll;#ChangeClusterResourceGroupEx
CloseCluster;code;CLUSAPI.dll;#CloseCluster
CloseClusterGroup;code;CLUSAPI.dll;#CloseClusterGroup
CloseClusterGroupSet;code;CLUSAPI.dll;#CloseClusterGroupSet
CloseClusterNetInterface;code;CLUSAPI.dll;#CloseClusterNetInterface
CloseClusterNetwork;code;CLUSAPI.dll;#CloseClusterNetwork
CloseClusterNode;code;CLUSAPI.dll;#CloseClusterNode
CloseClusterNotifyPort;code;CLUSAPI.dll;#CloseClusterNotifyPort
CloseClusterResource;code;CLUSAPI.dll;#CloseClusterResource
CluFreeFaultDomainInfo;code;CLUSAPI.dll;#CluFreeFaultDomainInfo
CluFreeGuidArrayPtr;code;CLUSAPI.dll;#CluFreeGuidArrayPtr
CluFreeStr;code;CLUSAPI.dll;#CluFreeStr
CluGetDriveInfo;code;CLUSAPI.dll;#CluGetDriveInfo
CluGetFaultDomainObject;code;CLUSAPI.dll;#CluGetFaultDomainObject
CluGetFaultDomainObjects;code;CLUSAPI.dll;#CluGetFaultDomainObjects
CluRemoveFaultDomainObject;code;CLUSAPI.dll;#CluRemoveFaultDomainObject
ClusterAddGroupToAffinityRule;code;CLUSAPI.dll;#ClusterAddGroupToAffinityRule
ClusterAddGroupToGroupSet;code;CLUSAPI.dll;#ClusterAddGroupToGroupSet
ClusterAddGroupToGroupSetWithDomains;code;CLUSAPI.dll;#ClusterAddGroupToGroupSetWithDomains
ClusterAffinityRuleControl;code;CLUSAPI.dll;#ClusterAffinityRuleControl
ClusterCaptureLiveDump;code;CLUSAPI.dll;#ClusterCaptureLiveDump
ClusterChangeVMSettings;code;CLUSAPI.dll;#ClusterChangeVMSettings
ClusterCloseEnum;code;CLUSAPI.dll;#ClusterCloseEnum
ClusterCloseEnumEx;code;CLUSAPI.dll;#ClusterCloseEnumEx
ClusterControl;code;CLUSAPI.dll;#ClusterControl
ClusterCreateAffinityRule;code;CLUSAPI.dll;#ClusterCreateAffinityRule
ClusterCreateClusterStorageEnclosure;code;CLUSAPI.dll;#ClusterCreateClusterStorageEnclosure
ClusterCreateFaultDomain;code;CLUSAPI.dll;#ClusterCreateFaultDomain
ClusterCreateFaultDomainFromXML;code;CLUSAPI.dll;#ClusterCreateFaultDomainFromXML
ClusterCreateVMReservation;code;CLUSAPI.dll;#ClusterCreateVMReservation
ClusterCreateVMReservationWithDomains;code;CLUSAPI.dll;#ClusterCreateVMReservationWithDomains
ClusterEnum;code;CLUSAPI.dll;#ClusterEnum
ClusterEnumEx;code;CLUSAPI.dll;#ClusterEnumEx
ClusterFreeMemory;code;CLUSAPI.dll;#ClusterFreeMemory
ClusterFreeMrrResponse;code;CLUSAPI.dll;#ClusterFreeMrrResponse
ClusterFreeVMReservation;code;CLUSAPI.dll;#ClusterFreeVMReservation
ClusterGetClusterStorageEnclosureObject;code;CLUSAPI.dll;#ClusterGetClusterStorageEnclosureObject
ClusterGetClusterStorageEnclosureObjects;code;CLUSAPI.dll;#ClusterGetClusterStorageEnclosureObjects
ClusterGetDriveInfo;code;CLUSAPI.dll;#ClusterGetDriveInfo
ClusterGetEnumCount;code;CLUSAPI.dll;#ClusterGetEnumCount
ClusterGetEnumCountEx;code;CLUSAPI.dll;#ClusterGetEnumCountEx
ClusterGetFaultDomainObject;code;CLUSAPI.dll;#ClusterGetFaultDomainObject
ClusterGetFaultDomainObjects;code;CLUSAPI.dll;#ClusterGetFaultDomainObjects
ClusterGetFaultDomainState;code;CLUSAPI.dll;#ClusterGetFaultDomainState
ClusterGetFaultDomainXML;code;CLUSAPI.dll;#ClusterGetFaultDomainXML
ClusterGetMaximumAccessForToken;code;CLUSAPI.dll;#ClusterGetMaximumAccessForToken
ClusterGetPlacementScore;code;CLUSAPI.dll;#ClusterGetPlacementScore
ClusterGroupCloseEnum;code;CLUSAPI.dll;#ClusterGroupCloseEnum
ClusterGroupCloseEnumEx;code;CLUSAPI.dll;#ClusterGroupCloseEnumEx
ClusterGroupControl;code;CLUSAPI.dll;#ClusterGroupControl
ClusterGroupEnum;code;CLUSAPI.dll;#ClusterGroupEnum
ClusterGroupEnumEx;code;CLUSAPI.dll;#ClusterGroupEnumEx
ClusterGroupGetEnumCount;code;CLUSAPI.dll;#ClusterGroupGetEnumCount
ClusterGroupGetEnumCountEx;code;CLUSAPI.dll;#ClusterGroupGetEnumCountEx
ClusterGroupOpenEnum;code;CLUSAPI.dll;#ClusterGroupOpenEnum
ClusterGroupOpenEnumEx;code;CLUSAPI.dll;#ClusterGroupOpenEnumEx
