Name;Type;DLL;SymbolOrOrdinal
CertAddCRLContextToStore;code;CRYPT32.dll;#CertAddCRLContextToStore
CertAddCRLLinkToStore;code;CRYPT32.dll;#CertAddCRLLinkToStore
CertAddCTLContextToStore;code;CRYPT32.dll;#CertAddCTLContextToStore
CertAddCTLLinkToStore;code;CRYPT32.dll;#CertAddCTLLinkToStore
CertAddCertificateContextToStore;code;CRYPT32.dll;#CertAddCertificateContextToStore
CertAddCertificateLinkToStore;code;CRYPT32.dll;#CertAddCertificateLinkToStore
CertAddEncodedCRLToStore;code;CRYPT32.dll;#CertAddEncodedCRLToStore
CertAddEncodedCTLToStore;code;CRYPT32.dll;#CertAddEncodedCTLToStore
CertAddEncodedCertificateToStore;code;CRYPT32.dll;#CertAddEncodedCertificateToStore
CertAddEncodedCertificateToSystemStoreA;code;CRYPT32.dll;#CertAddEncodedCertificateToSystemStoreA
CertAddEncodedCertificateToSystemStoreW;code;CRYPT32.dll;#CertAddEncodedCertificateToSystemStoreW
CertAddEnhancedKeyUsageIdentifier;code;CRYPT32.dll;#CertAddEnhancedKeyUsageIdentifier
CertAddRefServerOcspResponse;code;CRYPT32.dll;#CertAddRefServerOcspResponse
CertAddRefServerOcspResponseContext;code;CRYPT32.dll;#CertAddRefServerOcspResponseContext
CertAddSerializedElementToStore;code;CRYPT32.dll;#CertAddSerializedElementToStore
CertAddStoreToCollection;code;CRYPT32.dll;#CertAddStoreToCollection
CertAlgIdToOID;code;CRYPT32.dll;#CertAlgIdToOID
CertCloseServerOcspResponse;code;CRYPT32.dll;#CertCloseServerOcspResponse
CertCloseStore;code;CRYPT32.dll;#CertCloseStore
CertCompareCertificate;code;CRYPT32.dll;#CertCompareCertificate
CertCompareCertificateName;code;CRYPT32.dll;#CertCompareCertificateName
CertCompareIntegerBlob;code;CRYPT32.dll;#CertCompareIntegerBlob
CertComparePublicKeyInfo;code;CRYPT32.dll;#CertComparePublicKeyInfo
CertControlStore;code;CRYPT32.dll;#CertControlStore
CertCreateCRLContext;code;CRYPT32.dll;#CertCreateCRLContext
CertCreateCTLContext;code;CRYPT32.dll;#CertCreateCTLContext
CertCreateCTLEntryFromCertificateContextProperties;code;CRYPT32.dll;#CertCreateCTLEntryFromCertificateContextProperties
CertCreateCertificateChainEngine;code;CRYPT32.dll;#CertCreateCertificateChainEngine
CertCreateCertificateContext;code;CRYPT32.dll;#CertCreateCertificateContext
CertCreateContext;code;CRYPT32.dll;#CertCreateContext
CertCreateSelfSignCertificate;code;CRYPT32.dll;#CertCreateSelfSignCertificate
CertDeleteCRLFromStore;code;CRYPT32.dll;#CertDeleteCRLFromStore
CertDeleteCTLFromStore;code;CRYPT32.dll;#CertDeleteCTLFromStore
CertDeleteCertificateFromStore;code;CRYPT32.dll;#CertDeleteCertificateFromStore
CertDuplicateCRLContext;code;CRYPT32.dll;#CertDuplicateCRLContext
CertDuplicateCTLContext;code;CRYPT32.dll;#CertDuplicateCTLContext
CertDuplicateCertificateChain;code;CRYPT32.dll;#CertDuplicateCertificateChain
CertDuplicateCertificateContext;code;CRYPT32.dll;#CertDuplicateCertificateContext
CertDuplicateStore;code;CRYPT32.dll;#CertDuplicateStore
CertEnumCRLContextProperties;code;CRYPT32.dll;#CertEnumCRLContextProperties
CertEnumCRLsInStore;code;CRYPT32.dll;#CertEnumCRLsInStore
CertEnumCTLContextProperties;code;CRYPT32.dll;#CertEnumCTLContextProperties
CertEnumCTLsInStore;code;CRYPT32.dll;#CertEnumCTLsInStore
