Name;Type;DLL;SymbolOrOrdinal
DdqCancelDiagnosticRecordOperation;code;DiagnosticDataQuery.dll;#DdqCancelDiagnosticRecordOperation
DdqCloseSession;code;DiagnosticDataQuery.dll;#DdqCloseSession
DdqCreateSession;code;DiagnosticDataQuery.dll;#DdqCreateSession
DdqExtractDiagnosticReport;code;DiagnosticDataQuery.dll;#DdqExtractDiagnosticReport
DdqFreeDiagnosticRecordLocaleTags;code;DiagnosticDataQuery.dll;#DdqFreeDiagnosticRecordLocaleTags
DdqFreeDiagnosticRecordPage;code;DiagnosticDataQuery.dll;#DdqFreeDiagnosticRecordPage
DdqFreeDiagnosticRecordProducerCategories;code;DiagnosticDataQuery.dll;#DdqFreeDiagnosticRecordProducerCategories
DdqFreeDiagnosticRecordProducers;code;DiagnosticDataQuery.dll;#DdqFreeDiagnosticRecordProducers
DdqFreeDiagnosticReport;code;DiagnosticDataQuery.dll;#DdqFreeDiagnosticReport
DdqGetDiagnosticDataAccessLevelAllowed;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticDataAccessLevelAllowed
DdqGetDiagnosticRecordAtIndex;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordAtIndex
DdqGetDiagnosticRecordBinaryDistribution;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordBinaryDistribution
DdqGetDiagnosticRecordCategoryAtIndex;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordCategoryAtIndex
DdqGetDiagnosticRecordCategoryCount;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordCategoryCount
DdqGetDiagnosticRecordCount;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordCount
DdqGetDiagnosticRecordLocaleTagAtIndex;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordLocaleTagAtIndex
DdqGetDiagnosticRecordLocaleTagCount;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordLocaleTagCount
DdqGetDiagnosticRecordLocaleTags;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordLocaleTags
DdqGetDiagnosticRecordPage;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordPage
DdqGetDiagnosticRecordPayload;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordPayload
DdqGetDiagnosticRecordProducerAtIndex;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordProducerAtIndex
DdqGetDiagnosticRecordProducerCategories;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordProducerCategories
DdqGetDiagnosticRecordProducerCount;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordProducerCount
DdqGetDiagnosticRecordProducers;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordProducers
DdqGetDiagnosticRecordStats;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordStats
DdqGetDiagnosticRecordSummary;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordSummary
DdqGetDiagnosticRecordTagDistribution;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticRecordTagDistribution
DdqGetDiagnosticReport;code;DiagnosticDataQuery.dll;#DdqGetDiagnosticReport
