Name;Type;DLL;SymbolOrOrdinal
ConvertAtJobsToTasks;code;mstask.dll;#ConvertAtJobsToTasks
GetNetScheduleAccountInformation;code;mstask.dll;#GetNetScheduleAccountInformation
NetrJobAdd;code;mstask.dll;#NetrJobAdd
NetrJobDel;code;mstask.dll;#NetrJobDel
NetrJobEnum;code;mstask.dll;#NetrJobEnum
NetrJobGetInfo;code;mstask.dll;#NetrJobGetInfo
SAGetAccountInformation;code;mstask.dll;#SAGetAccountInformation
SAGetNSAccountInformation;code;mstask.dll;#SAGetNSAccountInformation
SASetAccountInformation;code;mstask.dll;#SASetAccountInformation
SASetNSAccountInformation;code;mstask.dll;#SASetNSAccountInformation
SetNetScheduleAccountInformation;code;mstask.dll;#SetNetScheduleAccountInformation
ConvertAtJobsToTasks;code;mstask.dll;
GetNetScheduleAccountInformation;code;mstask.dll;
NetrJobAdd;code;mstask.dll;
NetrJobDel;code;mstask.dll;
NetrJobEnum;code;mstask.dll;
NetrJobGetInfo;code;mstask.dll;
SAGetAccountInformation;code;mstask.dll;
SAGetNSAccountInformation;code;mstask.dll;
SASetAccountInformation;code;mstask.dll;
SASetNSAccountInformation;code;mstask.dll;
SetNetScheduleAccountInformation;code;mstask.dll;
