Name;Type;DLL;SymbolOrOrdinal
BindMoniker;code;ole32.dll;#BindMoniker
CoAllowSetForegroundWindow;code;ole32.dll;#CoAllowSetForegroundWindow
CoBuildVersion;code;ole32.dll;#CoBuildVersion
CoDosDateTimeToFileTime;code;ole32.dll;#CoDosDateTimeToFileTime
CoFileTimeToDosDateTime;code;ole32.dll;#CoFileTimeToDosDateTime
CoFreeAllLibraries;code;ole32.dll;#CoFreeAllLibraries
CoFreeLibrary;code;ole32.dll;#CoFreeLibrary
CoGetInterceptor;code;ole32.dll;#CoGetInterceptor
CoGetInterceptorFromTypeInfo;code;ole32.dll;#CoGetInterceptorFromTypeInfo
CoGetObject;code;ole32.dll;#CoGetObject
CoInitialize;code;ole32.dll;#CoInitialize
CoInstall;code;ole32.dll;#CoInstall
CoLoadLibrary;code;ole32.dll;#CoLoadLibrary
CoQueryReleaseObject;code;ole32.dll;#CoQueryReleaseObject
ComPs_NdrDllCanUnloadNow;code;ole32.dll;#ComPs_NdrDllCanUnloadNow
ComPs_NdrDllGetClassObject;code;ole32.dll;#ComPs_NdrDllGetClassObject
ComPs_NdrDllRegisterProxy;code;ole32.dll;#ComPs_NdrDllRegisterProxy
ComPs_NdrDllUnregisterProxy;code;ole32.dll;#ComPs_NdrDllUnregisterProxy
CreateAntiMoniker;code;ole32.dll;#CreateAntiMoniker
CreateBindCtx;code;ole32.dll;#CreateBindCtx
CreateClassMoniker;code;ole32.dll;#CreateClassMoniker
CreateDataAdviseHolder;code;ole32.dll;#CreateDataAdviseHolder
CreateDataCache;code;ole32.dll;#CreateDataCache
CreateFileMoniker;code;ole32.dll;#CreateFileMoniker
CreateGenericComposite;code;ole32.dll;#CreateGenericComposite
CreateItemMoniker;code;ole32.dll;#CreateItemMoniker
CreateObjrefMoniker;code;ole32.dll;#CreateObjrefMoniker
CreateOleAdviseHolder;code;ole32.dll;#CreateOleAdviseHolder
CreatePointerMoniker;code;ole32.dll;#CreatePointerMoniker
CreateStdProgressIndicator;code;ole32.dll;#CreateStdProgressIndicator
DllGetClassObjectWOW;code;ole32.dll;#DllGetClassObjectWOW
DoDragDrop;code;ole32.dll;#DoDragDrop
GetActiveObjectExt;code;ole32.dll;#GetActiveObjectExt
GetClassFile;code;ole32.dll;#GetClassFile
GetRunningObjectTable;code;ole32.dll;#GetRunningObjectTable
IsAccelerator;code;ole32.dll;#IsAccelerator
IsEqualGUID;code;ole32.dll;#IsEqualGUID
MkParseDisplayName;code;ole32.dll;#MkParseDisplayName
MonikerCommonPrefixWith;code;ole32.dll;#MonikerCommonPrefixWith
MonikerRelativePathTo;code;ole32.dll;#MonikerRelativePathTo
Ole32DllGetClassObject;code;ole32.dll;#Ole32DllGetClassObject
OleBuildVersion;code;ole32.dll;#OleBuildVersion
OleConvertIStorageToOLESTREAM;code;ole32.dll;#OleConvertIStorageToOLESTREAM
OleConvertIStorageToOLESTREAMEx;code;ole32.dll;#OleConvertIStorageToOLESTREAMEx
OleConvertOLESTREAMToIStorage;code;ole32.dll;#OleConvertOLESTREAMToIStorage
OleConvertOLESTREAMToIStorageEx;code;ole32.dll;#OleConvertOLESTREAMToIStorageEx
OleCreate;code;ole32.dll;#OleCreate
OleCreateDefaultHandler;code;ole32.dll;#OleCreateDefaultHandler
OleCreateEmbeddingHelper;code;ole32.dll;#OleCreateEmbeddingHelper
OleCreateEx;code;ole32.dll;#OleCreateEx
OleCreateFontIndirectExt;code;ole32.dll;#OleCreateFontIndirectExt
OleCreateFromData;code;ole32.dll;#OleCreateFromData
OleCreateFromDataEx;code;ole32.dll;#OleCreateFromDataEx
OleCreateFromFile;code;ole32.dll;#OleCreateFromFile
OleCreateFromFileEx;code;ole32.dll;#OleCreateFromFileEx
OleCreateLink;code;ole32.dll;#OleCreateLink
OleCreateLinkEx;code;ole32.dll;#OleCreateLinkEx
OleCreateLinkFromData;code;ole32.dll;#OleCreateLinkFromData
OleCreateLinkFromDataEx;code;ole32.dll;#OleCreateLinkFromDataEx
OleCreateLinkToFile;code;ole32.dll;#OleCreateLinkToFile
