Name;Type;DLL;SymbolOrOrdinal
DwTerminalDlg;code;RASDLG.dll;#DwTerminalDlg
GetRasDialOutProtocols;code;RASDLG.dll;#GetRasDialOutProtocols
RasAutodialQueryDlgA;code;RASDLG.dll;#RasAutodialQueryDlgA
RasAutodialQueryDlgW;code;RASDLG.dll;#RasAutodialQueryDlgW
RasDialDlgA;code;RASDLG.dll;#RasDialDlgA
RasDialDlgW;code;RASDLG.dll;#RasDialDlgW
RasEntryDlgA;code;RASDLG.dll;#RasEntryDlgA
RasEntryDlgW;code;RASDLG.dll;#RasEntryDlgW
RasPhonebookDlgA;code;RASDLG.dll;#RasPhonebookDlgA
RasPhonebookDlgW;code;RASDLG.dll;#RasPhonebookDlgW
RasSrvAddPropPages;code;RASDLG.dll;#RasSrvAddPropPages
RasSrvAllowConnectionsConfig;code;RASDLG.dll;#RasSrvAllowConnectionsConfig
RasSrvCleanupService;code;RASDLG.dll;#RasSrvCleanupService
RasSrvEnumConnections;code;RASDLG.dll;#RasSrvEnumConnections
RasSrvHangupConnection;code;RASDLG.dll;#RasSrvHangupConnection
RasSrvInitializeService;code;RASDLG.dll;#RasSrvInitializeService
RasSrvIsConnectionConnected;code;RASDLG.dll;#RasSrvIsConnectionConnected
RasSrvIsICConfigured;code;RASDLG.dll;#RasSrvIsICConfigured
RasSrvIsServiceRunning;code;RASDLG.dll;#RasSrvIsServiceRunning
RasUserEnableManualDial;code;RASDLG.dll;#RasUserEnableManualDial
RasUserGetManualDial;code;RASDLG.dll;#RasUserGetManualDial
RasUserPrefsDlg;code;RASDLG.dll;#RasUserPrefsDlg
RouterEntryDlgA;code;RASDLG.dll;#RouterEntryDlgA
RouterEntryDlgW;code;RASDLG.dll;#RouterEntryDlgW
RasHandleDiagnostics;code;RASDLG.dll;?RasHandleDiagnostics@@$$hYAXPEAUHWND__@@PEAUHINSTANCE__@@PEBDH@Z (void __cdecl RasHandleDiagnostics(struct HWND__ *,struct HINSTANCE__ *,char const *,int))
RasHandleDiagnostics;code;RASDLG.dll;?RasHandleDiagnostics@@YAXPEAUHWND__@@PEAUHINSTANCE__@@PEBDH@Z (void __cdecl RasHandleDiagnostics(struct HWND__ *,struct HINSTANCE__ *,char const *,int))
DwTerminalDlg;code;RASDLG.dll;
GetRasDialOutProtocols;code;RASDLG.dll;
RasAutodialQueryDlgA;code;RASDLG.dll;
RasAutodialQueryDlgW;code;RASDLG.dll;
RasDialDlgA;code;RASDLG.dll;
RasDialDlgW;code;RASDLG.dll;
RasEntryDlgA;code;RASDLG.dll;
RasEntryDlgW;code;RASDLG.dll;
RasPhonebookDlgA;code;RASDLG.dll;
RasPhonebookDlgW;code;RASDLG.dll;
RasSrvAddPropPages;code;RASDLG.dll;
RasSrvAllowConnectionsConfig;code;RASDLG.dll;
RasSrvCleanupService;code;RASDLG.dll;
RasSrvEnumConnections;code;RASDLG.dll;
RasSrvHangupConnection;code;RASDLG.dll;
RasSrvInitializeService;code;RASDLG.dll;
RasSrvIsConnectionConnected;code;RASDLG.dll;
RasSrvIsICConfigured;code;RASDLG.dll;
RasSrvIsServiceRunning;code;RASDLG.dll;
RasUserEnableManualDial;code;RASDLG.dll;
RasUserGetManualDial;code;RASDLG.dll;
RasUserPrefsDlg;code;RASDLG.dll;
RouterEntryDlgA;code;RASDLG.dll;
RouterEntryDlgW;code;RASDLG.dll;
