Name;Type;DLL;SymbolOrOrdinal
CStdStubBuffer_AddRef;code;RPCRT4.dll;#CStdStubBuffer_AddRef
CStdStubBuffer_Connect;code;RPCRT4.dll;#CStdStubBuffer_Connect
CStdStubBuffer_CountRefs;code;RPCRT4.dll;#CStdStubBuffer_CountRefs
CStdStubBuffer_DebugServerQueryInterface;code;RPCRT4.dll;#CStdStubBuffer_DebugServerQueryInterface
CStdStubBuffer_DebugServerRelease;code;RPCRT4.dll;#CStdStubBuffer_DebugServerRelease
CStdStubBuffer_Disconnect;code;RPCRT4.dll;#CStdStubBuffer_Disconnect
CStdStubBuffer_Invoke;code;RPCRT4.dll;#CStdStubBuffer_Invoke
CStdStubBuffer_IsIIDSupported;code;RPCRT4.dll;#CStdStubBuffer_IsIIDSupported
CStdStubBuffer_QueryInterface;code;RPCRT4.dll;#CStdStubBuffer_QueryInterface
CreateProxyFromTypeInfo;code;RPCRT4.dll;#CreateProxyFromTypeInfo
CreateStubFromTypeInfo;code;RPCRT4.dll;#CreateStubFromTypeInfo
DceErrorInqTextA;code;RPCRT4.dll;#DceErrorInqTextA
DceErrorInqTextW;code;RPCRT4.dll;#DceErrorInqTextW
IUnknown_AddRef_Proxy;code;RPCRT4.dll;#IUnknown_AddRef_Proxy
IUnknown_QueryInterface_Proxy;code;RPCRT4.dll;#IUnknown_QueryInterface_Proxy
IUnknown_Release_Proxy;code;RPCRT4.dll;#IUnknown_Release_Proxy
I_RpcAllocate;code;RPCRT4.dll;#I_RpcAllocate
I_RpcAsyncAbortCall;code;RPCRT4.dll;#I_RpcAsyncAbortCall
I_RpcAsyncSetHandle;code;RPCRT4.dll;#I_RpcAsyncSetHandle
I_RpcBCacheAllocate;code;RPCRT4.dll;#I_RpcBCacheAllocate
I_RpcBCacheFree;code;RPCRT4.dll;#I_RpcBCacheFree
I_RpcBindingCopy;code;RPCRT4.dll;#I_RpcBindingCopy
I_RpcBindingCreateNP;code;RPCRT4.dll;#I_RpcBindingCreateNP
I_RpcBindingHandleToAsyncHandle;code;RPCRT4.dll;#I_RpcBindingHandleToAsyncHandle
I_RpcBindingInqClientTokenAttributes;code;RPCRT4.dll;#I_RpcBindingInqClientTokenAttributes
I_RpcBindingInqDynamicEndpoint;code;RPCRT4.dll;#I_RpcBindingInqDynamicEndpoint
I_RpcBindingInqDynamicEndpointA;code;RPCRT4.dll;#I_RpcBindingInqDynamicEndpointA
I_RpcBindingInqDynamicEndpointW;code;RPCRT4.dll;#I_RpcBindingInqDynamicEndpointW
I_RpcBindingInqLocalClientPID;code;RPCRT4.dll;#I_RpcBindingInqLocalClientPID
I_RpcBindingInqMarshalledTargetInfo;code;RPCRT4.dll;#I_RpcBindingInqMarshalledTargetInfo
I_RpcBindingInqSecurityContext;code;RPCRT4.dll;#I_RpcBindingInqSecurityContext
I_RpcBindingInqSecurityContextKeyInfo;code;RPCRT4.dll;#I_RpcBindingInqSecurityContextKeyInfo
I_RpcBindingInqTransportType;code;RPCRT4.dll;#I_RpcBindingInqTransportType
I_RpcBindingInqWireIdForSnego;code;RPCRT4.dll;#I_RpcBindingInqWireIdForSnego
I_RpcBindingIsClientLocal;code;RPCRT4.dll;#I_RpcBindingIsClientLocal
I_RpcBindingIsServerLocal;code;RPCRT4.dll;#I_RpcBindingIsServerLocal
I_RpcBindingSetPrivateOption;code;RPCRT4.dll;#I_RpcBindingSetPrivateOption
I_RpcBindingToStaticStringBindingW;code;RPCRT4.dll;#I_RpcBindingToStaticStringBindingW
