Name;Type;DLL;SymbolOrOrdinal
AssocCreate;code;SHLWAPI.dll;#AssocCreate
AssocGetPerceivedType;code;SHLWAPI.dll;#AssocGetPerceivedType
AssocIsDangerous;code;SHLWAPI.dll;#AssocIsDangerous
AssocQueryKeyA;code;SHLWAPI.dll;#AssocQueryKeyA
AssocQueryKeyW;code;SHLWAPI.dll;#AssocQueryKeyW
AssocQueryStringA;code;SHLWAPI.dll;#AssocQueryStringA
AssocQueryStringByKeyA;code;SHLWAPI.dll;#AssocQueryStringByKeyA
AssocQueryStringByKeyW;code;SHLWAPI.dll;#AssocQueryStringByKeyW
AssocQueryStringW;code;SHLWAPI.dll;#AssocQueryStringW
ChrCmpIA;code;SHLWAPI.dll;#ChrCmpIA
ChrCmpIW;code;SHLWAPI.dll;#ChrCmpIW
ColorAdjustLuma;code;SHLWAPI.dll;#ColorAdjustLuma
ColorHLSToRGB;code;SHLWAPI.dll;#ColorHLSToRGB
ColorRGBToHLS;code;SHLWAPI.dll;#ColorRGBToHLS
#ConnectToConnectionPoint;code;SHLWAPI.dll;168
#GetAcceptLanguagesA;code;SHLWAPI.dll;14
#GetAcceptLanguagesW;code;SHLWAPI.dll;15
GetMenuPosFromID;code;SHLWAPI.dll;#GetMenuPosFromID
HashData;code;SHLWAPI.dll;#HashData
#IStream_Copy;code;SHLWAPI.dll;568
#IStream_Read;code;SHLWAPI.dll;184
#IStream_ReadPidl;code;SHLWAPI.dll;512
#IStream_ReadStr;code;SHLWAPI.dll;596
#IStream_Reset;code;SHLWAPI.dll;213
#IStream_Size;code;SHLWAPI.dll;214
#IStream_Write;code;SHLWAPI.dll;212
#IStream_WritePidl;code;SHLWAPI.dll;513
#IStream_WriteStr;code;SHLWAPI.dll;597
#IUnknown_AtomicRelease;code;SHLWAPI.dll;169
#IUnknown_GetSite;code;SHLWAPI.dll;256
#IUnknown_GetWindow;code;SHLWAPI.dll;172
#IUnknown_QueryService;code;SHLWAPI.dll;176
#IUnknown_Set;code;SHLWAPI.dll;199
#IUnknown_SetSite;code;SHLWAPI.dll;174
IntlStrEqWorkerA;code;SHLWAPI.dll;#IntlStrEqWorkerA
IntlStrEqWorkerW;code;SHLWAPI.dll;#IntlStrEqWorkerW
IsCharSpaceA;code;SHLWAPI.dll;#IsCharSpaceA
#IsCharSpaceW;code;SHLWAPI.dll;29
#IsInternetESCEnabled;code;SHLWAPI.dll;553
#IsOS;code;SHLWAPI.dll;437
#MLLoadLibraryA;code;SHLWAPI.dll;377
#MLLoadLibraryW;code;SHLWAPI.dll;378
#ParseURLA;code;SHLWAPI.dll;1
#ParseURLW;code;SHLWAPI.dll;2
PathAddBackslashA;code;SHLWAPI.dll;#PathAddBackslashA
PathAddBackslashW;code;SHLWAPI.dll;#PathAddBackslashW
PathAddExtensionA;code;SHLWAPI.dll;#PathAddExtensionA
PathAddExtensionW;code;SHLWAPI.dll;#PathAddExtensionW
PathAppendA;code;SHLWAPI.dll;#PathAppendA
PathAppendW;code;SHLWAPI.dll;#PathAppendW
PathBuildRootA;code;SHLWAPI.dll;#PathBuildRootA
PathBuildRootW;code;SHLWAPI.dll;#PathBuildRootW
PathCanonicalizeA;code;SHLWAPI.dll;#PathCanonicalizeA
PathCanonicalizeW;code;SHLWAPI.dll;#PathCanonicalizeW
PathCombineA;code;SHLWAPI.dll;#PathCombineA
PathCombineW;code;SHLWAPI.dll;#PathCombineW
PathCommonPrefixA;code;SHLWAPI.dll;#PathCommonPrefixA
PathCommonPrefixW;code;SHLWAPI.dll;#PathCommonPrefixW
PathCompactPathA;code;SHLWAPI.dll;#PathCompactPathA
PathCompactPathExA;code;SHLWAPI.dll;#PathCompactPathExA
PathCompactPathExW;code;SHLWAPI.dll;#PathCompactPathExW
PathCompactPathW;code;SHLWAPI.dll;#PathCompactPathW
PathCreateFromUrlA;code;SHLWAPI.dll;#PathCreateFromUrlA
PathCreateFromUrlAlloc;code;SHLWAPI.dll;#PathCreateFromUrlAlloc
PathCreateFromUrlW;code;SHLWAPI.dll;#PathCreateFromUrlW
PathFileExistsA;code;SHLWAPI.dll;#PathFileExistsA
PathFileExistsW;code;SHLWAPI.dll;#PathFileExistsW
PathFindExtensionA;code;SHLWAPI.dll;#PathFindExtensionA
PathFindExtensionW;code;SHLWAPI.dll;#PathFindExtensionW
PathFindFileNameA;code;SHLWAPI.dll;#PathFindFileNameA
PathFindFileNameW;code;SHLWAPI.dll;#PathFindFileNameW
PathFindNextComponentA;code;SHLWAPI.dll;#PathFindNextComponentA
PathFindNextComponentW;code;SHLWAPI.dll;#PathFindNextComponentW
PathFindOnPathA;code;SHLWAPI.dll;#PathFindOnPathA
PathFindOnPathW;code;SHLWAPI.dll;#PathFindOnPathW
PathFindSuffixArrayA;code;SHLWAPI.dll;#PathFindSuffixArrayA
