Name;Type;DLL;SymbolOrOrdinal
TcAddFilter;code;TRAFFIC.dll;#TcAddFilter
TcAddFlow;code;TRAFFIC.dll;#TcAddFlow
TcCloseInterface;code;TRAFFIC.dll;#TcCloseInterface
TcDeleteFilter;code;TRAFFIC.dll;#TcDeleteFilter
TcDeleteFlow;code;TRAFFIC.dll;#TcDeleteFlow
TcDeregisterClient;code;TRAFFIC.dll;#TcDeregisterClient
TcEnumerateFlows;code;TRAFFIC.dll;#TcEnumerateFlows
TcEnumerateInterfaces;code;TRAFFIC.dll;#TcEnumerateInterfaces
TcGetFlowNameA;code;TRAFFIC.dll;#TcGetFlowNameA
TcGetFlowNameW;code;TRAFFIC.dll;#TcGetFlowNameW
TcGetInterfaceList;code;TRAFFIC.dll;#TcGetInterfaceList
TcModifyFlow;code;TRAFFIC.dll;#TcModifyFlow
TcOpenInterfaceA;code;TRAFFIC.dll;#TcOpenInterfaceA
TcOpenInterfaceW;code;TRAFFIC.dll;#TcOpenInterfaceW
TcQueryFlowA;code;TRAFFIC.dll;#TcQueryFlowA
TcQueryFlowW;code;TRAFFIC.dll;#TcQueryFlowW
TcQueryInterface;code;TRAFFIC.dll;#TcQueryInterface
TcRegisterClient;code;TRAFFIC.dll;#TcRegisterClient
TcSetFlowA;code;TRAFFIC.dll;#TcSetFlowA
TcSetFlowW;code;TRAFFIC.dll;#TcSetFlowW
TcSetInterface;code;TRAFFIC.dll;#TcSetInterface
TcSetSocketFlow;code;TRAFFIC.dll;#TcSetSocketFlow
TcAddFilter;code;TRAFFIC.dll;
TcAddFlow;code;TRAFFIC.dll;
TcCloseInterface;code;TRAFFIC.dll;
TcDeleteFilter;code;TRAFFIC.dll;
TcDeleteFlow;code;TRAFFIC.dll;
TcDeregisterClient;code;TRAFFIC.dll;
TcEnumerateFlows;code;TRAFFIC.dll;
TcEnumerateInterfaces;code;TRAFFIC.dll;
TcGetFlowNameA;code;TRAFFIC.dll;
TcGetFlowNameW;code;TRAFFIC.dll;
TcGetInterfaceList;code;TRAFFIC.dll;
TcModifyFlow;code;TRAFFIC.dll;
TcOpenInterfaceA;code;TRAFFIC.dll;
TcOpenInterfaceW;code;TRAFFIC.dll;
TcQueryFlowA;code;TRAFFIC.dll;
TcQueryFlowW;code;TRAFFIC.dll;
TcQueryInterface;code;TRAFFIC.dll;
TcRegisterClient;code;TRAFFIC.dll;
TcSetFlowA;code;TRAFFIC.dll;
TcSetFlowW;code;TRAFFIC.dll;
TcSetInterface;code;TRAFFIC.dll;
TcSetSocketFlow;code;TRAFFIC.dll;
