Name;Type;DLL;SymbolOrOrdinal
DockPattern_SetDockPosition;code;UIAutomationCore.DLL;#DockPattern_SetDockPosition
ExpandCollapsePattern_Collapse;code;UIAutomationCore.DLL;#ExpandCollapsePattern_Collapse
ExpandCollapsePattern_Expand;code;UIAutomationCore.DLL;#ExpandCollapsePattern_Expand
GridPattern_GetItem;code;UIAutomationCore.DLL;#GridPattern_GetItem
InitializeChannelBasedConnectionForProviderProxy;code;UIAutomationCore.DLL;#InitializeChannelBasedConnectionForProviderProxy
InvokePattern_Invoke;code;UIAutomationCore.DLL;#InvokePattern_Invoke
ItemContainerPattern_FindItemByProperty;code;UIAutomationCore.DLL;#ItemContainerPattern_FindItemByProperty
LegacyIAccessiblePattern_DoDefaultAction;code;UIAutomationCore.DLL;#LegacyIAccessiblePattern_DoDefaultAction
LegacyIAccessiblePattern_GetIAccessible;code;UIAutomationCore.DLL;#LegacyIAccessiblePattern_GetIAccessible
LegacyIAccessiblePattern_Select;code;UIAutomationCore.DLL;#LegacyIAccessiblePattern_Select
LegacyIAccessiblePattern_SetValue;code;UIAutomationCore.DLL;#LegacyIAccessiblePattern_SetValue
MultipleViewPattern_GetViewName;code;UIAutomationCore.DLL;#MultipleViewPattern_GetViewName
MultipleViewPattern_SetCurrentView;code;UIAutomationCore.DLL;#MultipleViewPattern_SetCurrentView
RangeValuePattern_SetValue;code;UIAutomationCore.DLL;#RangeValuePattern_SetValue
ScrollItemPattern_ScrollIntoView;code;UIAutomationCore.DLL;#ScrollItemPattern_ScrollIntoView
ScrollPattern_Scroll;code;UIAutomationCore.DLL;#ScrollPattern_Scroll
ScrollPattern_SetScrollPercent;code;UIAutomationCore.DLL;#ScrollPattern_SetScrollPercent
SelectionItemPattern_AddToSelection;code;UIAutomationCore.DLL;#SelectionItemPattern_AddToSelection
SelectionItemPattern_RemoveFromSelection;code;UIAutomationCore.DLL;#SelectionItemPattern_RemoveFromSelection
SelectionItemPattern_Select;code;UIAutomationCore.DLL;#SelectionItemPattern_Select
SynchronizedInputPattern_Cancel;code;UIAutomationCore.DLL;#SynchronizedInputPattern_Cancel
SynchronizedInputPattern_StartListening;code;UIAutomationCore.DLL;#SynchronizedInputPattern_StartListening
TextPattern_GetSelection;code;UIAutomationCore.DLL;#TextPattern_GetSelection
TextPattern_GetVisibleRanges;code;UIAutomationCore.DLL;#TextPattern_GetVisibleRanges
TextPattern_RangeFromChild;code;UIAutomationCore.DLL;#TextPattern_RangeFromChild
TextPattern_RangeFromPoint;code;UIAutomationCore.DLL;#TextPattern_RangeFromPoint
TextPattern_get_DocumentRange;code;UIAutomationCore.DLL;#TextPattern_get_DocumentRange
TextPattern_get_SupportedTextSelection;code;UIAutomationCore.DLL;#TextPattern_get_SupportedTextSelection
TextRange_AddToSelection;code;UIAutomationCore.DLL;#TextRange_AddToSelection
TextRange_Clone;code;UIAutomationCore.DLL;#TextRange_Clone
TextRange_Compare;code;UIAutomationCore.DLL;#TextRange_Compare
TextRange_CompareEndpoints;code;UIAutomationCore.DLL;#TextRange_CompareEndpoints
TextRange_ExpandToEnclosingUnit;code;UIAutomationCore.DLL;#TextRange_ExpandToEnclosingUnit
TextRange_FindAttribute;code;UIAutomationCore.DLL;#TextRange_FindAttribute
TextRange_FindText;code;UIAutomationCore.DLL;#TextRange_FindText
TextRange_GetAttributeValue;code;UIAutomationCore.DLL;#TextRange_GetAttributeValue
TextRange_GetBoundingRectangles;code;UIAutomationCore.DLL;#TextRange_GetBoundingRectangles
TextRange_GetChildren;code;UIAutomationCore.DLL;#TextRange_GetChildren
TextRange_GetEnclosingElement;code;UIAutomationCore.DLL;#TextRange_GetEnclosingElement
TextRange_GetText;code;UIAutomationCore.DLL;#TextRange_GetText
TextRange_Move;code;UIAutomationCore.DLL;#TextRange_Move
TextRange_MoveEndpointByRange;code;UIAutomationCore.DLL;#TextRange_MoveEndpointByRange
TextRange_MoveEndpointByUnit;code;UIAutomationCore.DLL;#TextRange_MoveEndpointByUnit
TextRange_RemoveFromSelection;code;UIAutomationCore.DLL;#TextRange_RemoveFromSelection
