Name;Type;DLL;SymbolOrOrdinal
BeginBufferedAnimation;code;UxTheme.dll;#BeginBufferedAnimation
BeginBufferedPaint;code;UxTheme.dll;#BeginBufferedPaint
BeginPanningFeedback;code;UxTheme.dll;#BeginPanningFeedback
BufferedPaintClear;code;UxTheme.dll;#BufferedPaintClear
BufferedPaintInit;code;UxTheme.dll;#BufferedPaintInit
BufferedPaintRenderAnimation;code;UxTheme.dll;#BufferedPaintRenderAnimation
BufferedPaintSetAlpha;code;UxTheme.dll;#BufferedPaintSetAlpha
BufferedPaintStopAllAnimations;code;UxTheme.dll;#BufferedPaintStopAllAnimations
BufferedPaintUnInit;code;UxTheme.dll;#BufferedPaintUnInit
CloseThemeData;code;UxTheme.dll;#CloseThemeData
DrawThemeBackground;code;UxTheme.dll;#DrawThemeBackground
#DrawThemeBackgroundEx;code;UxTheme.dll;47
DrawThemeEdge;code;UxTheme.dll;#DrawThemeEdge
DrawThemeIcon;code;UxTheme.dll;#DrawThemeIcon
DrawThemeParentBackground;code;UxTheme.dll;#DrawThemeParentBackground
DrawThemeParentBackgroundEx;code;UxTheme.dll;#DrawThemeParentBackgroundEx
DrawThemeText;code;UxTheme.dll;#DrawThemeText
DrawThemeTextEx;code;UxTheme.dll;#DrawThemeTextEx
EnableThemeDialogTexture;code;UxTheme.dll;#EnableThemeDialogTexture
EnableTheming;code;UxTheme.dll;#EnableTheming
EndBufferedAnimation;code;UxTheme.dll;#EndBufferedAnimation
EndBufferedPaint;code;UxTheme.dll;#EndBufferedPaint
EndPanningFeedback;code;UxTheme.dll;#EndPanningFeedback
GetBufferedPaintBits;code;UxTheme.dll;#GetBufferedPaintBits
GetBufferedPaintDC;code;UxTheme.dll;#GetBufferedPaintDC
GetBufferedPaintTargetDC;code;UxTheme.dll;#GetBufferedPaintTargetDC
GetBufferedPaintTargetRect;code;UxTheme.dll;#GetBufferedPaintTargetRect
GetCurrentThemeName;code;UxTheme.dll;#GetCurrentThemeName
GetThemeAnimationProperty;code;UxTheme.dll;#GetThemeAnimationProperty
GetThemeAnimationTransform;code;UxTheme.dll;#GetThemeAnimationTransform
GetThemeAppProperties;code;UxTheme.dll;#GetThemeAppProperties
GetThemeBackgroundContentRect;code;UxTheme.dll;#GetThemeBackgroundContentRect
GetThemeBackgroundExtent;code;UxTheme.dll;#GetThemeBackgroundExtent
GetThemeBackgroundRegion;code;UxTheme.dll;#GetThemeBackgroundRegion
GetThemeBitmap;code;UxTheme.dll;#GetThemeBitmap
GetThemeBool;code;UxTheme.dll;#GetThemeBool
GetThemeColor;code;UxTheme.dll;#GetThemeColor
GetThemeDocumentationProperty;code;UxTheme.dll;#GetThemeDocumentationProperty
GetThemeEnumValue;code;UxTheme.dll;#GetThemeEnumValue
GetThemeFilename;code;UxTheme.dll;#GetThemeFilename
GetThemeFont;code;UxTheme.dll;#GetThemeFont
GetThemeInt;code;UxTheme.dll;#GetThemeInt
GetThemeIntList;code;UxTheme.dll;#GetThemeIntList
GetThemeMargins;code;UxTheme.dll;#GetThemeMargins
GetThemeMetric;code;UxTheme.dll;#GetThemeMetric
GetThemePartSize;code;UxTheme.dll;#GetThemePartSize
GetThemePosition;code;UxTheme.dll;#GetThemePosition
GetThemePropertyOrigin;code;UxTheme.dll;#GetThemePropertyOrigin
GetThemeRect;code;UxTheme.dll;#GetThemeRect
GetThemeStream;code;UxTheme.dll;#GetThemeStream
GetThemeString;code;UxTheme.dll;#GetThemeString
GetThemeSysBool;code;UxTheme.dll;#GetThemeSysBool
GetThemeSysColor;code;UxTheme.dll;#GetThemeSysColor
GetThemeSysColorBrush;code;UxTheme.dll;#GetThemeSysColorBrush
GetThemeSysFont;code;UxTheme.dll;#GetThemeSysFont
GetThemeSysInt;code;UxTheme.dll;#GetThemeSysInt
GetThemeSysSize;code;UxTheme.dll;#GetThemeSysSize
GetThemeSysString;code;UxTheme.dll;#GetThemeSysString
GetThemeTextExtent;code;UxTheme.dll;#GetThemeTextExtent
GetThemeTextMetrics;code;UxTheme.dll;#GetThemeTextMetrics
GetThemeTimingFunction;code;UxTheme.dll;#GetThemeTimingFunction
GetThemeTransitionDuration;code;UxTheme.dll;#GetThemeTransitionDuration
GetWindowTheme;code;UxTheme.dll;#GetWindowTheme
HitTestThemeBackground;code;UxTheme.dll;#HitTestThemeBackground
IsAppThemed;code;UxTheme.dll;#IsAppThemed
IsCompositionActive;code;UxTheme.dll;#IsCompositionActive
IsThemeActive;code;UxTheme.dll;#IsThemeActive
IsThemeBackgroundPartiallyTransparent;code;UxTheme.dll;#IsThemeBackgroundPartiallyTransparent
IsThemeDialogTextureEnabled;code;UxTheme.dll;#IsThemeDialogTextureEnabled
IsThemePartDefined;code;UxTheme.dll;#IsThemePartDefined
OpenThemeData;code;UxTheme.dll;#OpenThemeData
#OpenThemeDataEx;code;UxTheme.dll;61
OpenThemeDataForDpi;code;UxTheme.dll;#OpenThemeDataForDpi
SetThemeAppProperties;code;UxTheme.dll;#SetThemeAppProperties
SetWindowTheme;code;UxTheme.dll;#SetWindowTheme
SetWindowThemeAttribute;code;UxTheme.dll;#SetWindowThemeAttribute
ThemeInitApiHook;code;UxTheme.dll;#ThemeInitApiHook
UpdatePanningFeedback;code;UxTheme.dll;#UpdatePanningFeedback
BeginBufferedAnimation;code;UxTheme.dll;
BeginBufferedPaint;code;UxTheme.dll;
BeginPanningFeedback;code;UxTheme.dll;
BufferedPaintClear;code;UxTheme.dll;
BufferedPaintInit;code;UxTheme.dll;
BufferedPaintRenderAnimation;code;UxTheme.dll;
BufferedPaintSetAlpha;code;UxTheme.dll;
BufferedPaintStopAllAnimations;code;UxTheme.dll;
BufferedPaintUnInit;code;UxTheme.dll;
CloseThemeData;code;UxTheme.dll;
DrawThemeBackground;code;UxTheme.dll;
DrawThemeBackgroundEx;code;UxTheme.dll;47
DrawThemeEdge;code;UxTheme.dll;
DrawThemeIcon;code;UxTheme.dll;
DrawThemeParentBackground;code;UxTheme.dll;
DrawThemeParentBackgroundEx;code;UxTheme.dll;
DrawThemeText;code;UxTheme.dll;
DrawThemeTextEx;code;UxTheme.dll;
EnableThemeDialogTexture;code;UxTheme.dll;
EnableTheming;code;UxTheme.dll;
EndBufferedAnimation;code;UxTheme.dll;
