Name;Type;DLL;SymbolOrOrdinal
AbortPrinter;code;WINSPOOL.DRV;#AbortPrinter
AddFormA;code;WINSPOOL.DRV;#AddFormA
AddFormW;code;WINSPOOL.DRV;#AddFormW
AddJobA;code;WINSPOOL.DRV;#AddJobA
AddJobW;code;WINSPOOL.DRV;#AddJobW
AddMonitorA;code;WINSPOOL.DRV;#AddMonitorA
AddMonitorW;code;WINSPOOL.DRV;#AddMonitorW
#AddPerMachineConnectionA;code;WINSPOOL.DRV;206
#AddPerMachineConnectionW;code;WINSPOOL.DRV;207
AddPortA;code;WINSPOOL.DRV;#AddPortA
AddPortExA;code;WINSPOOL.DRV;#AddPortExA
AddPortExW;code;WINSPOOL.DRV;#AddPortExW
AddPortW;code;WINSPOOL.DRV;#AddPortW
AddPrintProcessorA;code;WINSPOOL.DRV;#AddPrintProcessorA
AddPrintProcessorW;code;WINSPOOL.DRV;#AddPrintProcessorW
AddPrintProvidorA;code;WINSPOOL.DRV;#AddPrintProvidorA
AddPrintProvidorW;code;WINSPOOL.DRV;#AddPrintProvidorW
AddPrinterA;code;WINSPOOL.DRV;#AddPrinterA
AddPrinterConnection2A;code;WINSPOOL.DRV;#AddPrinterConnection2A
AddPrinterConnection2W;code;WINSPOOL.DRV;#AddPrinterConnection2W
AddPrinterConnectionA;code;WINSPOOL.DRV;#AddPrinterConnectionA
AddPrinterConnectionW;code;WINSPOOL.DRV;#AddPrinterConnectionW
AddPrinterDriverA;code;WINSPOOL.DRV;#AddPrinterDriverA
AddPrinterDriverExA;code;WINSPOOL.DRV;#AddPrinterDriverExA
AddPrinterDriverExW;code;WINSPOOL.DRV;#AddPrinterDriverExW
AddPrinterDriverW;code;WINSPOOL.DRV;#AddPrinterDriverW
AddPrinterW;code;WINSPOOL.DRV;#AddPrinterW
AdvancedDocumentPropertiesA;code;WINSPOOL.DRV;#AdvancedDocumentPropertiesA
AdvancedDocumentPropertiesW;code;WINSPOOL.DRV;#AdvancedDocumentPropertiesW
ClosePrinter;code;WINSPOOL.DRV;#ClosePrinter
CloseSpoolFileHandle;code;WINSPOOL.DRV;#CloseSpoolFileHandle
CommitSpoolData;code;WINSPOOL.DRV;#CommitSpoolData
ConfigurePortA;code;WINSPOOL.DRV;#ConfigurePortA
ConfigurePortW;code;WINSPOOL.DRV;#ConfigurePortW
ConnectToPrinterDlg;code;WINSPOOL.DRV;#ConnectToPrinterDlg
CorePrinterDriverInstalledA;code;WINSPOOL.DRV;#CorePrinterDriverInstalledA
CorePrinterDriverInstalledW;code;WINSPOOL.DRV;#CorePrinterDriverInstalledW
CreatePrintAsyncNotifyChannel;code;WINSPOOL.DRV;#CreatePrintAsyncNotifyChannel
CreatePrinterIC;code;WINSPOOL.DRV;#CreatePrinterIC
DEVICECAPABILITIES;code;WINSPOOL.DRV;#DEVICECAPABILITIES
DeleteFormA;code;WINSPOOL.DRV;#DeleteFormA
DeleteFormW;code;WINSPOOL.DRV;#DeleteFormW
DeleteJobNamedProperty;code;WINSPOOL.DRV;#DeleteJobNamedProperty
DeleteMonitorA;code;WINSPOOL.DRV;#DeleteMonitorA
DeleteMonitorW;code;WINSPOOL.DRV;#DeleteMonitorW
