Name;Type;DLL;SymbolOrOrdinal
CloseTrace;code;ADVAPI32.dll;
ControlTraceW;code;ADVAPI32.dll;
CryptReleaseContext;code;ADVAPI32.dll;
CveEventWrite;code;ADVAPI32.dll;
EnableTrace;code;ADVAPI32.dll;
EnableTraceEx;code;ADVAPI32.dll;
EnableTraceEx2;code;ADVAPI32.dll;
EnumDynamicTimeZoneInformation;code;ADVAPI32.dll;
EventActivityIdControl;code;ADVAPI32.dll;
EventRegister;code;ADVAPI32.dll;
EventSetInformation;code;ADVAPI32.dll;
EventUnregister;code;ADVAPI32.dll;
EventWrite;code;ADVAPI32.dll;
EventWriteEx;code;ADVAPI32.dll;
EventWriteString;code;ADVAPI32.dll;
EventWriteTransfer;code;ADVAPI32.dll;
FlushTraceW;code;ADVAPI32.dll;
GetDynamicTimeZoneInformationEffectiveYears;code;ADVAPI32.dll;
GetTraceEnableFlags;code;ADVAPI32.dll;
GetTraceEnableLevel;code;ADVAPI32.dll;
GetTraceLoggerHandle;code;ADVAPI32.dll;
OpenTraceW;code;ADVAPI32.dll;
ProcessTrace;code;ADVAPI32.dll;
QueryTraceW;code;ADVAPI32.dll;
RegisterTraceGuidsW;code;ADVAPI32.dll;
StartTraceW;code;ADVAPI32.dll;
StopTraceW;code;ADVAPI32.dll;
TraceMessage;code;ADVAPI32.dll;
UnregisterTraceGuids;code;ADVAPI32.dll;
IdnToAscii;code;api-ms-win-core-localization-l1-2-0.dll;
IdnToUnicode;code;api-ms-win-core-localization-l1-2-0.dll;
RoActivateInstance;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetActivationFactory;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetApartmentIdentifier;code;api-ms-win-core-winrt-l1-1-0.dll;
RoInitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRegisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoRevokeActivationFactories;code;api-ms-win-core-winrt-l1-1-0.dll;
RoUninitialize;code;api-ms-win-core-winrt-l1-1-0.dll;
RoUnregisterForApartmentShutdown;code;api-ms-win-core-winrt-l1-1-0.dll;
RoGetBufferMarshaler;code;api-ms-win-core-winrt-robuffer-l1-1-0.dll;
CloseCompressor;code;Cabinet.dll;35
CloseDecompressor;code;Cabinet.dll;45
