Name;Type;DLL;SymbolOrOrdinal
AVIBuildFilter;code;AVIFIL32.dll;#AVIBuildFilter
AVIBuildFilterA;code;AVIFIL32.dll;#AVIBuildFilterA
AVIBuildFilterW;code;AVIFIL32.dll;#AVIBuildFilterW
AVIClearClipboard;code;AVIFIL32.dll;#AVIClearClipboard
AVIFileAddRef;code;AVIFIL32.dll;#AVIFileAddRef
AVIFileCreateStream;code;AVIFIL32.dll;#AVIFileCreateStream
AVIFileCreateStreamA;code;AVIFIL32.dll;#AVIFileCreateStreamA
AVIFileCreateStreamW;code;AVIFIL32.dll;#AVIFileCreateStreamW
AVIFileEndRecord;code;AVIFIL32.dll;#AVIFileEndRecord
AVIFileExit;code;AVIFIL32.dll;#AVIFileExit
AVIFileGetStream;code;AVIFIL32.dll;#AVIFileGetStream
AVIFileInfo;code;AVIFIL32.dll;#AVIFileInfo
AVIFileInfoA;code;AVIFIL32.dll;#AVIFileInfoA
AVIFileInfoW;code;AVIFIL32.dll;#AVIFileInfoW
AVIFileInit;code;AVIFIL32.dll;#AVIFileInit
AVIFileOpen;code;AVIFIL32.dll;#AVIFileOpen
AVIFileOpenA;code;AVIFIL32.dll;#AVIFileOpenA
AVIFileOpenW;code;AVIFIL32.dll;#AVIFileOpenW
AVIFileReadData;code;AVIFIL32.dll;#AVIFileReadData
AVIFileRelease;code;AVIFIL32.dll;#AVIFileRelease
AVIFileWriteData;code;AVIFIL32.dll;#AVIFileWriteData
AVIGetFromClipboard;code;AVIFIL32.dll;#AVIGetFromClipboard
AVIMakeCompressedStream;code;AVIFIL32.dll;#AVIMakeCompressedStream
AVIMakeFileFromStreams;code;AVIFIL32.dll;#AVIMakeFileFromStreams
AVIMakeStreamFromClipboard;code;AVIFIL32.dll;#AVIMakeStreamFromClipboard
AVIPutFileOnClipboard;code;AVIFIL32.dll;#AVIPutFileOnClipboard
AVISave;code;AVIFIL32.dll;#AVISave
AVISaveA;code;AVIFIL32.dll;#AVISaveA
AVISaveOptions;code;AVIFIL32.dll;#AVISaveOptions
AVISaveOptionsFree;code;AVIFIL32.dll;#AVISaveOptionsFree
AVISaveV;code;AVIFIL32.dll;#AVISaveV
AVISaveVA;code;AVIFIL32.dll;#AVISaveVA
AVISaveVW;code;AVIFIL32.dll;#AVISaveVW
AVISaveW;code;AVIFIL32.dll;#AVISaveW
AVIStreamAddRef;code;AVIFIL32.dll;#AVIStreamAddRef
AVIStreamBeginStreaming;code;AVIFIL32.dll;#AVIStreamBeginStreaming
AVIStreamCreate;code;AVIFIL32.dll;#AVIStreamCreate
AVIStreamEndStreaming;code;AVIFIL32.dll;#AVIStreamEndStreaming
AVIStreamFindSample;code;AVIFIL32.dll;#AVIStreamFindSample
AVIStreamGetFrame;code;AVIFIL32.dll;#AVIStreamGetFrame
AVIStreamGetFrameClose;code;AVIFIL32.dll;#AVIStreamGetFrameClose
AVIStreamGetFrameOpen;code;AVIFIL32.dll;#AVIStreamGetFrameOpen
AVIStreamInfo;code;AVIFIL32.dll;#AVIStreamInfo
