Name;Type;DLL;SymbolOrOrdinal
Bcp47GetDistanceCString;code;bcp47mrm.dll;#Bcp47GetDistanceCString
Bcp47GetNeutralFormCString;code;bcp47mrm.dll;#Bcp47GetNeutralFormCString
Bcp47IsValid;code;bcp47mrm.dll;#Bcp47IsValid
CompareBcp47Tags;code;bcp47mrm.dll;#CompareBcp47Tags
FormatLanguageList;code;bcp47mrm.dll;#FormatLanguageList
FormatLanguageTag;code;bcp47mrm.dll;#FormatLanguageTag
GetApplicationLanguagesWithUserLanguagesFallback;code;bcp47mrm.dll;#GetApplicationLanguagesWithUserLanguagesFallback
GetApplicationLayoutDirection;code;bcp47mrm.dll;#GetApplicationLayoutDirection
GetClosenessOfUnIsoRegionTags;code;bcp47mrm.dll;#GetClosenessOfUnIsoRegionTags
GetCompositeRegionCode;code;bcp47mrm.dll;#GetCompositeRegionCode
GetDistanceOfClosestLanguageInList;code;bcp47mrm.dll;#GetDistanceOfClosestLanguageInList
GetLanguageDirectionality;code;bcp47mrm.dll;#GetLanguageDirectionality
GetMrtDisplayLanguageList;code;bcp47mrm.dll;#GetMrtDisplayLanguageList
GetParentCompositeRegionCode;code;bcp47mrm.dll;#GetParentCompositeRegionCode
IsValidTag;code;bcp47mrm.dll;#IsValidTag
IsValidUnIsoRegionTag;code;bcp47mrm.dll;#IsValidUnIsoRegionTag
IsWellFormedTag;code;bcp47mrm.dll;#IsWellFormedTag
Bcp47GetDistanceCString;code;bcp47mrm.dll;
Bcp47GetNeutralFormCString;code;bcp47mrm.dll;
Bcp47IsValid;code;bcp47mrm.dll;
CompareBcp47Tags;code;bcp47mrm.dll;
FormatLanguageList;code;bcp47mrm.dll;
FormatLanguageTag;code;bcp47mrm.dll;
GetApplicationLanguagesWithUserLanguagesFallback;code;bcp47mrm.dll;
GetApplicationLayoutDirection;code;bcp47mrm.dll;
GetClosenessOfUnIsoRegionTags;code;bcp47mrm.dll;
GetCompositeRegionCode;code;bcp47mrm.dll;
GetDistanceOfClosestLanguageInList;code;bcp47mrm.dll;
GetLanguageDirectionality;code;bcp47mrm.dll;
GetMrtDisplayLanguageList;code;bcp47mrm.dll;
GetParentCompositeRegionCode;code;bcp47mrm.dll;
IsValidTag;code;bcp47mrm.dll;
IsValidUnIsoRegionTag;code;bcp47mrm.dll;
IsWellFormedTag;code;bcp47mrm.dll;
