Name;Type;DLL;SymbolOrOrdinal
BluetoothAuthenticateDevice;code;bthprops.cpl;#BluetoothAuthenticateDevice
BluetoothAuthenticateDeviceEx;code;bthprops.cpl;#BluetoothAuthenticateDeviceEx
BluetoothAuthenticateMultipleDevices;code;bthprops.cpl;#BluetoothAuthenticateMultipleDevices
BluetoothAuthenticationAgent;code;bthprops.cpl;#BluetoothAuthenticationAgent
BluetoothDisplayDeviceProperties;code;bthprops.cpl;#BluetoothDisplayDeviceProperties
BluetoothSelectDevices;code;bthprops.cpl;#BluetoothSelectDevices
BluetoothSelectDevicesFree;code;bthprops.cpl;#BluetoothSelectDevicesFree
CPlApplet;code;bthprops.cpl;#CPlApplet
BluetoothEnableDiscovery;code;bthprops.cpl;BluetoothEnableDiscovery
BluetoothEnableIncomingConnections;code;bthprops.cpl;BluetoothEnableIncomingConnections
BluetoothEnumerateInstalledServices;code;bthprops.cpl;BluetoothEnumerateInstalledServices
BluetoothFindDeviceClose;code;bthprops.cpl;BluetoothFindDeviceClose
BluetoothFindFirstDevice;code;bthprops.cpl;BluetoothFindFirstDevice
BluetoothFindFirstRadio;code;bthprops.cpl;BluetoothFindFirstRadio
BluetoothFindNextDevice;code;bthprops.cpl;BluetoothFindNextDevice
BluetoothFindNextRadio;code;bthprops.cpl;BluetoothFindNextRadio
BluetoothFindRadioClose;code;bthprops.cpl;BluetoothFindRadioClose
BluetoothGetDeviceInfo;code;bthprops.cpl;BluetoothGetDeviceInfo
BluetoothGetRadioInfo;code;bthprops.cpl;BluetoothGetRadioInfo
BluetoothIsConnectable;code;bthprops.cpl;BluetoothIsConnectable
BluetoothIsDiscoverable;code;bthprops.cpl;BluetoothIsDiscoverable
BluetoothIsVersionAvailable;code;bthprops.cpl;BluetoothIsVersionAvailable
BluetoothRegisterForAuthentication;code;bthprops.cpl;BluetoothRegisterForAuthentication
BluetoothRegisterForAuthenticationEx;code;bthprops.cpl;BluetoothRegisterForAuthenticationEx
BluetoothRemoveDevice;code;bthprops.cpl;BluetoothRemoveDevice
BluetoothSdpEnumAttributes;code;bthprops.cpl;BluetoothSdpEnumAttributes
BluetoothSdpGetAttributeValue;code;bthprops.cpl;BluetoothSdpGetAttributeValue
BluetoothSdpGetContainerElementData;code;bthprops.cpl;BluetoothSdpGetContainerElementData
BluetoothSdpGetElementData;code;bthprops.cpl;BluetoothSdpGetElementData
BluetoothSdpGetString;code;bthprops.cpl;BluetoothSdpGetString
BluetoothSendAuthenticationResponse;code;bthprops.cpl;BluetoothSendAuthenticationResponse
BluetoothSendAuthenticationResponseEx;code;bthprops.cpl;BluetoothSendAuthenticationResponseEx
BluetoothSetLocalServiceInfo;code;bthprops.cpl;BluetoothSetLocalServiceInfo
BluetoothSetServiceState;code;bthprops.cpl;BluetoothSetServiceState
BluetoothUnregisterAuthentication;code;bthprops.cpl;BluetoothUnregisterAuthentication
BluetoothUpdateDeviceRecord;code;bthprops.cpl;BluetoothUpdateDeviceRecord
BluetoothAuthenticateDevice;code;bthprops.cpl;
BluetoothAuthenticateDeviceEx;code;bthprops.cpl;
BluetoothAuthenticateMultipleDevices;code;bthprops.cpl;
BluetoothAuthenticationAgent;code;bthprops.cpl;
BluetoothDisplayDeviceProperties;code;bthprops.cpl;
BluetoothEnableDiscovery;code;bthprops.cpl;
BluetoothEnableIncomingConnections;code;bthprops.cpl;
BluetoothEnumerateInstalledServices;code;bthprops.cpl;
BluetoothFindDeviceClose;code;bthprops.cpl;
BluetoothFindFirstDevice;code;bthprops.cpl;
BluetoothFindFirstRadio;code;bthprops.cpl;
BluetoothFindNextDevice;code;bthprops.cpl;
BluetoothFindNextRadio;code;bthprops.cpl;
BluetoothFindRadioClose;code;bthprops.cpl;
BluetoothGetDeviceInfo;code;bthprops.cpl;
BluetoothGetRadioInfo;code;bthprops.cpl;
BluetoothIsConnectable;code;bthprops.cpl;
BluetoothIsDiscoverable;code;bthprops.cpl;
BluetoothIsVersionAvailable;code;bthprops.cpl;
BluetoothRegisterForAuthentication;code;bthprops.cpl;
BluetoothRegisterForAuthenticationEx;code;bthprops.cpl;
BluetoothRemoveDevice;code;bthprops.cpl;
BluetoothSdpEnumAttributes;code;bthprops.cpl;
BluetoothSdpGetAttributeValue;code;bthprops.cpl;
BluetoothSdpGetContainerElementData;code;bthprops.cpl;
BluetoothSdpGetElementData;code;bthprops.cpl;
BluetoothSdpGetString;code;bthprops.cpl;
BluetoothSelectDevices;code;bthprops.cpl;
BluetoothSelectDevicesFree;code;bthprops.cpl;
BluetoothSendAuthenticationResponse;code;bthprops.cpl;
BluetoothSendAuthenticationResponseEx;code;bthprops.cpl;
BluetoothSetLocalServiceInfo;code;bthprops.cpl;
BluetoothSetServiceState;code;bthprops.cpl;
BluetoothUnregisterAuthentication;code;bthprops.cpl;
BluetoothUpdateDeviceRecord;code;bthprops.cpl;
CPlApplet;code;bthprops.cpl;
