Name;Type;DLL;SymbolOrOrdinal
CredPackAuthenticationBufferA;code;credui.dll;#CredPackAuthenticationBufferA
CredPackAuthenticationBufferW;code;credui.dll;#CredPackAuthenticationBufferW
CredUICmdLinePromptForCredentialsA;code;credui.dll;#CredUICmdLinePromptForCredentialsA
CredUICmdLinePromptForCredentialsW;code;credui.dll;#CredUICmdLinePromptForCredentialsW
CredUIConfirmCredentialsA;code;credui.dll;#CredUIConfirmCredentialsA
CredUIConfirmCredentialsW;code;credui.dll;#CredUIConfirmCredentialsW
CredUIParseUserNameA;code;credui.dll;#CredUIParseUserNameA
CredUIParseUserNameW;code;credui.dll;#CredUIParseUserNameW
CredUIPromptForCredentialsA;code;credui.dll;#CredUIPromptForCredentialsA
CredUIPromptForCredentialsW;code;credui.dll;#CredUIPromptForCredentialsW
CredUIPromptForWindowsCredentialsA;code;credui.dll;#CredUIPromptForWindowsCredentialsA
CredUIPromptForWindowsCredentialsW;code;credui.dll;#CredUIPromptForWindowsCredentialsW
CredUIReadSSOCredW;code;credui.dll;#CredUIReadSSOCredW
CredUIStoreSSOCredW;code;credui.dll;#CredUIStoreSSOCredW
CredUnPackAuthenticationBufferA;code;credui.dll;#CredUnPackAuthenticationBufferA
CredUnPackAuthenticationBufferW;code;credui.dll;#CredUnPackAuthenticationBufferW
SspiGetCredUIContext;code;credui.dll;#SspiGetCredUIContext
SspiIsPromptingNeeded;code;credui.dll;#SspiIsPromptingNeeded
SspiPromptForCredentialsA;code;credui.dll;#SspiPromptForCredentialsA
SspiPromptForCredentialsW;code;credui.dll;#SspiPromptForCredentialsW
SspiUnmarshalCredUIContext;code;credui.dll;#SspiUnmarshalCredUIContext
SspiUpdateCredentials;code;credui.dll;#SspiUpdateCredentials
CredPackAuthenticationBufferA;code;credui.dll;
CredPackAuthenticationBufferW;code;credui.dll;
CredUICmdLinePromptForCredentialsA;code;credui.dll;
CredUICmdLinePromptForCredentialsW;code;credui.dll;
CredUIConfirmCredentialsA;code;credui.dll;
CredUIConfirmCredentialsW;code;credui.dll;
CredUIParseUserNameA;code;credui.dll;
CredUIParseUserNameW;code;credui.dll;
CredUIPromptForCredentialsA;code;credui.dll;
CredUIPromptForCredentialsW;code;credui.dll;
CredUIPromptForWindowsCredentialsA;code;credui.dll;
CredUIPromptForWindowsCredentialsW;code;credui.dll;
CredUIReadSSOCredW;code;credui.dll;
CredUIStoreSSOCredW;code;credui.dll;
CredUnPackAuthenticationBufferA;code;credui.dll;
CredUnPackAuthenticationBufferW;code;credui.dll;
SspiGetCredUIContext;code;credui.dll;
SspiIsPromptingNeeded;code;credui.dll;
SspiPromptForCredentialsA;code;credui.dll;
SspiPromptForCredentialsW;code;credui.dll;
SspiUnmarshalCredUIContext;code;credui.dll;
SspiUpdateCredentials;code;credui.dll;
