Name;Type;DLL;SymbolOrOrdinal
DavCancelConnectionsToServer;code;davclnt.dll;#DavCancelConnectionsToServer
DavFreeUsedDiskSpace;code;davclnt.dll;#DavFreeUsedDiskSpace
DavGetDiskSpaceUsage;code;davclnt.dll;#DavGetDiskSpaceUsage
DavGetTheLockOwnerOfTheFile;code;davclnt.dll;#DavGetTheLockOwnerOfTheFile
DavInvalidateCache;code;davclnt.dll;#DavInvalidateCache
DavRegisterAuthCallback;code;davclnt.dll;#DavRegisterAuthCallback
DavSetCookieW;code;davclnt.dll;#DavSetCookieW
DavUnregisterAuthCallback;code;davclnt.dll;#DavUnregisterAuthCallback
DllMain;code;davclnt.dll;#DllMain
NPAddConnection;code;davclnt.dll;#NPAddConnection
NPAddConnection3;code;davclnt.dll;#NPAddConnection3
NPCancelConnection;code;davclnt.dll;#NPCancelConnection
NPCloseEnum;code;davclnt.dll;#NPCloseEnum
NPEnumResource;code;davclnt.dll;#NPEnumResource
NPFormatNetworkName;code;davclnt.dll;#NPFormatNetworkName
NPGetCaps;code;davclnt.dll;#NPGetCaps
NPGetConnection;code;davclnt.dll;#NPGetConnection
NPGetResourceInformation;code;davclnt.dll;#NPGetResourceInformation
NPGetResourceParent;code;davclnt.dll;#NPGetResourceParent
NPGetUniversalName;code;davclnt.dll;#NPGetUniversalName
NPGetUser;code;davclnt.dll;#NPGetUser
NPOpenEnum;code;davclnt.dll;#NPOpenEnum
DavCancelConnectionsToServer;code;davclnt.dll;
DavFreeUsedDiskSpace;code;davclnt.dll;
DavGetDiskSpaceUsage;code;davclnt.dll;
DavGetTheLockOwnerOfTheFile;code;davclnt.dll;
DavInvalidateCache;code;davclnt.dll;
DavRegisterAuthCallback;code;davclnt.dll;
DavSetCookieW;code;davclnt.dll;
DavUnregisterAuthCallback;code;davclnt.dll;
DllMain;code;davclnt.dll;
NPAddConnection;code;davclnt.dll;
NPAddConnection3;code;davclnt.dll;
NPCancelConnection;code;davclnt.dll;
NPCloseEnum;code;davclnt.dll;
NPEnumResource;code;davclnt.dll;
NPFormatNetworkName;code;davclnt.dll;
NPGetCaps;code;davclnt.dll;
NPGetConnection;code;davclnt.dll;
NPGetResourceInformation;code;davclnt.dll;
NPGetResourceParent;code;davclnt.dll;
NPGetUniversalName;code;davclnt.dll;
NPGetUser;code;davclnt.dll;
NPOpenEnum;code;davclnt.dll;
