Name;Type;DLL;SymbolOrOrdinal
DhcpAddFilterV4;code;DHCPSAPI.DLL;#DhcpAddFilterV4
DhcpAddMScopeElement;code;DHCPSAPI.DLL;#DhcpAddMScopeElement
DhcpAddSecurityGroup;code;DHCPSAPI.DLL;#DhcpAddSecurityGroup
DhcpAddServer;code;DHCPSAPI.DLL;#DhcpAddServer
DhcpAddSubnetElement;code;DHCPSAPI.DLL;#DhcpAddSubnetElement
DhcpAddSubnetElementV4;code;DHCPSAPI.DLL;#DhcpAddSubnetElementV4
DhcpAddSubnetElementV5;code;DHCPSAPI.DLL;#DhcpAddSubnetElementV5
DhcpAddSubnetElementV6;code;DHCPSAPI.DLL;#DhcpAddSubnetElementV6
DhcpAuditLogGetParams;code;DHCPSAPI.DLL;#DhcpAuditLogGetParams
DhcpAuditLogSetParams;code;DHCPSAPI.DLL;#DhcpAuditLogSetParams
DhcpCreateClass;code;DHCPSAPI.DLL;#DhcpCreateClass
DhcpCreateClassV6;code;DHCPSAPI.DLL;#DhcpCreateClassV6
DhcpCreateClientInfo;code;DHCPSAPI.DLL;#DhcpCreateClientInfo
DhcpCreateClientInfoV4;code;DHCPSAPI.DLL;#DhcpCreateClientInfoV4
DhcpCreateClientInfoVQ;code;DHCPSAPI.DLL;#DhcpCreateClientInfoVQ
DhcpCreateOption;code;DHCPSAPI.DLL;#DhcpCreateOption
DhcpCreateOptionV5;code;DHCPSAPI.DLL;#DhcpCreateOptionV5
DhcpCreateOptionV6;code;DHCPSAPI.DLL;#DhcpCreateOptionV6
DhcpCreateSubnet;code;DHCPSAPI.DLL;#DhcpCreateSubnet
DhcpCreateSubnetV6;code;DHCPSAPI.DLL;#DhcpCreateSubnetV6
DhcpCreateSubnetVQ;code;DHCPSAPI.DLL;#DhcpCreateSubnetVQ
DhcpDeleteClass;code;DHCPSAPI.DLL;#DhcpDeleteClass
DhcpDeleteClassV6;code;DHCPSAPI.DLL;#DhcpDeleteClassV6
DhcpDeleteClientInfo;code;DHCPSAPI.DLL;#DhcpDeleteClientInfo
DhcpDeleteClientInfoV6;code;DHCPSAPI.DLL;#DhcpDeleteClientInfoV6
DhcpDeleteFilterV4;code;DHCPSAPI.DLL;#DhcpDeleteFilterV4
DhcpDeleteMClientInfo;code;DHCPSAPI.DLL;#DhcpDeleteMClientInfo
DhcpDeleteMScope;code;DHCPSAPI.DLL;#DhcpDeleteMScope
DhcpDeleteServer;code;DHCPSAPI.DLL;#DhcpDeleteServer
DhcpDeleteSubnet;code;DHCPSAPI.DLL;#DhcpDeleteSubnet
DhcpDeleteSubnetV6;code;DHCPSAPI.DLL;#DhcpDeleteSubnetV6
DhcpDeleteSuperScopeV4;code;DHCPSAPI.DLL;#DhcpDeleteSuperScopeV4
DhcpDsCleanup;code;DHCPSAPI.DLL;#DhcpDsCleanup
DhcpDsClearHostServerEntries;code;DHCPSAPI.DLL;#DhcpDsClearHostServerEntries
DhcpDsInit;code;DHCPSAPI.DLL;#DhcpDsInit
DhcpEnumClasses;code;DHCPSAPI.DLL;#DhcpEnumClasses
DhcpEnumClassesV6;code;DHCPSAPI.DLL;#DhcpEnumClassesV6
DhcpEnumFilterV4;code;DHCPSAPI.DLL;#DhcpEnumFilterV4
DhcpEnumMScopeClients;code;DHCPSAPI.DLL;#DhcpEnumMScopeClients
DhcpEnumMScopeElements;code;DHCPSAPI.DLL;#DhcpEnumMScopeElements
DhcpEnumMScopes;code;DHCPSAPI.DLL;#DhcpEnumMScopes
DhcpEnumOptionValues;code;DHCPSAPI.DLL;#DhcpEnumOptionValues
DhcpEnumOptionValuesV5;code;DHCPSAPI.DLL;#DhcpEnumOptionValuesV5
DhcpEnumOptionValuesV6;code;DHCPSAPI.DLL;#DhcpEnumOptionValuesV6
DhcpEnumOptions;code;DHCPSAPI.DLL;#DhcpEnumOptions
DhcpEnumOptionsV5;code;DHCPSAPI.DLL;#DhcpEnumOptionsV5
DhcpEnumOptionsV6;code;DHCPSAPI.DLL;#DhcpEnumOptionsV6
DhcpEnumServers;code;DHCPSAPI.DLL;#DhcpEnumServers
DhcpEnumSubnetClients;code;DHCPSAPI.DLL;#DhcpEnumSubnetClients
DhcpEnumSubnetClientsFilterStatusInfo;code;DHCPSAPI.DLL;#DhcpEnumSubnetClientsFilterStatusInfo
DhcpEnumSubnetClientsV4;code;DHCPSAPI.DLL;#DhcpEnumSubnetClientsV4
DhcpEnumSubnetClientsV5;code;DHCPSAPI.DLL;#DhcpEnumSubnetClientsV5
DhcpEnumSubnetClientsV6;code;DHCPSAPI.DLL;#DhcpEnumSubnetClientsV6
DhcpEnumSubnetClientsVQ;code;DHCPSAPI.DLL;#DhcpEnumSubnetClientsVQ
DhcpEnumSubnetElements;code;DHCPSAPI.DLL;#DhcpEnumSubnetElements
DhcpEnumSubnetElementsV4;code;DHCPSAPI.DLL;#DhcpEnumSubnetElementsV4
DhcpEnumSubnetElementsV5;code;DHCPSAPI.DLL;#DhcpEnumSubnetElementsV5
DhcpEnumSubnetElementsV6;code;DHCPSAPI.DLL;#DhcpEnumSubnetElementsV6
DhcpEnumSubnets;code;DHCPSAPI.DLL;#DhcpEnumSubnets
DhcpEnumSubnetsV6;code;DHCPSAPI.DLL;#DhcpEnumSubnetsV6
DhcpGetAllOptionValues;code;DHCPSAPI.DLL;#DhcpGetAllOptionValues
DhcpGetAllOptionValuesV6;code;DHCPSAPI.DLL;#DhcpGetAllOptionValuesV6
DhcpGetAllOptions;code;DHCPSAPI.DLL;#DhcpGetAllOptions
DhcpGetAllOptionsV6;code;DHCPSAPI.DLL;#DhcpGetAllOptionsV6
DhcpGetClassInfo;code;DHCPSAPI.DLL;#DhcpGetClassInfo
DhcpGetClientInfo;code;DHCPSAPI.DLL;#DhcpGetClientInfo
DhcpGetClientInfoV4;code;DHCPSAPI.DLL;#DhcpGetClientInfoV4
DhcpGetClientInfoV6;code;DHCPSAPI.DLL;#DhcpGetClientInfoV6
DhcpGetClientInfoVQ;code;DHCPSAPI.DLL;#DhcpGetClientInfoVQ
DhcpGetClientOptions;code;DHCPSAPI.DLL;#DhcpGetClientOptions
DhcpGetFilterV4;code;DHCPSAPI.DLL;#DhcpGetFilterV4
DhcpGetMCastMibInfo;code;DHCPSAPI.DLL;#DhcpGetMCastMibInfo
DhcpGetMScopeInfo;code;DHCPSAPI.DLL;#DhcpGetMScopeInfo
DhcpGetMibInfo;code;DHCPSAPI.DLL;#DhcpGetMibInfo
DhcpGetMibInfoV5;code;DHCPSAPI.DLL;#DhcpGetMibInfoV5
DhcpGetMibInfoV6;code;DHCPSAPI.DLL;#DhcpGetMibInfoV6
DhcpGetMibInfoVQ;code;DHCPSAPI.DLL;#DhcpGetMibInfoVQ
