Name;Type;DLL;SymbolOrOrdinal
HttpAddFragmentToCache;code;HTTPAPI.dll;#HttpAddFragmentToCache
HttpAddUrl;code;HTTPAPI.dll;#HttpAddUrl
HttpAddUrlToUrlGroup;code;HTTPAPI.dll;#HttpAddUrlToUrlGroup
HttpCancelHttpRequest;code;HTTPAPI.dll;#HttpCancelHttpRequest
HttpCloseRequestQueue;code;HTTPAPI.dll;#HttpCloseRequestQueue
HttpCloseServerSession;code;HTTPAPI.dll;#HttpCloseServerSession
HttpCloseUrlGroup;code;HTTPAPI.dll;#HttpCloseUrlGroup
HttpControlService;code;HTTPAPI.dll;#HttpControlService
HttpCreateHttpHandle;code;HTTPAPI.dll;#HttpCreateHttpHandle
HttpCreateRequestQueue;code;HTTPAPI.dll;#HttpCreateRequestQueue
HttpCreateRequestQueueEx;code;HTTPAPI.dll;#HttpCreateRequestQueueEx
HttpCreateServerSession;code;HTTPAPI.dll;#HttpCreateServerSession
HttpCreateUrlGroup;code;HTTPAPI.dll;#HttpCreateUrlGroup
HttpDeclarePush;code;HTTPAPI.dll;#HttpDeclarePush
HttpDelegateRequest;code;HTTPAPI.dll;#HttpDelegateRequest
HttpDelegateRequestEx;code;HTTPAPI.dll;#HttpDelegateRequestEx
HttpDeleteServiceConfiguration;code;HTTPAPI.dll;#HttpDeleteServiceConfiguration
HttpEvaluateRequest;code;HTTPAPI.dll;#HttpEvaluateRequest
HttpFindUrlGroupId;code;HTTPAPI.dll;#HttpFindUrlGroupId
HttpFlushResponseCache;code;HTTPAPI.dll;#HttpFlushResponseCache
HttpGetCounters;code;HTTPAPI.dll;#HttpGetCounters
HttpGetExtension;code;HTTPAPI.dll;#HttpGetExtension
HttpInitialize;code;HTTPAPI.dll;#HttpInitialize
HttpIsFeatureSupported;code;HTTPAPI.dll;#HttpIsFeatureSupported
HttpPrepareUrl;code;HTTPAPI.dll;#HttpPrepareUrl
HttpQueryRequestProperty;code;HTTPAPI.dll;#HttpQueryRequestProperty
HttpQueryRequestQueueProperty;code;HTTPAPI.dll;#HttpQueryRequestQueueProperty
HttpQueryServerSessionProperty;code;HTTPAPI.dll;#HttpQueryServerSessionProperty
HttpQueryServiceConfiguration;code;HTTPAPI.dll;#HttpQueryServiceConfiguration
HttpQueryUrlGroupProperty;code;HTTPAPI.dll;#HttpQueryUrlGroupProperty
HttpReadFragmentFromCache;code;HTTPAPI.dll;#HttpReadFragmentFromCache
HttpReceiveClientCertificate;code;HTTPAPI.dll;#HttpReceiveClientCertificate
HttpReceiveHttpRequest;code;HTTPAPI.dll;#HttpReceiveHttpRequest
HttpReceiveRequestEntityBody;code;HTTPAPI.dll;#HttpReceiveRequestEntityBody
HttpRemoveUrl;code;HTTPAPI.dll;#HttpRemoveUrl
HttpRemoveUrlFromUrlGroup;code;HTTPAPI.dll;#HttpRemoveUrlFromUrlGroup
HttpSendHttpResponse;code;HTTPAPI.dll;#HttpSendHttpResponse
HttpSendResponseEntityBody;code;HTTPAPI.dll;#HttpSendResponseEntityBody
HttpSetRequestProperty;code;HTTPAPI.dll;#HttpSetRequestProperty
HttpSetRequestQueueProperty;code;HTTPAPI.dll;#HttpSetRequestQueueProperty
HttpSetServerSessionProperty;code;HTTPAPI.dll;#HttpSetServerSessionProperty
HttpSetServiceConfiguration;code;HTTPAPI.dll;#HttpSetServiceConfiguration
HttpSetUrlGroupProperty;code;HTTPAPI.dll;#HttpSetUrlGroupProperty
HttpShutdownRequestQueue;code;HTTPAPI.dll;#HttpShutdownRequestQueue
HttpTerminate;code;HTTPAPI.dll;#HttpTerminate
HttpUpdateServiceConfiguration;code;HTTPAPI.dll;#HttpUpdateServiceConfiguration
HttpWaitForDemandStart;code;HTTPAPI.dll;#HttpWaitForDemandStart
HttpWaitForDisconnect;code;HTTPAPI.dll;#HttpWaitForDisconnect
HttpWaitForDisconnectEx;code;HTTPAPI.dll;#HttpWaitForDisconnectEx
HttpAddFragmentToCache;code;HTTPAPI.dll;
HttpAddUrl;code;HTTPAPI.dll;
HttpAddUrlToUrlGroup;code;HTTPAPI.dll;
HttpCancelHttpRequest;code;HTTPAPI.dll;
HttpCloseRequestQueue;code;HTTPAPI.dll;
HttpCloseServerSession;code;HTTPAPI.dll;
HttpCloseUrlGroup;code;HTTPAPI.dll;
HttpControlService;code;HTTPAPI.dll;
HttpCreateHttpHandle;code;HTTPAPI.dll;
HttpCreateRequestQueue;code;HTTPAPI.dll;
HttpCreateRequestQueueEx;code;HTTPAPI.dll;
HttpCreateServerSession;code;HTTPAPI.dll;
HttpCreateUrlGroup;code;HTTPAPI.dll;
HttpDeclarePush;code;HTTPAPI.dll;
HttpDelegateRequest;code;HTTPAPI.dll;
HttpDelegateRequestEx;code;HTTPAPI.dll;
HttpDeleteServiceConfiguration;code;HTTPAPI.dll;
HttpEvaluateRequest;code;HTTPAPI.dll;
HttpFindUrlGroupId;code;HTTPAPI.dll;
HttpFlushResponseCache;code;HTTPAPI.dll;
HttpGetCounters;code;HTTPAPI.dll;
HttpGetExtension;code;HTTPAPI.dll;
HttpInitialize;code;HTTPAPI.dll;
HttpIsFeatureSupported;code;HTTPAPI.dll;
HttpPrepareUrl;code;HTTPAPI.dll;
HttpQueryRequestProperty;code;HTTPAPI.dll;
HttpQueryRequestQueueProperty;code;HTTPAPI.dll;
HttpQueryServerSessionProperty;code;HTTPAPI.dll;
HttpQueryServiceConfiguration;code;HTTPAPI.dll;
HttpQueryUrlGroupProperty;code;HTTPAPI.dll;
HttpReadFragmentFromCache;code;HTTPAPI.dll;
HttpReceiveClientCertificate;code;HTTPAPI.dll;
HttpReceiveHttpRequest;code;HTTPAPI.dll;
HttpReceiveRequestEntityBody;code;HTTPAPI.dll;
HttpRemoveUrl;code;HTTPAPI.dll;
HttpRemoveUrlFromUrlGroup;code;HTTPAPI.dll;
HttpSendHttpResponse;code;HTTPAPI.dll;
HttpSendResponseEntityBody;code;HTTPAPI.dll;
HttpSetRequestProperty;code;HTTPAPI.dll;
HttpSetRequestQueueProperty;code;HTTPAPI.dll;
HttpSetServerSessionProperty;code;HTTPAPI.dll;
HttpSetServiceConfiguration;code;HTTPAPI.dll;
HttpSetUrlGroupProperty;code;HTTPAPI.dll;
HttpShutdownRequestQueue;code;HTTPAPI.dll;
HttpTerminate;code;HTTPAPI.dll;
HttpUpdateServiceConfiguration;code;HTTPAPI.dll;
HttpWaitForDemandStart;code;HTTPAPI.dll;
HttpWaitForDisconnect;code;HTTPAPI.dll;
HttpWaitForDisconnectEx;code;HTTPAPI.dll;
