Name;Type;DLL;SymbolOrOrdinal
AddIPAddress;code;IPHLPAPI.DLL;#AddIPAddress
AllocateAndGetInterfaceInfoFromStack;code;IPHLPAPI.DLL;#AllocateAndGetInterfaceInfoFromStack
AllocateAndGetIpAddrTableFromStack;code;IPHLPAPI.DLL;#AllocateAndGetIpAddrTableFromStack
CancelIPChangeNotify;code;IPHLPAPI.DLL;#CancelIPChangeNotify
CancelIfTimestampConfigChange;code;IPHLPAPI.DLL;#CancelIfTimestampConfigChange
CancelMibChangeNotify2;code;IPHLPAPI.DLL;#CancelMibChangeNotify2
CaptureInterfaceHardwareCrossTimestamp;code;IPHLPAPI.DLL;#CaptureInterfaceHardwareCrossTimestamp
CloseCompartment;code;IPHLPAPI.DLL;#CloseCompartment
CloseGetIPPhysicalInterfaceForDestination;code;IPHLPAPI.DLL;#CloseGetIPPhysicalInterfaceForDestination
ConvertCompartmentGuidToId;code;IPHLPAPI.DLL;#ConvertCompartmentGuidToId
ConvertCompartmentIdToGuid;code;IPHLPAPI.DLL;#ConvertCompartmentIdToGuid
ConvertGuidToStringA;code;IPHLPAPI.DLL;#ConvertGuidToStringA
ConvertGuidToStringW;code;IPHLPAPI.DLL;#ConvertGuidToStringW
ConvertInterfaceAliasToLuid;code;IPHLPAPI.DLL;#ConvertInterfaceAliasToLuid
ConvertInterfaceGuidToLuid;code;IPHLPAPI.DLL;#ConvertInterfaceGuidToLuid
ConvertInterfaceIndexToLuid;code;IPHLPAPI.DLL;#ConvertInterfaceIndexToLuid
ConvertInterfaceLuidToAlias;code;IPHLPAPI.DLL;#ConvertInterfaceLuidToAlias
ConvertInterfaceLuidToGuid;code;IPHLPAPI.DLL;#ConvertInterfaceLuidToGuid
ConvertInterfaceLuidToIndex;code;IPHLPAPI.DLL;#ConvertInterfaceLuidToIndex
ConvertInterfaceLuidToNameA;code;IPHLPAPI.DLL;#ConvertInterfaceLuidToNameA
ConvertInterfaceLuidToNameW;code;IPHLPAPI.DLL;#ConvertInterfaceLuidToNameW
ConvertInterfaceNameToLuidA;code;IPHLPAPI.DLL;#ConvertInterfaceNameToLuidA
ConvertInterfaceNameToLuidW;code;IPHLPAPI.DLL;#ConvertInterfaceNameToLuidW
ConvertInterfacePhysicalAddressToLuid;code;IPHLPAPI.DLL;#ConvertInterfacePhysicalAddressToLuid
ConvertIpv4MaskToLength;code;IPHLPAPI.DLL;#ConvertIpv4MaskToLength
ConvertLengthToIpv4Mask;code;IPHLPAPI.DLL;#ConvertLengthToIpv4Mask
ConvertRemoteInterfaceAliasToLuid;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceAliasToLuid
ConvertRemoteInterfaceGuidToLuid;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceGuidToLuid
ConvertRemoteInterfaceIndexToLuid;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceIndexToLuid
ConvertRemoteInterfaceLuidToAlias;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceLuidToAlias
ConvertRemoteInterfaceLuidToGuid;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceLuidToGuid
ConvertRemoteInterfaceLuidToIndex;code;IPHLPAPI.DLL;#ConvertRemoteInterfaceLuidToIndex
ConvertStringToGuidA;code;IPHLPAPI.DLL;#ConvertStringToGuidA
ConvertStringToGuidW;code;IPHLPAPI.DLL;#ConvertStringToGuidW
ConvertStringToInterfacePhysicalAddress;code;IPHLPAPI.DLL;#ConvertStringToInterfacePhysicalAddress
CreateAnycastIpAddressEntry;code;IPHLPAPI.DLL;#CreateAnycastIpAddressEntry
CreateCompartment;code;IPHLPAPI.DLL;#CreateCompartment
CreateIpForwardEntry;code;IPHLPAPI.DLL;#CreateIpForwardEntry
CreateIpForwardEntry2;code;IPHLPAPI.DLL;#CreateIpForwardEntry2
CreateIpNetEntry;code;IPHLPAPI.DLL;#CreateIpNetEntry
CreateIpNetEntry2;code;IPHLPAPI.DLL;#CreateIpNetEntry2
CreatePersistentTcpPortReservation;code;IPHLPAPI.DLL;#CreatePersistentTcpPortReservation
CreatePersistentUdpPortReservation;code;IPHLPAPI.DLL;#CreatePersistentUdpPortReservation
CreateProxyArpEntry;code;IPHLPAPI.DLL;#CreateProxyArpEntry
CreateSortedAddressPairs;code;IPHLPAPI.DLL;#CreateSortedAddressPairs
CreateUnicastIpAddressEntry;code;IPHLPAPI.DLL;#CreateUnicastIpAddressEntry
DeleteAnycastIpAddressEntry;code;IPHLPAPI.DLL;#DeleteAnycastIpAddressEntry
DeleteCompartment;code;IPHLPAPI.DLL;#DeleteCompartment
DeleteIPAddress;code;IPHLPAPI.DLL;#DeleteIPAddress
DeleteIpForwardEntry;code;IPHLPAPI.DLL;#DeleteIpForwardEntry
DeleteIpForwardEntry2;code;IPHLPAPI.DLL;#DeleteIpForwardEntry2
DeleteIpNetEntry;code;IPHLPAPI.DLL;#DeleteIpNetEntry
DeleteIpNetEntry2;code;IPHLPAPI.DLL;#DeleteIpNetEntry2
DeletePersistentTcpPortReservation;code;IPHLPAPI.DLL;#DeletePersistentTcpPortReservation
DeletePersistentUdpPortReservation;code;IPHLPAPI.DLL;#DeletePersistentUdpPortReservation
DeleteProxyArpEntry;code;IPHLPAPI.DLL;#DeleteProxyArpEntry
DeleteUnicastIpAddressEntry;code;IPHLPAPI.DLL;#DeleteUnicastIpAddressEntry
DisableMediaSense;code;IPHLPAPI.DLL;#DisableMediaSense
EnableRouter;code;IPHLPAPI.DLL;#EnableRouter
FlushIpNetTable;code;IPHLPAPI.DLL;#FlushIpNetTable
FlushIpNetTable2;code;IPHLPAPI.DLL;#FlushIpNetTable2
FlushIpPathTable;code;IPHLPAPI.DLL;#FlushIpPathTable
FreeDnsSettings;code;IPHLPAPI.DLL;#FreeDnsSettings
FreeInterfaceDnsSettings;code;IPHLPAPI.DLL;#FreeInterfaceDnsSettings
FreeMibTable;code;IPHLPAPI.DLL;#FreeMibTable
GetAdapterIndex;code;IPHLPAPI.DLL;#GetAdapterIndex
GetAdapterOrderMap;code;IPHLPAPI.DLL;#GetAdapterOrderMap
GetAdaptersAddresses;code;IPHLPAPI.DLL;#GetAdaptersAddresses
GetAdaptersInfo;code;IPHLPAPI.DLL;#GetAdaptersInfo
GetAnycastIpAddressEntry;code;IPHLPAPI.DLL;#GetAnycastIpAddressEntry
GetAnycastIpAddressTable;code;IPHLPAPI.DLL;#GetAnycastIpAddressTable
GetBestInterface;code;IPHLPAPI.DLL;#GetBestInterface
GetBestInterfaceEx;code;IPHLPAPI.DLL;#GetBestInterfaceEx
GetBestRoute;code;IPHLPAPI.DLL;#GetBestRoute
GetBestRoute2;code;IPHLPAPI.DLL;#GetBestRoute2
GetCurrentThreadCompartmentId;code;IPHLPAPI.DLL;#GetCurrentThreadCompartmentId
GetCurrentThreadCompartmentScope;code;IPHLPAPI.DLL;#GetCurrentThreadCompartmentScope
GetDefaultCompartmentId;code;IPHLPAPI.DLL;#GetDefaultCompartmentId
GetDnsSettings;code;IPHLPAPI.DLL;#GetDnsSettings
GetExtendedTcpTable;code;IPHLPAPI.DLL;#GetExtendedTcpTable
GetExtendedUdpTable;code;IPHLPAPI.DLL;#GetExtendedUdpTable
