Name;Type;DLL;SymbolOrOrdinal
ApplyPatchToFileA;code;mspatcha.dll;#ApplyPatchToFileA
ApplyPatchToFileByBuffers;code;mspatcha.dll;#ApplyPatchToFileByBuffers
ApplyPatchToFileByHandles;code;mspatcha.dll;#ApplyPatchToFileByHandles
ApplyPatchToFileByHandlesEx;code;mspatcha.dll;#ApplyPatchToFileByHandlesEx
ApplyPatchToFileExA;code;mspatcha.dll;#ApplyPatchToFileExA
ApplyPatchToFileExW;code;mspatcha.dll;#ApplyPatchToFileExW
ApplyPatchToFileW;code;mspatcha.dll;#ApplyPatchToFileW
GetFilePatchSignatureA;code;mspatcha.dll;#GetFilePatchSignatureA
GetFilePatchSignatureByBuffer;code;mspatcha.dll;#GetFilePatchSignatureByBuffer
GetFilePatchSignatureByHandle;code;mspatcha.dll;#GetFilePatchSignatureByHandle
GetFilePatchSignatureW;code;mspatcha.dll;#GetFilePatchSignatureW
NormalizeFileForPatchSignature;code;mspatcha.dll;#NormalizeFileForPatchSignature
TestApplyPatchToFileA;code;mspatcha.dll;#TestApplyPatchToFileA
TestApplyPatchToFileByBuffers;code;mspatcha.dll;#TestApplyPatchToFileByBuffers
TestApplyPatchToFileByHandles;code;mspatcha.dll;#TestApplyPatchToFileByHandles
TestApplyPatchToFileW;code;mspatcha.dll;#TestApplyPatchToFileW
ApplyPatchToFileA;code;mspatcha.dll;
ApplyPatchToFileByBuffers;code;mspatcha.dll;
ApplyPatchToFileByHandles;code;mspatcha.dll;
ApplyPatchToFileByHandlesEx;code;mspatcha.dll;
ApplyPatchToFileExA;code;mspatcha.dll;
ApplyPatchToFileExW;code;mspatcha.dll;
ApplyPatchToFileW;code;mspatcha.dll;
GetFilePatchSignatureA;code;mspatcha.dll;
GetFilePatchSignatureByBuffer;code;mspatcha.dll;
GetFilePatchSignatureByHandle;code;mspatcha.dll;
GetFilePatchSignatureW;code;mspatcha.dll;
NormalizeFileForPatchSignature;code;mspatcha.dll;
TestApplyPatchToFileA;code;mspatcha.dll;
TestApplyPatchToFileByBuffers;code;mspatcha.dll;
TestApplyPatchToFileByHandles;code;mspatcha.dll;
TestApplyPatchToFileW;code;mspatcha.dll;
