Name;Type;DLL;SymbolOrOrdinal
DeviceInternetSettingUiW;code;newdev.dll;#DeviceInternetSettingUiW
DiInstallDevice;code;newdev.dll;#DiInstallDevice
DiInstallDriverA;code;newdev.dll;#DiInstallDriverA
DiInstallDriverW;code;newdev.dll;#DiInstallDriverW
DiRollbackDriver;code;newdev.dll;#DiRollbackDriver
DiShowUpdateDevice;code;newdev.dll;#DiShowUpdateDevice
DiShowUpdateDriver;code;newdev.dll;#DiShowUpdateDriver
DiUninstallDevice;code;newdev.dll;#DiUninstallDevice
DiUninstallDriverA;code;newdev.dll;#DiUninstallDriverA
DiUninstallDriverW;code;newdev.dll;#DiUninstallDriverW
GetInternetPolicies;code;newdev.dll;#GetInternetPolicies
InstallNewDevice;code;newdev.dll;#InstallNewDevice
InstallSelectedDriver;code;newdev.dll;#InstallSelectedDriver
InstallWindowsUpdateDriver;code;newdev.dll;#InstallWindowsUpdateDriver
InstallWindowsUpdateDriverEx;code;newdev.dll;#InstallWindowsUpdateDriverEx
InstallWindowsUpdateDrivers;code;newdev.dll;#InstallWindowsUpdateDrivers
QueryWindowsUpdateDriverStatus;code;newdev.dll;#QueryWindowsUpdateDriverStatus
SetInternetPolicies;code;newdev.dll;#SetInternetPolicies
UpdateDriverForPlugAndPlayDevicesA;code;newdev.dll;#UpdateDriverForPlugAndPlayDevicesA
UpdateDriverForPlugAndPlayDevicesW;code;newdev.dll;#UpdateDriverForPlugAndPlayDevicesW
pDiDoDeviceInstallAsAdmin;code;newdev.dll;#pDiDoDeviceInstallAsAdmin
pDiDoNullDriverInstall;code;newdev.dll;#pDiDoNullDriverInstall
DeviceInternetSettingUiW;code;newdev.dll;
DiInstallDevice;code;newdev.dll;
DiInstallDriverA;code;newdev.dll;
DiInstallDriverW;code;newdev.dll;
DiRollbackDriver;code;newdev.dll;
DiShowUpdateDevice;code;newdev.dll;
DiShowUpdateDriver;code;newdev.dll;
DiUninstallDevice;code;newdev.dll;
DiUninstallDriverA;code;newdev.dll;
DiUninstallDriverW;code;newdev.dll;
GetInternetPolicies;code;newdev.dll;
InstallNewDevice;code;newdev.dll;
InstallSelectedDriver;code;newdev.dll;
InstallWindowsUpdateDriver;code;newdev.dll;
InstallWindowsUpdateDriverEx;code;newdev.dll;
InstallWindowsUpdateDrivers;code;newdev.dll;
QueryWindowsUpdateDriverStatus;code;newdev.dll;
SetInternetPolicies;code;newdev.dll;
UpdateDriverForPlugAndPlayDevicesA;code;newdev.dll;
UpdateDriverForPlugAndPlayDevicesW;code;newdev.dll;
pDiDoDeviceInstallAsAdmin;code;newdev.dll;
pDiDoNullDriverInstall;code;newdev.dll;
