Name;Type;DLL;SymbolOrOrdinal
AlpcAdjustCompletionListConcurrencyCount;code;ntdll.dll;#AlpcAdjustCompletionListConcurrencyCount
AlpcFreeCompletionListMessage;code;ntdll.dll;#AlpcFreeCompletionListMessage
AlpcGetCompletionListLastMessageInformation;code;ntdll.dll;#AlpcGetCompletionListLastMessageInformation
AlpcGetCompletionListMessageAttributes;code;ntdll.dll;#AlpcGetCompletionListMessageAttributes
AlpcGetHeaderSize;code;ntdll.dll;#AlpcGetHeaderSize
AlpcGetMessageAttribute;code;ntdll.dll;#AlpcGetMessageAttribute
AlpcGetMessageFromCompletionList;code;ntdll.dll;#AlpcGetMessageFromCompletionList
AlpcGetOutstandingCompletionListMessageCount;code;ntdll.dll;#AlpcGetOutstandingCompletionListMessageCount
AlpcInitializeMessageAttribute;code;ntdll.dll;#AlpcInitializeMessageAttribute
AlpcMaxAllowedMessageLength;code;ntdll.dll;#AlpcMaxAllowedMessageLength
AlpcRegisterCompletionList;code;ntdll.dll;#AlpcRegisterCompletionList
AlpcRegisterCompletionListWorkerThread;code;ntdll.dll;#AlpcRegisterCompletionListWorkerThread
AlpcRundownCompletionList;code;ntdll.dll;#AlpcRundownCompletionList
AlpcUnregisterCompletionList;code;ntdll.dll;#AlpcUnregisterCompletionList
AlpcUnregisterCompletionListWorkerThread;code;ntdll.dll;#AlpcUnregisterCompletionListWorkerThread
CpuSetCriticalLockHeld;code;ntdll.dll;#CpuSetCriticalLockHeld
CsrAllocateCaptureBuffer;code;ntdll.dll;#CsrAllocateCaptureBuffer
CsrAllocateMessagePointer;code;ntdll.dll;#CsrAllocateMessagePointer
CsrCaptureMessageBuffer;code;ntdll.dll;#CsrCaptureMessageBuffer
CsrCaptureMessageMultiUnicodeStringsInPlace;code;ntdll.dll;#CsrCaptureMessageMultiUnicodeStringsInPlace
CsrCaptureMessageString;code;ntdll.dll;#CsrCaptureMessageString
CsrCaptureTimeout;code;ntdll.dll;#CsrCaptureTimeout
CsrClientCallServer;code;ntdll.dll;#CsrClientCallServer
CsrClientConnectToServer;code;ntdll.dll;#CsrClientConnectToServer
CsrFreeCaptureBuffer;code;ntdll.dll;#CsrFreeCaptureBuffer
CsrGetProcessId;code;ntdll.dll;#CsrGetProcessId
CsrIdentifyAlertableThread;code;ntdll.dll;#CsrIdentifyAlertableThread
CsrSetPriorityClass;code;ntdll.dll;#CsrSetPriorityClass
CsrVerifyRegion;code;ntdll.dll;#CsrVerifyRegion
DbgPrint;code;ntdll.dll;#DbgPrint
DbgPrintEx;code;ntdll.dll;#DbgPrintEx
DbgPrintReturnControlC;code;ntdll.dll;#DbgPrintReturnControlC
DbgPrompt;code;ntdll.dll;#DbgPrompt
DbgQueryDebugFilterState;code;ntdll.dll;#DbgQueryDebugFilterState
DbgSetDebugFilterState;code;ntdll.dll;#DbgSetDebugFilterState
DbgUiConnectToDbg;code;ntdll.dll;#DbgUiConnectToDbg
DbgUiContinue;code;ntdll.dll;#DbgUiContinue
DbgUiConvertStateChangeStructure;code;ntdll.dll;#DbgUiConvertStateChangeStructure
DbgUiConvertStateChangeStructureEx;code;ntdll.dll;#DbgUiConvertStateChangeStructureEx
DbgUiDebugActiveProcess;code;ntdll.dll;#DbgUiDebugActiveProcess
DbgUiGetThreadDebugObject;code;ntdll.dll;#DbgUiGetThreadDebugObject
DbgUiIssueRemoteBreakin;code;ntdll.dll;#DbgUiIssueRemoteBreakin
DbgUiRemoteBreakin;code;ntdll.dll;#DbgUiRemoteBreakin
DbgUiSetThreadDebugObject;code;ntdll.dll;#DbgUiSetThreadDebugObject
DbgUiStopDebugging;code;ntdll.dll;#DbgUiStopDebugging
DbgUiWaitStateChange;code;ntdll.dll;#DbgUiWaitStateChange
EtwCheckCoverage;code;ntdll.dll;#EtwCheckCoverage
EtwCreateTraceInstanceId;code;ntdll.dll;#EtwCreateTraceInstanceId
EtwDeliverDataBlock;code;ntdll.dll;#EtwDeliverDataBlock
EtwEnumerateProcessRegGuids;code;ntdll.dll;#EtwEnumerateProcessRegGuids
EtwEventActivityIdControl;code;ntdll.dll;#EtwEventActivityIdControl
EtwEventEnabled;code;ntdll.dll;#EtwEventEnabled
EtwEventProviderEnabled;code;ntdll.dll;#EtwEventProviderEnabled
EtwEventRegister;code;ntdll.dll;#EtwEventRegister
EtwEventSetInformation;code;ntdll.dll;#EtwEventSetInformation
EtwEventUnregister;code;ntdll.dll;#EtwEventUnregister
EtwEventWrite;code;ntdll.dll;#EtwEventWrite
EtwEventWriteEndScenario;code;ntdll.dll;#EtwEventWriteEndScenario
EtwEventWriteEx;code;ntdll.dll;#EtwEventWriteEx
EtwEventWriteFull;code;ntdll.dll;#EtwEventWriteFull
EtwEventWriteNoRegistration;code;ntdll.dll;#EtwEventWriteNoRegistration
EtwEventWriteStartScenario;code;ntdll.dll;#EtwEventWriteStartScenario
EtwEventWriteString;code;ntdll.dll;#EtwEventWriteString
EtwEventWriteTransfer;code;ntdll.dll;#EtwEventWriteTransfer
EtwGetTraceEnableFlags;code;ntdll.dll;#EtwGetTraceEnableFlags
EtwGetTraceEnableLevel;code;ntdll.dll;#EtwGetTraceEnableLevel
EtwGetTraceLoggerHandle;code;ntdll.dll;#EtwGetTraceLoggerHandle
