Name;Type;DLL;SymbolOrOrdinal
AppendRDN;code;NTDSA.dll;#AppendRDN
AttrTypeToKey;code;NTDSA.dll;#AttrTypeToKey
ConvertReplicaLinkToNative;code;NTDSA.dll;#ConvertReplicaLinkToNative
CountNameParts;code;NTDSA.dll;#CountNameParts
CrackSingleName;code;NTDSA.dll;#CrackSingleName
DBDsReplBackupUpdate;code;NTDSA.dll;#DBDsReplBackupUpdate
DBUpdateBackupTimeStamps;code;NTDSA.dll;#DBUpdateBackupTimeStamps
DNSHostNameValueCheckForNetlogon;code;NTDSA.dll;#DNSHostNameValueCheckForNetlogon
DSInstanceCompare;code;NTDSA.dll;#DSInstanceCompare
DSInstanceFromNTDSAddrEx;code;NTDSA.dll;#DSInstanceFromNTDSAddrEx
DSInstanceFromNameEx;code;NTDSA.dll;#DSInstanceFromNameEx
DSInstanceFromSetupEx;code;NTDSA.dll;#DSInstanceFromSetupEx
DSNAMEToHashKeyExternal;code;NTDSA.dll;#DSNAMEToHashKeyExternal
DSNAMEToMappedStrExternal;code;NTDSA.dll;#DSNAMEToMappedStrExternal
DSStrToHashKeyExternal;code;NTDSA.dll;#DSStrToHashKeyExternal
DSStrToMappedStrExternal;code;NTDSA.dll;#DSStrToMappedStrExternal
DbgPrintErrorInfo;code;NTDSA.dll;#DbgPrintErrorInfo
DebPrintV;code;NTDSA.dll;#DebPrintV
DebugTest;code;NTDSA.dll;#DebugTest
DirAddEntry;code;NTDSA.dll;#DirAddEntry
DirBind;code;NTDSA.dll;#DirBind
DirCompare;code;NTDSA.dll;#DirCompare
DirErrorToNtStatus;code;NTDSA.dll;#DirErrorToNtStatus
DirErrorToWinError;code;NTDSA.dll;#DirErrorToWinError
DirFindEntry;code;NTDSA.dll;#DirFindEntry
DirGetDomainHandle;code;NTDSA.dll;#DirGetDomainHandle
DirModifyDN;code;NTDSA.dll;#DirModifyDN
DirModifyEntry;code;NTDSA.dll;#DirModifyEntry
DirNotifyRegister;code;NTDSA.dll;#DirNotifyRegister
DirNotifyUnRegister;code;NTDSA.dll;#DirNotifyUnRegister
DirOperationControl;code;NTDSA.dll;#DirOperationControl
DirPrepareForImpersonate;code;NTDSA.dll;#DirPrepareForImpersonate
DirProtectEntry;code;NTDSA.dll;#DirProtectEntry
DirRead;code;NTDSA.dll;#DirRead
DirRemoveEntry;code;NTDSA.dll;#DirRemoveEntry
DirReplicaAdd;code;NTDSA.dll;#DirReplicaAdd
DirReplicaDelete;code;NTDSA.dll;#DirReplicaDelete
DirReplicaDemote;code;NTDSA.dll;#DirReplicaDemote
DirReplicaGetDemoteTarget;code;NTDSA.dll;#DirReplicaGetDemoteTarget
DirReplicaModify;code;NTDSA.dll;#DirReplicaModify
