Name;Type;DLL;SymbolOrOrdinal
ATQReleaseTCPPortReservation;code;NTDSATQ.dll;#ATQReleaseTCPPortReservation
ATQReserveTCPPorts;code;NTDSATQ.dll;#ATQReserveTCPPorts
AllocCacheDumpStatsToHtml;code;NTDSATQ.dll;#AllocCacheDumpStatsToHtml
AtqCloseEndpoint;code;NTDSATQ.dll;#AtqCloseEndpoint
AtqCloseQosClass;code;NTDSATQ.dll;#AtqCloseQosClass
AtqCloseSession;code;NTDSATQ.dll;#AtqCloseSession
AtqCloseSocket;code;NTDSATQ.dll;#AtqCloseSocket
AtqContextGetInfo;code;NTDSATQ.dll;#AtqContextGetInfo
AtqContextSetInfo;code;NTDSATQ.dll;#AtqContextSetInfo
AtqContextSetInfo2;code;NTDSATQ.dll;#AtqContextSetInfo2
AtqCreateEndpoint;code;NTDSATQ.dll;#AtqCreateEndpoint
AtqCreateEndpointEx;code;NTDSATQ.dll;#AtqCreateEndpointEx
AtqCreateQosClass;code;NTDSATQ.dll;#AtqCreateQosClass
AtqEndpointGetInfo;code;NTDSATQ.dll;#AtqEndpointGetInfo
AtqEndpointSetInfo;code;NTDSATQ.dll;#AtqEndpointSetInfo
AtqEndpointSetInfo2;code;NTDSATQ.dll;#AtqEndpointSetInfo2
AtqFreeContext;code;NTDSATQ.dll;#AtqFreeContext
AtqGetAcceptExAddrs;code;NTDSATQ.dll;#AtqGetAcceptExAddrs
AtqGetAcceptExAddrsEx;code;NTDSATQ.dll;#AtqGetAcceptExAddrsEx
AtqGetAddressFamilies;code;NTDSATQ.dll;#AtqGetAddressFamilies
AtqGetDatagramAddrs;code;NTDSATQ.dll;#AtqGetDatagramAddrs
AtqGetInfo;code;NTDSATQ.dll;#AtqGetInfo
AtqGetMaxDatagramSendSize;code;NTDSATQ.dll;#AtqGetMaxDatagramSendSize
AtqInitialize;code;NTDSATQ.dll;#AtqInitialize
AtqOpenSession;code;NTDSATQ.dll;#AtqOpenSession
AtqQosClassGetId;code;NTDSATQ.dll;#AtqQosClassGetId
AtqQosClassGetInfo;code;NTDSATQ.dll;#AtqQosClassGetInfo
AtqQosClassGetInstance;code;NTDSATQ.dll;#AtqQosClassGetInstance
AtqQosContextEnd;code;NTDSATQ.dll;#AtqQosContextEnd
AtqQosContextExtendTime;code;NTDSATQ.dll;#AtqQosContextExtendTime
AtqQosContextStart;code;NTDSATQ.dll;#AtqQosContextStart
AtqReadFile;code;NTDSATQ.dll;#AtqReadFile
AtqReadSocket;code;NTDSATQ.dll;#AtqReadSocket
AtqRegisterAddressChangeCallback;code;NTDSATQ.dll;#AtqRegisterAddressChangeCallback
AtqSetInfo;code;NTDSATQ.dll;#AtqSetInfo
AtqSetInfo2;code;NTDSATQ.dll;#AtqSetInfo2
AtqSetSockOpt;code;NTDSATQ.dll;#AtqSetSockOpt
AtqStartEndpoint;code;NTDSATQ.dll;#AtqStartEndpoint
AtqStopEndpoint;code;NTDSATQ.dll;#AtqStopEndpoint
AtqSyncWsaSend;code;NTDSATQ.dll;#AtqSyncWsaSend
AtqTerminate;code;NTDSATQ.dll;#AtqTerminate
AtqUpdateQosClass;code;NTDSATQ.dll;#AtqUpdateQosClass
AtqWriteDatagramSocket;code;NTDSATQ.dll;#AtqWriteDatagramSocket
AtqWriteFile;code;NTDSATQ.dll;#AtqWriteFile
AtqWriteSocket;code;NTDSATQ.dll;#AtqWriteSocket
SchedulerInitialize;code;NTDSATQ.dll;?SchedulerInitialize@@$$hYAHXZ (int __cdecl SchedulerInitialize(void))
SchedulerTerminate;code;NTDSATQ.dll;?SchedulerTerminate@@$$hYAXXZ (void __cdecl SchedulerTerminate(void))
SchedulerInitialize;code;NTDSATQ.dll;?SchedulerInitialize@@YAHXZ (int __cdecl SchedulerInitialize(void))
SchedulerTerminate;code;NTDSATQ.dll;?SchedulerTerminate@@YAXXZ (void __cdecl SchedulerTerminate(void))
ATQReleaseTCPPortReservation;code;NTDSATQ.dll;
ATQReserveTCPPorts;code;NTDSATQ.dll;
AllocCacheDumpStatsToHtml;code;NTDSATQ.dll;
AtqCloseEndpoint;code;NTDSATQ.dll;
AtqCloseQosClass;code;NTDSATQ.dll;
AtqCloseSession;code;NTDSATQ.dll;
AtqCloseSocket;code;NTDSATQ.dll;
AtqContextGetInfo;code;NTDSATQ.dll;
AtqContextSetInfo;code;NTDSATQ.dll;
AtqContextSetInfo2;code;NTDSATQ.dll;
AtqCreateEndpoint;code;NTDSATQ.dll;
AtqCreateEndpointEx;code;NTDSATQ.dll;
AtqCreateQosClass;code;NTDSATQ.dll;
AtqEndpointGetInfo;code;NTDSATQ.dll;
AtqEndpointSetInfo;code;NTDSATQ.dll;
AtqEndpointSetInfo2;code;NTDSATQ.dll;
AtqFreeContext;code;NTDSATQ.dll;
AtqGetAcceptExAddrs;code;NTDSATQ.dll;
AtqGetAcceptExAddrsEx;code;NTDSATQ.dll;
AtqGetAddressFamilies;code;NTDSATQ.dll;
AtqGetDatagramAddrs;code;NTDSATQ.dll;
AtqGetInfo;code;NTDSATQ.dll;
AtqGetMaxDatagramSendSize;code;NTDSATQ.dll;
AtqInitialize;code;NTDSATQ.dll;
AtqOpenSession;code;NTDSATQ.dll;
AtqQosClassGetId;code;NTDSATQ.dll;
AtqQosClassGetInfo;code;NTDSATQ.dll;
AtqQosClassGetInstance;code;NTDSATQ.dll;
AtqQosContextEnd;code;NTDSATQ.dll;
AtqQosContextExtendTime;code;NTDSATQ.dll;
AtqQosContextStart;code;NTDSATQ.dll;
AtqReadFile;code;NTDSATQ.dll;
AtqReadSocket;code;NTDSATQ.dll;
AtqRegisterAddressChangeCallback;code;NTDSATQ.dll;
AtqSetInfo;code;NTDSATQ.dll;
AtqSetInfo2;code;NTDSATQ.dll;
AtqSetSockOpt;code;NTDSATQ.dll;
AtqStartEndpoint;code;NTDSATQ.dll;
AtqStopEndpoint;code;NTDSATQ.dll;
AtqSyncWsaSend;code;NTDSATQ.dll;
AtqTerminate;code;NTDSATQ.dll;
AtqUpdateQosClass;code;NTDSATQ.dll;
AtqWriteDatagramSocket;code;NTDSATQ.dll;
AtqWriteFile;code;NTDSATQ.dll;
AtqWriteSocket;code;NTDSATQ.dll;
