Name;Type;DLL;SymbolOrOrdinal
FreeInterfaceContextTable;code;OnDemandConnRouteHelper.DLL;#FreeInterfaceContextTable
GetInterfaceContextTableForHostName;code;OnDemandConnRouteHelper.DLL;#GetInterfaceContextTableForHostName
OnDemandAddRouteRequest;code;OnDemandConnRouteHelper.DLL;#OnDemandAddRouteRequest
OnDemandGetRoutingHint;code;OnDemandConnRouteHelper.DLL;#OnDemandGetRoutingHint
OnDemandRegisterNotification;code;OnDemandConnRouteHelper.DLL;#OnDemandRegisterNotification
OnDemandRemoveMatchingRoute;code;OnDemandConnRouteHelper.DLL;#OnDemandRemoveMatchingRoute
OnDemandRemoveRouteRequest;code;OnDemandConnRouteHelper.DLL;#OnDemandRemoveRouteRequest
OnDemandUnRegisterNotification;code;OnDemandConnRouteHelper.DLL;#OnDemandUnRegisterNotification
FreeInterfaceContextTable;code;OnDemandConnRouteHelper.DLL;
GetInterfaceContextTableForHostName;code;OnDemandConnRouteHelper.DLL;
OnDemandAddRouteRequest;code;OnDemandConnRouteHelper.DLL;
OnDemandGetRoutingHint;code;OnDemandConnRouteHelper.DLL;
OnDemandRegisterNotification;code;OnDemandConnRouteHelper.DLL;
OnDemandRemoveMatchingRoute;code;OnDemandConnRouteHelper.DLL;
OnDemandRemoveRouteRequest;code;OnDemandConnRouteHelper.DLL;
OnDemandUnRegisterNotification;code;OnDemandConnRouteHelper.DLL;
