Name;Type;DLL;SymbolOrOrdinal
GetExtensionVersion;code;RpcProxy.dll;#GetExtensionVersion
GetFilterVersion;code;RpcProxy.dll;#GetFilterVersion
HttpExtensionProc;code;RpcProxy.dll;#HttpExtensionProc
HttpFilterProc;code;RpcProxy.dll;#HttpFilterProc
RegisterModule;code;RpcProxy.dll;?RegisterModule@@$$hYAJKPEAVIHttpModuleRegistrationInfo@@PEAVIHttpServer@@@Z (long __cdecl RegisterModule(unsigned long,class IHttpModuleRegistrationInfo *,class IHttpServer *))
RegisterModule;code;RpcProxy.dll;?RegisterModule@@YAJKPEAVIHttpModuleRegistrationInfo@@PEAVIHttpServer@@@Z (long __cdecl RegisterModule(unsigned long,class IHttpModuleRegistrationInfo *,class IHttpServer *))
GetExtensionVersion;code;RpcProxy.dll;
GetFilterVersion;code;RpcProxy.dll;
HttpExtensionProc;code;RpcProxy.dll;
HttpFilterProc;code;RpcProxy.dll;
