Name;Type;DLL;SymbolOrOrdinal
LogErrorA;code;rtutils.dll;
LogErrorW;code;rtutils.dll;
LogEventA;code;rtutils.dll;
LogEventW;code;rtutils.dll;
MprSetupProtocolEnum;code;rtutils.dll;
MprSetupProtocolFree;code;rtutils.dll;
RouterAssert;code;rtutils.dll;
RouterGetErrorStringA;code;rtutils.dll;
RouterGetErrorStringW;code;rtutils.dll;
RouterLogDeregisterA;code;rtutils.dll;
RouterLogDeregisterW;code;rtutils.dll;
RouterLogEventA;code;rtutils.dll;
RouterLogEventDataA;code;rtutils.dll;
RouterLogEventDataW;code;rtutils.dll;
RouterLogEventExA;code;rtutils.dll;
RouterLogEventExW;code;rtutils.dll;
RouterLogEventStringA;code;rtutils.dll;
RouterLogEventStringW;code;rtutils.dll;
RouterLogEventValistExA;code;rtutils.dll;
RouterLogEventValistExW;code;rtutils.dll;
RouterLogEventW;code;rtutils.dll;
RouterLogRegisterA;code;rtutils.dll;
RouterLogRegisterW;code;rtutils.dll;
TraceDeregisterA;code;rtutils.dll;
TraceDeregisterExA;code;rtutils.dll;
TraceDeregisterExW;code;rtutils.dll;
TraceDeregisterW;code;rtutils.dll;
TraceDumpExA;code;rtutils.dll;
TraceDumpExW;code;rtutils.dll;
TraceGetConsoleA;code;rtutils.dll;
TraceGetConsoleW;code;rtutils.dll;
TracePrintfA;code;rtutils.dll;
TracePrintfExA;code;rtutils.dll;
TracePrintfExW;code;rtutils.dll;
TracePrintfW;code;rtutils.dll;
TracePutsExA;code;rtutils.dll;
TracePutsExW;code;rtutils.dll;
TraceRegisterExA;code;rtutils.dll;
TraceRegisterExW;code;rtutils.dll;
TraceVprintfExA;code;rtutils.dll;
TraceVprintfExW;code;rtutils.dll;
