Name;Type;DLL;SymbolOrOrdinal
SceAddToNameList;code;SCECLI.dll;#SceAddToNameList
SceAddToNameStatusList;code;SCECLI.dll;#SceAddToNameStatusList
SceAddToObjectList;code;SCECLI.dll;#SceAddToObjectList
SceAnalyzeSystem;code;SCECLI.dll;#SceAnalyzeSystem
SceAppendSecurityProfileInfo;code;SCECLI.dll;#SceAppendSecurityProfileInfo
SceBrowseDatabaseTable;code;SCECLI.dll;#SceBrowseDatabaseTable
SceCloseProfile;code;SCECLI.dll;#SceCloseProfile
SceCommitTransaction;code;SCECLI.dll;#SceCommitTransaction
SceCompareNameList;code;SCECLI.dll;#SceCompareNameList
SceCompareSecurityDescriptors;code;SCECLI.dll;#SceCompareSecurityDescriptors
SceConfigureSystem;code;SCECLI.dll;#SceConfigureSystem
SceCopyBaseProfile;code;SCECLI.dll;#SceCopyBaseProfile
SceCreateDirectory;code;SCECLI.dll;#SceCreateDirectory
SceDcPromoCreateGPOsInSysvol;code;SCECLI.dll;#SceDcPromoCreateGPOsInSysvol
SceDcPromoCreateGPOsInSysvolEx;code;SCECLI.dll;#SceDcPromoCreateGPOsInSysvolEx
SceDcPromoteSecurity;code;SCECLI.dll;#SceDcPromoteSecurity
SceDcPromoteSecurityEx;code;SCECLI.dll;#SceDcPromoteSecurityEx
SceEnforceSecurityPolicyPropagation;code;SCECLI.dll;#SceEnforceSecurityPolicyPropagation
SceEnumerateServices;code;SCECLI.dll;#SceEnumerateServices
SceFreeMemory;code;SCECLI.dll;#SceFreeMemory
SceFreeProfileMemory;code;SCECLI.dll;#SceFreeProfileMemory
SceGenerateRollback;code;SCECLI.dll;#SceGenerateRollback
SceGetAnalysisAreaSummary;code;SCECLI.dll;#SceGetAnalysisAreaSummary
SceGetAreas;code;SCECLI.dll;#SceGetAreas
SceGetDatabaseSetting;code;SCECLI.dll;#SceGetDatabaseSetting
SceGetDbTime;code;SCECLI.dll;#SceGetDbTime
SceGetObjectChildren;code;SCECLI.dll;#SceGetObjectChildren
SceGetObjectSecurity;code;SCECLI.dll;#SceGetObjectSecurity
SceGetScpProfileDescription;code;SCECLI.dll;#SceGetScpProfileDescription
SceGetSecurityProfileInfo;code;SCECLI.dll;#SceGetSecurityProfileInfo
SceGetServerProductType;code;SCECLI.dll;#SceGetServerProductType
SceGetTimeStamp;code;SCECLI.dll;#SceGetTimeStamp
SceIsSystemDatabase;code;SCECLI.dll;#SceIsSystemDatabase
SceLookupPrivRightName;code;SCECLI.dll;#SceLookupPrivRightName
SceOpenProfile;code;SCECLI.dll;#SceOpenProfile
SceRegisterRegValues;code;SCECLI.dll;#SceRegisterRegValues
SceRollbackTransaction;code;SCECLI.dll;#SceRollbackTransaction
SceSetDatabaseSetting;code;SCECLI.dll;#SceSetDatabaseSetting
SceSetupBackupSecurity;code;SCECLI.dll;#SceSetupBackupSecurity
SceSetupConfigureServices;code;SCECLI.dll;#SceSetupConfigureServices
