Name;Type;DLL;SymbolOrOrdinal
BRUSHOBJ_hGetColorTransform;code;GDI32.dll;BRUSHOBJ_hGetColorTransform
BRUSHOBJ_pvAllocRbrush;code;GDI32.dll;BRUSHOBJ_pvAllocRbrush
BRUSHOBJ_pvGetRbrush;code;GDI32.dll;BRUSHOBJ_pvGetRbrush
BRUSHOBJ_ulGetBrushColor;code;GDI32.dll;BRUSHOBJ_ulGetBrushColor
CLIPOBJ_bEnum;code;GDI32.dll;CLIPOBJ_bEnum
CLIPOBJ_cEnumStart;code;GDI32.dll;CLIPOBJ_cEnumStart
CLIPOBJ_ppoGetPath;code;GDI32.dll;CLIPOBJ_ppoGetPath
EngAcquireSemaphore;code;GDI32.dll;EngAcquireSemaphore
EngAlphaBlend;code;GDI32.dll;EngAlphaBlend
EngAssociateSurface;code;GDI32.dll;EngAssociateSurface
EngBitBlt;code;GDI32.dll;EngBitBlt
EngCheckAbort;code;GDI32.dll;EngCheckAbort
EngComputeGlyphSet;code;GDI32.dll;EngComputeGlyphSet
EngCopyBits;code;GDI32.dll;EngCopyBits
EngCreateBitmap;code;GDI32.dll;EngCreateBitmap
EngCreateClip;code;GDI32.dll;EngCreateClip
EngCreateDeviceBitmap;code;GDI32.dll;EngCreateDeviceBitmap
EngCreateDeviceSurface;code;GDI32.dll;EngCreateDeviceSurface
EngCreatePalette;code;GDI32.dll;EngCreatePalette
EngCreateSemaphore;code;GDI32.dll;EngCreateSemaphore
EngDeleteClip;code;GDI32.dll;EngDeleteClip
EngDeletePalette;code;GDI32.dll;EngDeletePalette
EngDeletePath;code;GDI32.dll;EngDeletePath
EngDeleteSemaphore;code;GDI32.dll;EngDeleteSemaphore
EngDeleteSurface;code;GDI32.dll;EngDeleteSurface
EngEraseSurface;code;GDI32.dll;EngEraseSurface
EngFillPath;code;GDI32.dll;EngFillPath
EngFindResource;code;GDI32.dll;EngFindResource
EngFreeModule;code;GDI32.dll;EngFreeModule
EngGetCurrentCodePage;code;GDI32.dll;EngGetCurrentCodePage
EngGetDriverName;code;GDI32.dll;EngGetDriverName
EngGetPrinterDataFileName;code;GDI32.dll;EngGetPrinterDataFileName
EngGradientFill;code;GDI32.dll;EngGradientFill
EngLineTo;code;GDI32.dll;EngLineTo
EngLoadModule;code;GDI32.dll;EngLoadModule
EngLockSurface;code;GDI32.dll;EngLockSurface
EngMarkBandingSurface;code;GDI32.dll;EngMarkBandingSurface
EngMultiByteToUnicodeN;code;GDI32.dll;EngMultiByteToUnicodeN
EngMultiByteToWideChar;code;GDI32.dll;EngMultiByteToWideChar
EngPaint;code;GDI32.dll;EngPaint
EngPlgBlt;code;GDI32.dll;EngPlgBlt
EngQueryEMFInfo;code;GDI32.dll;EngQueryEMFInfo
EngQueryLocalTime;code;GDI32.dll;EngQueryLocalTime
EngReleaseSemaphore;code;GDI32.dll;EngReleaseSemaphore
EngStretchBlt;code;GDI32.dll;EngStretchBlt
EngStretchBltROP;code;GDI32.dll;EngStretchBltROP
EngStrokeAndFillPath;code;GDI32.dll;EngStrokeAndFillPath
EngStrokePath;code;GDI32.dll;EngStrokePath
EngTextOut;code;GDI32.dll;EngTextOut
EngTransparentBlt;code;GDI32.dll;EngTransparentBlt
EngUnicodeToMultiByteN;code;GDI32.dll;EngUnicodeToMultiByteN
EngUnlockSurface;code;GDI32.dll;EngUnlockSurface
EngWideCharToMultiByte;code;GDI32.dll;EngWideCharToMultiByte
FONTOBJ_cGetAllGlyphHandles;code;GDI32.dll;FONTOBJ_cGetAllGlyphHandles
FONTOBJ_cGetGlyphs;code;GDI32.dll;FONTOBJ_cGetGlyphs
FONTOBJ_pQueryGlyphAttrs;code;GDI32.dll;FONTOBJ_pQueryGlyphAttrs
FONTOBJ_pfdg;code;GDI32.dll;FONTOBJ_pfdg
FONTOBJ_pifi;code;GDI32.dll;FONTOBJ_pifi
FONTOBJ_pvTrueTypeFontFile;code;GDI32.dll;FONTOBJ_pvTrueTypeFontFile
FONTOBJ_pxoGetXform;code;GDI32.dll;FONTOBJ_pxoGetXform
FONTOBJ_vGetInfo;code;GDI32.dll;FONTOBJ_vGetInfo
GdiBatchLimit;data;GDI32.dll;
HT_Get8BPPFormatPalette;code;GDI32.dll;HT_Get8BPPFormatPalette
HT_Get8BPPMaskPalette;code;GDI32.dll;HT_Get8BPPMaskPalette
LpkEditControl;data;GDI32.dll;
LpkpEditControlSize;data;GDI32.dll;
PATHOBJ_bEnum;code;GDI32.dll;PATHOBJ_bEnum
PATHOBJ_bEnumClipLines;code;GDI32.dll;PATHOBJ_bEnumClipLines
PATHOBJ_vEnumStart;code;GDI32.dll;PATHOBJ_vEnumStart
PATHOBJ_vEnumStartClipLines;code;GDI32.dll;PATHOBJ_vEnumStartClipLines
PATHOBJ_vGetBounds;code;GDI32.dll;PATHOBJ_vGetBounds
STROBJ_bEnum;code;GDI32.dll;STROBJ_bEnum
STROBJ_bEnumPositionsOnly;code;GDI32.dll;STROBJ_bEnumPositionsOnly
STROBJ_bGetAdvanceWidths;code;GDI32.dll;STROBJ_bGetAdvanceWidths
STROBJ_dwGetCodePage;code;GDI32.dll;STROBJ_dwGetCodePage
STROBJ_vEnumStart;code;GDI32.dll;STROBJ_vEnumStart
