Name;Type;DLL;SymbolOrOrdinal
EcClose;code;WecApi.dll;#EcClose
EcDeleteSubscription;code;WecApi.dll;#EcDeleteSubscription
EcEnumNextSubscription;code;WecApi.dll;#EcEnumNextSubscription
EcGetObjectArrayProperty;code;WecApi.dll;#EcGetObjectArrayProperty
EcGetObjectArraySize;code;WecApi.dll;#EcGetObjectArraySize
EcGetSubscriptionProperty;code;WecApi.dll;#EcGetSubscriptionProperty
EcGetSubscriptionRunTimeStatus;code;WecApi.dll;#EcGetSubscriptionRunTimeStatus
EcInsertObjectArrayElement;code;WecApi.dll;#EcInsertObjectArrayElement
EcOpenSubscription;code;WecApi.dll;#EcOpenSubscription
EcOpenSubscriptionEnum;code;WecApi.dll;#EcOpenSubscriptionEnum
EcRemoveObjectArrayElement;code;WecApi.dll;#EcRemoveObjectArrayElement
EcRetrySubscription;code;WecApi.dll;#EcRetrySubscription
EcSaveSubscription;code;WecApi.dll;#EcSaveSubscription
EcSetObjectArrayProperty;code;WecApi.dll;#EcSetObjectArrayProperty
EcSetSubscriptionProperty;code;WecApi.dll;#EcSetSubscriptionProperty
EcIsConfigRequired;code;WecApi.dll;?EcIsConfigRequired@@$$hYAHPEAH@Z (int __cdecl EcIsConfigRequired(int *))
EcQuickConfig;code;WecApi.dll;?EcQuickConfig@@$$hYAHXZ (int __cdecl EcQuickConfig(void))
EcIsConfigRequired;code;WecApi.dll;?EcIsConfigRequired@@YAHPEAH@Z (int __cdecl EcIsConfigRequired(int *))
EcQuickConfig;code;WecApi.dll;?EcQuickConfig@@YAHXZ (int __cdecl EcQuickConfig(void))
EcClose;code;WecApi.dll;
EcDeleteSubscription;code;WecApi.dll;
EcEnumNextSubscription;code;WecApi.dll;
EcGetObjectArrayProperty;code;WecApi.dll;
EcGetObjectArraySize;code;WecApi.dll;
EcGetSubscriptionProperty;code;WecApi.dll;
EcGetSubscriptionRunTimeStatus;code;WecApi.dll;
EcInsertObjectArrayElement;code;WecApi.dll;
EcOpenSubscription;code;WecApi.dll;
EcOpenSubscriptionEnum;code;WecApi.dll;
EcRemoveObjectArrayElement;code;WecApi.dll;
EcRetrySubscription;code;WecApi.dll;
EcSaveSubscription;code;WecApi.dll;
EcSetObjectArrayProperty;code;WecApi.dll;
EcSetSubscriptionProperty;code;WecApi.dll;
