Name;Type;DLL;SymbolOrOrdinal
WSDAllocateLinkedMemory;code;wsdapi.dll;#WSDAllocateLinkedMemory
WSDAttachLinkedMemory;code;wsdapi.dll;#WSDAttachLinkedMemory
WSDCompareEndpoints;code;wsdapi.dll;#WSDCompareEndpoints
WSDCopyEndpoint;code;wsdapi.dll;#WSDCopyEndpoint
WSDCreateDeviceHost;code;wsdapi.dll;#WSDCreateDeviceHost
WSDCreateDeviceHost2;code;wsdapi.dll;#WSDCreateDeviceHost2
WSDCreateDeviceHostAdvanced;code;wsdapi.dll;#WSDCreateDeviceHostAdvanced
WSDCreateDeviceProxy;code;wsdapi.dll;#WSDCreateDeviceProxy
WSDCreateDeviceProxy2;code;wsdapi.dll;#WSDCreateDeviceProxy2
WSDCreateDeviceProxyAdvanced;code;wsdapi.dll;#WSDCreateDeviceProxyAdvanced
WSDCreateDiscoveryProvider;code;wsdapi.dll;#WSDCreateDiscoveryProvider
WSDCreateDiscoveryProvider2;code;wsdapi.dll;#WSDCreateDiscoveryProvider2
WSDCreateDiscoveryPublisher;code;wsdapi.dll;#WSDCreateDiscoveryPublisher
WSDCreateDiscoveryPublisher2;code;wsdapi.dll;#WSDCreateDiscoveryPublisher2
WSDCreateHttpAddress;code;wsdapi.dll;#WSDCreateHttpAddress
WSDCreateHttpMessageParameters;code;wsdapi.dll;#WSDCreateHttpMessageParameters
WSDCreateHttpTransport;code;wsdapi.dll;#WSDCreateHttpTransport
WSDCreateMetadataAgent;code;wsdapi.dll;#WSDCreateMetadataAgent
WSDCreateOutboundAttachment;code;wsdapi.dll;#WSDCreateOutboundAttachment
WSDCreateUdpAddress;code;wsdapi.dll;#WSDCreateUdpAddress
WSDCreateUdpMessageParameters;code;wsdapi.dll;#WSDCreateUdpMessageParameters
WSDCreateUdpTransport;code;wsdapi.dll;#WSDCreateUdpTransport
WSDDetachLinkedMemory;code;wsdapi.dll;#WSDDetachLinkedMemory
WSDFreeLinkedMemory;code;wsdapi.dll;#WSDFreeLinkedMemory
