Name;Type;DLL;SymbolOrOrdinal
CreateResourceIndexer;code;MrmSupport.dll;
DestroyIndexedResults;code;MrmSupport.dll;
DestroyResourceIndexer;code;MrmSupport.dll;
IndexFilePath;code;MrmSupport.dll;
MrmCreateConfig;code;MrmSupport.dll;
MrmCreateConfigInMemory;code;MrmSupport.dll;
MrmCreateResourceFile;code;MrmSupport.dll;
MrmCreateResourceFileInMemory;code;MrmSupport.dll;
MrmCreateResourceFileWithChecksum;code;MrmSupport.dll;
MrmCreateResourceIndexer;code;MrmSupport.dll;
MrmCreateResourceIndexerFromPreviousPriData;code;MrmSupport.dll;
MrmCreateResourceIndexerFromPreviousPriFile;code;MrmSupport.dll;
MrmCreateResourceIndexerFromPreviousSchemaData;code;MrmSupport.dll;
MrmCreateResourceIndexerFromPreviousSchemaFile;code;MrmSupport.dll;
MrmCreateResourceIndexerWithFlags;code;MrmSupport.dll;
MrmDestroyIndexerAndMessages;code;MrmSupport.dll;
MrmDumpPriDataInMemory;code;MrmSupport.dll;
MrmDumpPriFile;code;MrmSupport.dll;
MrmDumpPriFileInMemory;code;MrmSupport.dll;
MrmFreeMemory;code;MrmSupport.dll;
MrmGetPriFileContentChecksum;code;MrmSupport.dll;
MrmIndexEmbeddedData;code;MrmSupport.dll;
MrmIndexFile;code;MrmSupport.dll;
MrmIndexFileAutoQualifiers;code;MrmSupport.dll;
MrmIndexResourceContainerAutoQualifiers;code;MrmSupport.dll;
MrmIndexString;code;MrmSupport.dll;
MrmPeekResourceIndexerMessages;code;MrmSupport.dll;
