Name;Type;DLL;SymbolOrOrdinal
DavAddConnection;code;NETAPI32.dll;
DavDeleteConnection;code;NETAPI32.dll;
DavFlushFile;code;NETAPI32.dll;
DavGetExtendedError;code;NETAPI32.dll;
DavGetHTTPFromUNCPath;code;NETAPI32.dll;
DavGetUNCFromHTTPPath;code;NETAPI32.dll;
DsAddressToSiteNamesA;code;NETAPI32.dll;
DsAddressToSiteNamesExA;code;NETAPI32.dll;
DsAddressToSiteNamesExW;code;NETAPI32.dll;
DsAddressToSiteNamesW;code;NETAPI32.dll;
DsDeregisterDnsHostRecordsA;code;NETAPI32.dll;
DsDeregisterDnsHostRecordsW;code;NETAPI32.dll;
DsEnumerateDomainTrustsA;code;NETAPI32.dll;
DsEnumerateDomainTrustsW;code;NETAPI32.dll;
DsGetDcCloseW;code;NETAPI32.dll;
DsGetDcNameA;code;NETAPI32.dll;
DsGetDcNameW;code;NETAPI32.dll;
DsGetDcNameWithAccountA;code;NETAPI32.dll;
DsGetDcNameWithAccountW;code;NETAPI32.dll;
DsGetDcNextA;code;NETAPI32.dll;
DsGetDcNextW;code;NETAPI32.dll;
DsGetDcOpenA;code;NETAPI32.dll;
DsGetDcOpenW;code;NETAPI32.dll;
DsGetDcSiteCoverageA;code;NETAPI32.dll;
DsGetDcSiteCoverageW;code;NETAPI32.dll;
DsGetForestTrustInformationW;code;NETAPI32.dll;
DsGetSiteNameA;code;NETAPI32.dll;
DsGetSiteNameW;code;NETAPI32.dll;
DsMergeForestTrustInformationW;code;NETAPI32.dll;
DsRoleFreeMemory;code;NETAPI32.dll;
DsRoleGetPrimaryDomainInformation;code;NETAPI32.dll;
DsValidateSubnetNameA;code;NETAPI32.dll;
DsValidateSubnetNameW;code;NETAPI32.dll;
I_BrowserDebugTrace;code;NETAPI32.dll;
I_BrowserQueryOtherDomains;code;NETAPI32.dll;
I_BrowserQueryStatistics;code;NETAPI32.dll;
I_BrowserResetNetlogonState;code;NETAPI32.dll;
I_BrowserResetStatistics;code;NETAPI32.dll;
I_BrowserServerEnum;code;NETAPI32.dll;
I_NetLogonControl2;code;NETAPI32.dll;
I_NetServerPasswordGet;code;NETAPI32.dll;
I_NetServerPasswordSet2;code;NETAPI32.dll;
NetAccessAdd;code;NETAPI32.dll;
NetAccessDel;code;NETAPI32.dll;
NetAccessEnum;code;NETAPI32.dll;
NetAccessGetInfo;code;NETAPI32.dll;
NetAccessGetUserPerms;code;NETAPI32.dll;
NetAccessSetInfo;code;NETAPI32.dll;
NetAddAlternateComputerName;code;NETAPI32.dll;
NetAddServiceAccount;code;NETAPI32.dll;
NetAlertRaise;code;NETAPI32.dll;
NetAlertRaiseEx;code;NETAPI32.dll;
NetApiBufferAllocate;code;NETAPI32.dll;
NetApiBufferFree;code;NETAPI32.dll;
NetApiBufferReallocate;code;NETAPI32.dll;
NetApiBufferSize;code;NETAPI32.dll;
NetAuditClear;code;NETAPI32.dll;
NetAuditRead;code;NETAPI32.dll;
NetAuditWrite;code;NETAPI32.dll;
NetConfigGet;code;NETAPI32.dll;
NetConfigGetAll;code;NETAPI32.dll;
NetConfigSet;code;NETAPI32.dll;
NetConnectionEnum;code;NETAPI32.dll;
NetCreateProvisioningPackage;code;NETAPI32.dll;
NetDfsAdd;code;NETAPI32.dll;
NetDfsAddFtRoot;code;NETAPI32.dll;
NetDfsAddRootTarget;code;NETAPI32.dll;
NetDfsAddStdRoot;code;NETAPI32.dll;
NetDfsEnum;code;NETAPI32.dll;
NetDfsGetClientInfo;code;NETAPI32.dll;
NetDfsGetFtContainerSecurity;code;NETAPI32.dll;
NetDfsGetInfo;code;NETAPI32.dll;
NetDfsGetSecurity;code;NETAPI32.dll;
NetDfsGetStdContainerSecurity;code;NETAPI32.dll;
NetDfsGetSupportedNamespaceVersion;code;NETAPI32.dll;
NetDfsMove;code;NETAPI32.dll;
NetDfsRemove;code;NETAPI32.dll;
NetDfsRemoveFtRoot;code;NETAPI32.dll;
NetDfsRemoveFtRootForced;code;NETAPI32.dll;
NetDfsRemoveRootTarget;code;NETAPI32.dll;
NetDfsRemoveStdRoot;code;NETAPI32.dll;
NetDfsSetClientInfo;code;NETAPI32.dll;
NetDfsSetFtContainerSecurity;code;NETAPI32.dll;
NetDfsSetInfo;code;NETAPI32.dll;
NetDfsSetSecurity;code;NETAPI32.dll;
NetDfsSetStdContainerSecurity;code;NETAPI32.dll;
NetEnumerateComputerNames;code;NETAPI32.dll;
NetEnumerateServiceAccounts;code;NETAPI32.dll;
NetErrorLogClear;code;NETAPI32.dll;
NetErrorLogRead;code;NETAPI32.dll;
NetErrorLogWrite;code;NETAPI32.dll;
NetFileClose;code;NETAPI32.dll;
NetFileEnum;code;NETAPI32.dll;
NetFileGetInfo;code;NETAPI32.dll;
NetGetAnyDCName;code;NETAPI32.dll;
NetGetDCName;code;NETAPI32.dll;
NetGetDisplayInformationIndex;code;NETAPI32.dll;
NetGetJoinInformation;code;NETAPI32.dll;
NetGetJoinableOUs;code;NETAPI32.dll;
NetGroupAdd;code;NETAPI32.dll;
NetGroupAddUser;code;NETAPI32.dll;
NetGroupDel;code;NETAPI32.dll;
NetGroupDelUser;code;NETAPI32.dll;
NetGroupEnum;code;NETAPI32.dll;
NetGroupGetInfo;code;NETAPI32.dll;
NetGroupGetUsers;code;NETAPI32.dll;
NetGroupSetInfo;code;NETAPI32.dll;
