Name;Type;DLL;SymbolOrOrdinal
BindIFilterFromStorage;code;query.dll;
BindIFilterFromStream;code;query.dll;
CIBuildQueryNode;code;query.dll;
CIBuildQueryTree;code;query.dll;
CICreateCommand;code;query.dll;
CIGetGlobalPropertyList;code;query.dll;
CIMakeICommand;code;query.dll;
CIRestrictionToFullTree;code;query.dll;
CIShutdown;code;query.dll;
CIState;code;query.dll;
CITextToFullTree;code;query.dll;
CITextToFullTreeEx;code;query.dll;
CITextToSelectTree;code;query.dll;
CITextToSelectTreeEx;code;query.dll;
InternalBindIFilterFromDocCLSID;code;query.dll;
InternalBindIFilterFromFileName;code;query.dll;
InternalBindIFilterFromStorage;code;query.dll;
InternalBindIFilterFromStream;code;query.dll;
LoadIFilter;code;query.dll;
LoadIFilterEx;code;query.dll;
LocateCatalogs;code;query.dll;
LocateCatalogsA;code;query.dll;
LocateCatalogsW;code;query.dll;
SetCatalogState;code;query.dll;
