Name;Type;DLL;SymbolOrOrdinal
WinBioAcquireFocus;code;winbio.dll;
WinBioAsyncEnumBiometricUnits;code;winbio.dll;
WinBioAsyncEnumDatabases;code;winbio.dll;
WinBioAsyncEnumServiceProviders;code;winbio.dll;
WinBioAsyncMonitorFrameworkChanges;code;winbio.dll;
WinBioAsyncOpenFramework;code;winbio.dll;
WinBioAsyncOpenSession;code;winbio.dll;
WinBioCancel;code;winbio.dll;
WinBioCaptureSample;code;winbio.dll;
WinBioCaptureSampleWithCallback;code;winbio.dll;
WinBioCloseFramework;code;winbio.dll;
WinBioCloseSession;code;winbio.dll;
WinBioControlUnit;code;winbio.dll;
WinBioControlUnitPrivileged;code;winbio.dll;
WinBioDeleteTemplate;code;winbio.dll;
WinBioEnrollBegin;code;winbio.dll;
WinBioEnrollCapture;code;winbio.dll;
WinBioEnrollCaptureWithCallback;code;winbio.dll;
WinBioEnrollCommit;code;winbio.dll;
WinBioEnrollDiscard;code;winbio.dll;
WinBioEnrollSelect;code;winbio.dll;
WinBioEnumBiometricUnits;code;winbio.dll;
WinBioEnumDatabases;code;winbio.dll;
WinBioEnumEnrollments;code;winbio.dll;
WinBioEnumServiceProviders;code;winbio.dll;
WinBioFree;code;winbio.dll;
WinBioGetCredentialState;code;winbio.dll;
WinBioGetCredentialWithTicket;code;winbio.dll;
WinBioGetDomainLogonSetting;code;winbio.dll;
WinBioGetEnabledSetting;code;winbio.dll;
WinBioGetEnrolledFactors;code;winbio.dll;
WinBioGetLogonSetting;code;winbio.dll;
WinBioGetProperty;code;winbio.dll;
WinBioIdentify;code;winbio.dll;
WinBioIdentifyAndReleaseTicket;code;winbio.dll;
WinBioIdentifyWithCallback;code;winbio.dll;
WinBioImproveBegin;code;winbio.dll;
WinBioImproveEnd;code;winbio.dll;
WinBioLocateSensor;code;winbio.dll;
WinBioLocateSensorWithCallback;code;winbio.dll;
WinBioLockUnit;code;winbio.dll;
WinBioLogonIdentifiedUser;code;winbio.dll;
WinBioMonitorPresence;code;winbio.dll;
WinBioOpenSession;code;winbio.dll;
WinBioProtectData;code;winbio.dll;
WinBioRegisterEventMonitor;code;winbio.dll;
WinBioRegisterServiceMonitor;code;winbio.dll;
WinBioReleaseFocus;code;winbio.dll;
WinBioRemoveAllCredentials;code;winbio.dll;
WinBioRemoveAllDomainCredentials;code;winbio.dll;
WinBioRemoveCredential;code;winbio.dll;
WinBioSetCredential;code;winbio.dll;
WinBioSetMSACredential;code;winbio.dll;
WinBioSetProperty;code;winbio.dll;
WinBioUnlockUnit;code;winbio.dll;
WinBioUnprotectData;code;winbio.dll;
WinBioUnregisterEventMonitor;code;winbio.dll;
WinBioUnregisterServiceMonitor;code;winbio.dll;
WinBioVerify;code;winbio.dll;
WinBioVerifyAndReleaseTicket;code;winbio.dll;
WinBioVerifyWithCallback;code;winbio.dll;
WinBioWait;code;winbio.dll;
