Name;Type;DLL;SymbolOrOrdinal
HcnCloseEndpoint;code;computenetwork.dll;
HcnCloseLoadBalancer;code;computenetwork.dll;
HcnCloseNamespace;code;computenetwork.dll;
HcnCloseNetwork;code;computenetwork.dll;
HcnCreateEndpoint;code;computenetwork.dll;
HcnCreateLoadBalancer;code;computenetwork.dll;
HcnCreateNamespace;code;computenetwork.dll;
HcnCreateNetwork;code;computenetwork.dll;
HcnDeleteEndpoint;code;computenetwork.dll;
HcnDeleteLoadBalancer;code;computenetwork.dll;
HcnDeleteNamespace;code;computenetwork.dll;
HcnDeleteNetwork;code;computenetwork.dll;
HcnEnumerateEndpoints;code;computenetwork.dll;
HcnEnumerateLoadBalancers;code;computenetwork.dll;
HcnEnumerateNamespaces;code;computenetwork.dll;
HcnEnumerateNetworks;code;computenetwork.dll;
HcnModifyEndpoint;code;computenetwork.dll;
HcnModifyLoadBalancer;code;computenetwork.dll;
HcnModifyNamespace;code;computenetwork.dll;
HcnModifyNetwork;code;computenetwork.dll;
HcnOpenEndpoint;code;computenetwork.dll;
HcnOpenLoadBalancer;code;computenetwork.dll;
HcnOpenNamespace;code;computenetwork.dll;
HcnOpenNetwork;code;computenetwork.dll;
HcnQueryEndpointProperties;code;computenetwork.dll;
HcnQueryLoadBalancerProperties;code;computenetwork.dll;
HcnQueryNamespaceProperties;code;computenetwork.dll;
HcnQueryNetworkProperties;code;computenetwork.dll;
HcnRegisterServiceCallback;code;computenetwork.dll;
HcnUnregisterServiceCallback;code;computenetwork.dll;
