Name;Type;DLL;SymbolOrOrdinal
OsThunkD3dContextCreate;code;d3d8thk.dll;
OsThunkD3dContextDestroy;code;d3d8thk.dll;
OsThunkD3dContextDestroyAll;code;d3d8thk.dll;
OsThunkD3dDrawPrimitives2;code;d3d8thk.dll;
OsThunkD3dValidateTextureStageState;code;d3d8thk.dll;
OsThunkDdAddAttachedSurface;code;d3d8thk.dll;
OsThunkDdAlphaBlt;code;d3d8thk.dll;
OsThunkDdAttachSurface;code;d3d8thk.dll;
OsThunkDdBeginMoCompFrame;code;d3d8thk.dll;
OsThunkDdBlt;code;d3d8thk.dll;
OsThunkDdCanCreateD3DBuffer;code;d3d8thk.dll;
OsThunkDdCanCreateSurface;code;d3d8thk.dll;
OsThunkDdColorControl;code;d3d8thk.dll;
OsThunkDdCreateD3DBuffer;code;d3d8thk.dll;
OsThunkDdCreateDirectDrawObject;code;d3d8thk.dll;
OsThunkDdCreateMoComp;code;d3d8thk.dll;
OsThunkDdCreateSurface;code;d3d8thk.dll;
OsThunkDdCreateSurfaceEx;code;d3d8thk.dll;
OsThunkDdCreateSurfaceObject;code;d3d8thk.dll;
OsThunkDdDeleteDirectDrawObject;code;d3d8thk.dll;
OsThunkDdDeleteSurfaceObject;code;d3d8thk.dll;
OsThunkDdDestroyD3DBuffer;code;d3d8thk.dll;
OsThunkDdDestroyMoComp;code;d3d8thk.dll;
OsThunkDdDestroySurface;code;d3d8thk.dll;
OsThunkDdEndMoCompFrame;code;d3d8thk.dll;
OsThunkDdFlip;code;d3d8thk.dll;
OsThunkDdFlipToGDISurface;code;d3d8thk.dll;
OsThunkDdGetAvailDriverMemory;code;d3d8thk.dll;
OsThunkDdGetBltStatus;code;d3d8thk.dll;
OsThunkDdGetDC;code;d3d8thk.dll;
OsThunkDdGetDriverInfo;code;d3d8thk.dll;
OsThunkDdGetDriverState;code;d3d8thk.dll;
OsThunkDdGetDxHandle;code;d3d8thk.dll;
OsThunkDdGetFlipStatus;code;d3d8thk.dll;
OsThunkDdGetInternalMoCompInfo;code;d3d8thk.dll;
OsThunkDdGetMoCompBuffInfo;code;d3d8thk.dll;
OsThunkDdGetMoCompFormats;code;d3d8thk.dll;
OsThunkDdGetMoCompGuids;code;d3d8thk.dll;
OsThunkDdGetScanLine;code;d3d8thk.dll;
OsThunkDdLock;code;d3d8thk.dll;
OsThunkDdLockD3D;code;d3d8thk.dll;
OsThunkDdQueryDirectDrawObject;code;d3d8thk.dll;
OsThunkDdQueryMoCompStatus;code;d3d8thk.dll;
OsThunkDdReenableDirectDrawObject;code;d3d8thk.dll;
OsThunkDdReleaseDC;code;d3d8thk.dll;
OsThunkDdRenderMoComp;code;d3d8thk.dll;
OsThunkDdResetVisrgn;code;d3d8thk.dll;
OsThunkDdSetColorKey;code;d3d8thk.dll;
OsThunkDdSetExclusiveMode;code;d3d8thk.dll;
OsThunkDdSetGammaRamp;code;d3d8thk.dll;
OsThunkDdSetOverlayPosition;code;d3d8thk.dll;
OsThunkDdUnattachSurface;code;d3d8thk.dll;
OsThunkDdUnlock;code;d3d8thk.dll;
OsThunkDdUnlockD3D;code;d3d8thk.dll;
OsThunkDdUpdateOverlay;code;d3d8thk.dll;
OsThunkDdWaitForVerticalBlank;code;d3d8thk.dll;
