Name;Type;DLL;SymbolOrOrdinal
AbortExpert;code;NMAPI.dll;
AddAddress;code;NMAPI.dll;
AddExpertToGroup;code;NMAPI.dll;
AddGroup;code;NMAPI.dll;
AddProperty;code;NMAPI.dll;
AddressTypeToMacType;code;NMAPI.dll;
AdjustSystemTime;code;NMAPI.dll;
AttachPropertyInstance;code;NMAPI.dll;
AttachPropertyInstanceEx;code;NMAPI.dll;
BHGetLastError;code;NMAPI.dll;
BHSetLastError;code;NMAPI.dll;
CCHeapAlloc;code;NMAPI.dll;
CCHeapFree;code;NMAPI.dll;
CCHeapReAlloc;code;NMAPI.dll;
CCHeapSize;code;NMAPI.dll;
CompareAddresses;code;NMAPI.dll;
CompareFrameDestAddress;code;NMAPI.dll;
CompareFrameSourceAddress;code;NMAPI.dll;
CompareRawAddresses;code;NMAPI.dll;
CreateAddressDatabase;code;NMAPI.dll;
CreateCapture;code;NMAPI.dll;
CreateFilter;code;NMAPI.dll;
CreateFrame;code;NMAPI.dll;
CreateHandoffTable;code;NMAPI.dll;
CreatePropertyDatabase;code;NMAPI.dll;
CreateProtocol;code;NMAPI.dll;
DecodeSNMPObjectIdentifier;code;NMAPI.dll;
DeleteAddress;code;NMAPI.dll;
DeleteExpertFromGroup;code;NMAPI.dll;
DeleteFrame;code;NMAPI.dll;
DeleteGroup;code;NMAPI.dll;
DestroyAddressDatabase;code;NMAPI.dll;
DestroyCapture;code;NMAPI.dll;
DestroyFilter;code;NMAPI.dll;
DestroyFrame;code;NMAPI.dll;
DestroyHandoffTable;code;NMAPI.dll;
DestroyPropertyDatabase;code;NMAPI.dll;
DestroyProtocol;code;NMAPI.dll;
DisableParserFilter;code;NMAPI.dll;
DisableProtocol;code;NMAPI.dll;
EmptyAddressDatabase;code;NMAPI.dll;
EnableParserFilter;code;NMAPI.dll;
EnableProtocol;code;NMAPI.dll;
EncodeSNMPObjectIdentifier;code;NMAPI.dll;
EnumAddresses;code;NMAPI.dll;
EnumExpertHandles;code;NMAPI.dll;
EnumExpertInfos;code;NMAPI.dll;
EnumGroups;code;NMAPI.dll;
EnumProtocols;code;NMAPI.dll;
ExpertAllocMemory;code;NMAPI.dll;
ExpertFreeMemory;code;NMAPI.dll;
ExpertGetFrame;code;NMAPI.dll;
ExpertGetStartupInfo;code;NMAPI.dll;
ExpertIndicateStatus;code;NMAPI.dll;
ExpertMemorySize;code;NMAPI.dll;
ExpertReallocMemory;code;NMAPI.dll;
ExpertSubmitEvent;code;NMAPI.dll;
FilterAddObject;code;NMAPI.dll;
FilterAttachesProperties;code;NMAPI.dll;
FilterDuplicate;code;NMAPI.dll;
FilterFindFrame;code;NMAPI.dll;
FilterFindPropertyInstance;code;NMAPI.dll;
FilterFlushBits;code;NMAPI.dll;
FilterFrame;code;NMAPI.dll;
FindAddressInfoByAddress;code;NMAPI.dll;
FindAddressInfoByName;code;NMAPI.dll;
FindNextFrame;code;NMAPI.dll;
FindPreviousFrame;code;NMAPI.dll;
FindPropertyInstance;code;NMAPI.dll;
FindPropertyInstanceRestart;code;NMAPI.dll;
FormatPropertyInstance;code;NMAPI.dll;
FrameRecognize;code;NMAPI.dll;
GetASRThWnd;code;NMAPI.dll;
GetAddressDatabaseInstanceData;code;NMAPI.dll;
GetAddressInfo;code;NMAPI.dll;
GetAddressInfoByName;code;NMAPI.dll;
GetCCInstPtr;code;NMAPI.dll;
GetCaptureAddressDB;code;NMAPI.dll;
GetCaptureComment;code;NMAPI.dll;
GetCaptureCommentFromFilename;code;NMAPI.dll;
GetCaptureInstanceData;code;NMAPI.dll;
GetCaptureMacType;code;NMAPI.dll;
GetCaptureTimeStamp;code;NMAPI.dll;
GetCaptureTotalFrames;code;NMAPI.dll;
GetCurrentFilter;code;NMAPI.dll;
GetEnabledProtocols;code;NMAPI.dll;
GetExpertFromName;code;NMAPI.dll;
GetExpertInfo;code;NMAPI.dll;
GetExpertStatus;code;NMAPI.dll;
GetFrame;code;NMAPI.dll;
GetFrameCaptureHandle;code;NMAPI.dll;
GetFrameDestAddress;code;NMAPI.dll;
GetFrameDstAddressOffset;code;NMAPI.dll;
GetFrameFromFrameHandle;code;NMAPI.dll;
GetFrameLength;code;NMAPI.dll;
GetFrameMacHeaderLength;code;NMAPI.dll;
GetFrameMacType;code;NMAPI.dll;
GetFrameNumber;code;NMAPI.dll;
GetFrameRecognizeData;code;NMAPI.dll;
GetFrameRoutingInformation;code;NMAPI.dll;
GetFrameSourceAddress;code;NMAPI.dll;
