Name;Type;DLL;SymbolOrOrdinal
SLpCheckProductKey;code;SLC.dll;?SLpCheckProductKey@@YAJPEAUDIGITALPID4@@PEAH@Z (long __cdecl SLpCheckProductKey(struct DIGITALPID4 *,int *))
SLpGetGenuineLocal;code;SLC.dll;?SLpGetGenuineLocal@@YAJPEAXPEBU_GUID@@PEAW4_SL_GENUINE_STATE@@@Z (long __cdecl SLpGetGenuineLocal(void *,struct _GUID const *,enum _SL_GENUINE_STATE *))
SLpUpdateComponentTokens;code;SLC.dll;?SLpUpdateComponentTokens@@YAJPEAXPEAH@Z (long __cdecl SLpUpdateComponentTokens(void *,int *))
SLClose;code;SLC.dll;
SLConsumeRight;code;SLC.dll;
SLConsumeWindowsRight;code;SLC.dll;
SLDepositOfflineConfirmationId;code;SLC.dll;
SLDepositOfflineConfirmationIdEx;code;SLC.dll;
SLFireEvent;code;SLC.dll;
SLGenerateOfflineInstallationId;code;SLC.dll;
SLGenerateOfflineInstallationIdEx;code;SLC.dll;
SLGetApplicationInformation;code;SLC.dll;
SLGetGenuineInformation;code;SLC.dll;
SLGetInstalledProductKeyIds;code;SLC.dll;
SLGetLicense;code;SLC.dll;
SLGetLicenseFileId;code;SLC.dll;
SLGetLicenseInformation;code;SLC.dll;
SLGetLicensingStatusInformation;code;SLC.dll;
SLGetPKeyId;code;SLC.dll;
SLGetPKeyInformation;code;SLC.dll;
SLGetPolicyInformation;code;SLC.dll;
SLGetPolicyInformationDWORD;code;SLC.dll;
SLGetProductSkuInformation;code;SLC.dll;
SLGetSLIDList;code;SLC.dll;
SLGetServiceInformation;code;SLC.dll;
SLGetWindowsInformation;code;SLC.dll;
SLGetWindowsInformationDWORD;code;SLC.dll;
SLInstallLicense;code;SLC.dll;
SLInstallProofOfPurchase;code;SLC.dll;
SLIsWindowsGenuineLocal;code;SLC.dll;
SLOpen;code;SLC.dll;
SLReArmWindows;code;SLC.dll;
SLRegisterEvent;code;SLC.dll;
SLRegisterWindowsEvent;code;SLC.dll;
SLSetCurrentProductKey;code;SLC.dll;
SLSetGenuineInformation;code;SLC.dll;
SLUninstallLicense;code;SLC.dll;
SLUninstallProofOfPurchase;code;SLC.dll;
SLUnregisterEvent;code;SLC.dll;
SLUnregisterWindowsEvent;code;SLC.dll;
