Name;Type;DLL;SymbolOrOrdinal
WdsProviderInitialize;code;WDSPXE.dll;?WdsProviderInitialize@@YAKPEAX@Z (unsigned long __cdecl WdsProviderInitialize(void *))
PxeAsyncRecvDone;code;WDSPXE.dll;
PxeDhcpAppendOption;code;WDSPXE.dll;
PxeDhcpAppendOptionRaw;code;WDSPXE.dll;
PxeDhcpGetOptionValue;code;WDSPXE.dll;
PxeDhcpGetVendorOptionValue;code;WDSPXE.dll;
PxeDhcpInitialize;code;WDSPXE.dll;
PxeDhcpIsValid;code;WDSPXE.dll;
PxeDhcpv6AppendOption;code;WDSPXE.dll;
PxeDhcpv6AppendOptionRaw;code;WDSPXE.dll;
PxeDhcpv6CreateRelayRepl;code;WDSPXE.dll;
PxeDhcpv6GetOptionValue;code;WDSPXE.dll;
PxeDhcpv6GetVendorOptionValue;code;WDSPXE.dll;
PxeDhcpv6Initialize;code;WDSPXE.dll;
PxeDhcpv6IsValid;code;WDSPXE.dll;
PxeDhcpv6ParseRelayForw;code;WDSPXE.dll;
PxeGetServerInfo;code;WDSPXE.dll;
PxeGetServerInfoEx;code;WDSPXE.dll;
PxePacketAllocate;code;WDSPXE.dll;
PxePacketFree;code;WDSPXE.dll;
PxeProviderEnumClose;code;WDSPXE.dll;
PxeProviderEnumFirst;code;WDSPXE.dll;
PxeProviderEnumNext;code;WDSPXE.dll;
PxeProviderFreeInfo;code;WDSPXE.dll;
PxeProviderQueryIndex;code;WDSPXE.dll;
PxeProviderRegister;code;WDSPXE.dll;
PxeProviderSetAttribute;code;WDSPXE.dll;
PxeProviderUnRegister;code;WDSPXE.dll;
PxeRegisterCallback;code;WDSPXE.dll;
PxeSendReply;code;WDSPXE.dll;
PxeTrace;code;WDSPXE.dll;
PxeTraceV;code;WDSPXE.dll;
