Name;Type;DLL;SymbolOrOrdinal
WinStationRegisterConsoleNotificationEx2;code;WINSTA.dll;?WinStationRegisterConsoleNotificationEx2@@YAHPEAXPEAUHWND__@@KK@Z (int __cdecl WinStationRegisterConsoleNotificationEx2(void *,struct HWND__ *,unsigned long,unsigned long))
LogonIdFromWinStationNameA;code;WINSTA.dll;
LogonIdFromWinStationNameW;code;WINSTA.dll;
RemoteAssistancePrepareSystemRestore;code;WINSTA.dll;
ServerGetInternetConnectorStatus;code;WINSTA.dll;
ServerLicensingClose;code;WINSTA.dll;
ServerLicensingDeactivateCurrentPolicy;code;WINSTA.dll;
ServerLicensingFreePolicyInformation;code;WINSTA.dll;
ServerLicensingGetAadInfo;code;WINSTA.dll;
ServerLicensingGetAvailablePolicyIds;code;WINSTA.dll;
ServerLicensingGetPolicy;code;WINSTA.dll;
ServerLicensingGetPolicyInformationA;code;WINSTA.dll;
ServerLicensingGetPolicyInformationW;code;WINSTA.dll;
ServerLicensingLoadPolicy;code;WINSTA.dll;
ServerLicensingOpenA;code;WINSTA.dll;
ServerLicensingOpenW;code;WINSTA.dll;
ServerLicensingSetAadInfo;code;WINSTA.dll;
ServerLicensingSetPolicy;code;WINSTA.dll;
ServerLicensingUnloadPolicy;code;WINSTA.dll;
ServerQueryInetConnectorInformationA;code;WINSTA.dll;
ServerQueryInetConnectorInformationW;code;WINSTA.dll;
ServerSetInternetConnectorStatus;code;WINSTA.dll;
WTSRegisterSessionNotificationEx;code;WINSTA.dll;
WTSUnRegisterSessionNotificationEx;code;WINSTA.dll;
WinStationActivateLicense;code;WINSTA.dll;
WinStationAutoReconnect;code;WINSTA.dll;
WinStationBroadcastSystemMessage;code;WINSTA.dll;
WinStationCheckAccess;code;WINSTA.dll;
WinStationCheckLoopBack;code;WINSTA.dll;
WinStationCloseServer;code;WINSTA.dll;
WinStationConnectA;code;WINSTA.dll;
WinStationConnectAndLockDesktop;code;WINSTA.dll;
WinStationConnectCallback;code;WINSTA.dll;
WinStationConnectEx;code;WINSTA.dll;
WinStationConnectW;code;WINSTA.dll;
WinStationConsumeCacheSession;code;WINSTA.dll;
WinStationCreateChildSessionTransport;code;WINSTA.dll;
WinStationDisconnect;code;WINSTA.dll;
WinStationEnableChildSessions;code;WINSTA.dll;
WinStationEnumerateA;code;WINSTA.dll;
WinStationEnumerateContainerSessions;code;WINSTA.dll;
WinStationEnumerateExW;code;WINSTA.dll;
WinStationEnumerateLicenses;code;WINSTA.dll;
WinStationEnumerateProcesses;code;WINSTA.dll;
WinStationEnumerateW;code;WINSTA.dll;
WinStationEnumerate_IndexedA;code;WINSTA.dll;
WinStationEnumerate_IndexedW;code;WINSTA.dll;
WinStationFreeConsoleNotification;code;WINSTA.dll;
WinStationFreeEXECENVDATAEX;code;WINSTA.dll;
WinStationFreeGAPMemory;code;WINSTA.dll;
WinStationFreeMemory;code;WINSTA.dll;
WinStationFreePropertyValue;code;WINSTA.dll;
WinStationFreeSessionNotification;code;WINSTA.dll;
WinStationFreeUserCertificates;code;WINSTA.dll;
WinStationFreeUserCredentials;code;WINSTA.dll;
WinStationFreeUserSessionInfo;code;WINSTA.dll;
WinStationGenerateLicense;code;WINSTA.dll;
WinStationGetAllProcesses;code;WINSTA.dll;
WinStationGetAllSessionsEx;code;WINSTA.dll;
WinStationGetAllSessionsW;code;WINSTA.dll;
WinStationGetAllUserSessions;code;WINSTA.dll;
WinStationGetChildSessionId;code;WINSTA.dll;
WinStationGetConnectionProperty;code;WINSTA.dll;
WinStationGetCurrentSessionCapabilities;code;WINSTA.dll;
WinStationGetCurrentSessionConnectionProperty;code;WINSTA.dll;
WinStationGetCurrentSessionTerminalName;code;WINSTA.dll;
WinStationGetDeviceId;code;WINSTA.dll;
WinStationGetInitialApplication;code;WINSTA.dll;
WinStationGetLanAdapterNameA;code;WINSTA.dll;
WinStationGetLanAdapterNameW;code;WINSTA.dll;
WinStationGetLastWinlogonNotification;code;WINSTA.dll;
WinStationGetLoggedOnCount;code;WINSTA.dll;
WinStationGetMachinePolicy;code;WINSTA.dll;
WinStationGetParentSessionId;code;WINSTA.dll;
WinStationGetProcessSid;code;WINSTA.dll;
WinStationGetRedirectAuthInfo;code;WINSTA.dll;
WinStationGetRestrictedLogonInfo;code;WINSTA.dll;
WinStationGetSessionIds;code;WINSTA.dll;
WinStationGetTermSrvCountersValue;code;WINSTA.dll;
WinStationGetUserCertificates;code;WINSTA.dll;
WinStationGetUserCredentials;code;WINSTA.dll;
WinStationGetUserProfile;code;WINSTA.dll;
WinStationInstallLicense;code;WINSTA.dll;
WinStationIsBoundToCacheTerminal;code;WINSTA.dll;
WinStationIsChildSessionsEnabled;code;WINSTA.dll;
WinStationIsCurrentSessionRemoteable;code;WINSTA.dll;
WinStationIsHelpAssistantSession;code;WINSTA.dll;
WinStationIsSessionPermitted;code;WINSTA.dll;
WinStationIsSessionRemoteable;code;WINSTA.dll;
WinStationNameFromLogonIdA;code;WINSTA.dll;
WinStationNameFromLogonIdW;code;WINSTA.dll;
WinStationNegotiateSession;code;WINSTA.dll;
WinStationNtsdDebug;code;WINSTA.dll;
WinStationOpenServerA;code;WINSTA.dll;
WinStationOpenServerExA;code;WINSTA.dll;
WinStationOpenServerExW;code;WINSTA.dll;
WinStationOpenServerW;code;WINSTA.dll;
WinStationPreCreateGlassReplacementSession;code;WINSTA.dll;
WinStationPreCreateGlassReplacementSessionEx;code;WINSTA.dll;
WinStationQueryAllowConcurrentConnections;code;WINSTA.dll;
WinStationQueryCurrentSessionInformation;code;WINSTA.dll;
WinStationQueryEnforcementCore;code;WINSTA.dll;
WinStationQueryInformationA;code;WINSTA.dll;
WinStationQueryInformationW;code;WINSTA.dll;
WinStationQueryLicense;code;WINSTA.dll;
WinStationQueryLogonCredentialsW;code;WINSTA.dll;
WinStationQuerySessionVirtualIP;code;WINSTA.dll;
WinStationQueryUpdateRequired;code;WINSTA.dll;
WinStationRcmShadow2;code;WINSTA.dll;
WinStationRedirectErrorMessage;code;WINSTA.dll;
WinStationRedirectLogonBeginPainting;code;WINSTA.dll;
WinStationRedirectLogonError;code;WINSTA.dll;
WinStationRedirectLogonMessage;code;WINSTA.dll;
WinStationRedirectLogonStatus;code;WINSTA.dll;
WinStationRegisterConsoleNotification;code;WINSTA.dll;
WinStationRegisterConsoleNotificationEx;code;WINSTA.dll;
WinStationRegisterCurrentSessionNotificationEvent;code;WINSTA.dll;
WinStationRegisterNotificationEvent;code;WINSTA.dll;
WinStationRegisterSessionNotification;code;WINSTA.dll;
WinStationRegisterSessionNotificationEx;code;WINSTA.dll;
WinStationRemoveLicense;code;WINSTA.dll;
WinStationRenameA;code;WINSTA.dll;
WinStationRenameW;code;WINSTA.dll;
WinStationReportLoggedOnCompleted;code;WINSTA.dll;
WinStationReportUIResult;code;WINSTA.dll;
WinStationReset;code;WINSTA.dll;
WinStationRevertFromServicesSession;code;WINSTA.dll;
WinStationSendMessageA;code;WINSTA.dll;
WinStationSendMessageW;code;WINSTA.dll;
WinStationSendWindowMessage;code;WINSTA.dll;
WinStationServerPing;code;WINSTA.dll;
WinStationSetAutologonPassword;code;WINSTA.dll;
WinStationSetInformationA;code;WINSTA.dll;
WinStationSetInformationW;code;WINSTA.dll;
WinStationSetLastWinlogonNotification;code;WINSTA.dll;
WinStationSetPoolCount;code;WINSTA.dll;
WinStationSetRenderHint;code;WINSTA.dll;
WinStationShadow;code;WINSTA.dll;
WinStationShadowAccessCheck;code;WINSTA.dll;
WinStationShadowStop;code;WINSTA.dll;
WinStationShadowStop2;code;WINSTA.dll;
WinStationShutdownSystem;code;WINSTA.dll;
WinStationSwitchToServicesSession;code;WINSTA.dll;
WinStationSystemShutdownStarted;code;WINSTA.dll;
WinStationSystemShutdownWait;code;WINSTA.dll;
WinStationTerminateGlassReplacementSession;code;WINSTA.dll;
WinStationTerminateProcess;code;WINSTA.dll;
WinStationUnRegisterConsoleNotification;code;WINSTA.dll;
WinStationUnRegisterNotificationEvent;code;WINSTA.dll;
WinStationUnRegisterSessionNotification;code;WINSTA.dll;
WinStationUserLoginAccessCheck;code;WINSTA.dll;
WinStationVerify;code;WINSTA.dll;
WinStationVirtualOpen;code;WINSTA.dll;
WinStationVirtualOpenEx;code;WINSTA.dll;
WinStationWaitSystemEvent;code;WINSTA.dll;
_NWLogonQueryAdmin;code;WINSTA.dll;
_NWLogonSetAdmin;code;WINSTA.dll;
_WinStationAnnoyancePopup;code;WINSTA.dll;
_WinStationBeepOpen;code;WINSTA.dll;
_WinStationBreakPoint;code;WINSTA.dll;
_WinStationCallback;code;WINSTA.dll;
_WinStationCheckForApplicationName;code;WINSTA.dll;
_WinStationFUSCanRemoteUserDisconnect;code;WINSTA.dll;
_WinStationGetApplicationInfo;code;WINSTA.dll;
_WinStationNotifyDisconnectPipe;code;WINSTA.dll;
_WinStationNotifyLogoff;code;WINSTA.dll;
_WinStationNotifyLogon;code;WINSTA.dll;
_WinStationNotifyNewSession;code;WINSTA.dll;
_WinStationOpenSessionDirectory;code;WINSTA.dll;
_WinStationReInitializeSecurity;code;WINSTA.dll;
_WinStationReadRegistry;code;WINSTA.dll;
_WinStationSessionInitialized;code;WINSTA.dll;
_WinStationShadowTarget;code;WINSTA.dll;
_WinStationShadowTarget2;code;WINSTA.dll;
_WinStationShadowTargetSetup;code;WINSTA.dll;
_WinStationUpdateClientCachedCredentials;code;WINSTA.dll;
_WinStationUpdateSettings;code;WINSTA.dll;
_WinStationUpdateUserConfig;code;WINSTA.dll;
_WinStationWaitForConnect;code;WINSTA.dll;
