Name;Type;DLL;SymbolOrOrdinal
WlanAllocateMemory;code;Wlanapi.dll;
WlanCloseHandle;code;Wlanapi.dll;
WlanConnect;code;Wlanapi.dll;
WlanDeleteProfile;code;Wlanapi.dll;
WlanDisconnect;code;Wlanapi.dll;
WlanEnumInterfaces;code;Wlanapi.dll;
WlanExtractPsdIEDataList;code;Wlanapi.dll;
WlanFreeMemory;code;Wlanapi.dll;
WlanGetAvailableNetworkList;code;Wlanapi.dll;
WlanGetFilterList;code;Wlanapi.dll;
WlanGetInterfaceCapability;code;Wlanapi.dll;
WlanGetNetworkBssList;code;Wlanapi.dll;
WlanGetProfile;code;Wlanapi.dll;
WlanGetProfileCustomUserData;code;Wlanapi.dll;
WlanGetProfileList;code;Wlanapi.dll;
WlanGetSecuritySettings;code;Wlanapi.dll;
WlanHostedNetworkForceStart;code;Wlanapi.dll;
WlanHostedNetworkForceStop;code;Wlanapi.dll;
WlanHostedNetworkInitSettings;code;Wlanapi.dll;
WlanHostedNetworkQueryProperty;code;Wlanapi.dll;
WlanHostedNetworkQuerySecondaryKey;code;Wlanapi.dll;
WlanHostedNetworkQueryStatus;code;Wlanapi.dll;
WlanHostedNetworkRefreshSecuritySettings;code;Wlanapi.dll;
WlanHostedNetworkSetProperty;code;Wlanapi.dll;
WlanHostedNetworkSetSecondaryKey;code;Wlanapi.dll;
WlanHostedNetworkStartUsing;code;Wlanapi.dll;
WlanHostedNetworkStopUsing;code;Wlanapi.dll;
WlanIhvControl;code;Wlanapi.dll;
WlanOpenHandle;code;Wlanapi.dll;
WlanQueryAutoConfigParameter;code;Wlanapi.dll;
WlanQueryInterface;code;Wlanapi.dll;
WlanReasonCodeToString;code;Wlanapi.dll;
WlanRegisterNotification;code;Wlanapi.dll;
WlanRegisterVirtualStationNotification;code;Wlanapi.dll;
WlanRenameProfile;code;Wlanapi.dll;
WlanSaveTemporaryProfile;code;Wlanapi.dll;
WlanScan;code;Wlanapi.dll;
WlanSetAutoConfigParameter;code;Wlanapi.dll;
WlanSetFilterList;code;Wlanapi.dll;
WlanSetInterface;code;Wlanapi.dll;
WlanSetProfile;code;Wlanapi.dll;
WlanSetProfileCustomUserData;code;Wlanapi.dll;
WlanSetProfileEapUserData;code;Wlanapi.dll;
WlanSetProfileEapXmlUserData;code;Wlanapi.dll;
WlanSetProfileList;code;Wlanapi.dll;
WlanSetProfilePosition;code;Wlanapi.dll;
WlanSetPsdIEDataList;code;Wlanapi.dll;
WlanSetSecuritySettings;code;Wlanapi.dll;
