Name;Type;DLL;SymbolOrOrdinal
WscGetSecurityProviderHealth;code;WSCAPI.dll;
WscRegisterForChanges;code;WSCAPI.dll;
WscUnRegisterChanges;code;WSCAPI.dll;
wscAntiSpywareGetStatus;code;WSCAPI.dll;
wscAntiVirusGetStatus;code;WSCAPI.dll;
wscAutoUpdatesEnableScheduledMode;code;WSCAPI.dll;
wscAutoUpdatesGetStatus;code;WSCAPI.dll;
wscFirewallGetStatus;code;WSCAPI.dll;
wscGeneralSecurityGetStatus;code;WSCAPI.dll;
wscGetAlertStatus;code;WSCAPI.dll;
wscIcfEnable;code;WSCAPI.dll;
wscIeSettingsFix;code;WSCAPI.dll;
wscLuaSettingsFix;code;WSCAPI.dll;
wscOverrideComponentStatus;code;WSCAPI.dll;
wscPing;code;WSCAPI.dll;
wscProductInfoFree;code;WSCAPI.dll;
wscRegisterChangeNotification;code;WSCAPI.dll;
wscRegisterSecurityProduct;code;WSCAPI.dll;
wscUnRegisterChangeNotification;code;WSCAPI.dll;
wscUnregisterSecurityProduct;code;WSCAPI.dll;
wscUpdateProductStatus;code;WSCAPI.dll;
