Name;Type;DLL;SymbolOrOrdinal
BluetoothAddressToString;code;BluetoothApis.dll;_BluetoothAddressToString@12
BluetoothDisconnectDevice;code;BluetoothApis.dll;_BluetoothDisconnectDevice@8
BluetoothEnableDiscovery;code;BluetoothApis.dll;_BluetoothEnableDiscovery@8
BluetoothEnableIncomingConnections;code;BluetoothApis.dll;_BluetoothEnableIncomingConnections@8
BluetoothEnumerateInstalledServices;code;BluetoothApis.dll;_BluetoothEnumerateInstalledServices@16
BluetoothEnumerateInstalledServicesEx;code;BluetoothApis.dll;_BluetoothEnumerateInstalledServicesEx@16
BluetoothEnumerateLocalServices;code;BluetoothApis.dll;_BluetoothEnumerateLocalServices@12
BluetoothFindBrowseGroupClose;code;BluetoothApis.dll;_BluetoothFindBrowseGroupClose@4
BluetoothFindClassIdClose;code;BluetoothApis.dll;_BluetoothFindClassIdClose@4
BluetoothFindDeviceClose;code;BluetoothApis.dll;_BluetoothFindDeviceClose@4
BluetoothFindFirstBrowseGroup;code;BluetoothApis.dll;_BluetoothFindFirstBrowseGroup@8
BluetoothFindFirstClassId;code;BluetoothApis.dll;_BluetoothFindFirstClassId@8
BluetoothFindFirstDevice;code;BluetoothApis.dll;_BluetoothFindFirstDevice@8
BluetoothFindFirstProfileDescriptor;code;BluetoothApis.dll;_BluetoothFindFirstProfileDescriptor@8
BluetoothFindFirstProtocolDescriptorStack;code;BluetoothApis.dll;_BluetoothFindFirstProtocolDescriptorStack@8
BluetoothFindFirstProtocolEntry;code;BluetoothApis.dll;_BluetoothFindFirstProtocolEntry@8
BluetoothFindFirstRadio;code;BluetoothApis.dll;_BluetoothFindFirstRadio@8
BluetoothFindFirstService;code;BluetoothApis.dll;_BluetoothFindFirstService@8
BluetoothFindFirstServiceEx;code;BluetoothApis.dll;_BluetoothFindFirstServiceEx@12
BluetoothFindNextBrowseGroup;code;BluetoothApis.dll;_BluetoothFindNextBrowseGroup@8
BluetoothFindNextClassId;code;BluetoothApis.dll;_BluetoothFindNextClassId@8
BluetoothFindNextDevice;code;BluetoothApis.dll;_BluetoothFindNextDevice@8
BluetoothFindNextProfileDescriptor;code;BluetoothApis.dll;_BluetoothFindNextProfileDescriptor@8
BluetoothFindNextProtocolDescriptorStack;code;BluetoothApis.dll;_BluetoothFindNextProtocolDescriptorStack@8
BluetoothFindNextProtocolEntry;code;BluetoothApis.dll;_BluetoothFindNextProtocolEntry@8
BluetoothFindNextRadio;code;BluetoothApis.dll;_BluetoothFindNextRadio@8
BluetoothFindNextService;code;BluetoothApis.dll;_BluetoothFindNextService@8
