Name;Type;DLL;SymbolOrOrdinal
SymAllocDiaString;code;dbghelp.dll;?SymAllocDiaString@@YGPAGPBG@Z (unsigned short * __stdcall SymAllocDiaString(unsigned short const *))
SymFreeDiaString;code;dbghelp.dll;?SymFreeDiaString@@YGXPAG@Z (void __stdcall SymFreeDiaString(unsigned short *))
SymGetDiaSession;code;dbghelp.dll;?SymGetDiaSession@@YGHPAX_KPAPAUIDiaSession@@@Z (int __stdcall SymGetDiaSession(void *,unsigned __int64,struct IDiaSession * *))
SymGetDiaSource;code;dbghelp.dll;?SymGetDiaSource@@YGHPAX_KPAPAUIDiaDataSource@@@Z (int __stdcall SymGetDiaSource(void *,unsigned __int64,struct IDiaDataSource * *))
SymSetDiaSession;code;dbghelp.dll;?SymSetDiaSession@@YGHPAX_KPAUIDiaSession@@@Z (int __stdcall SymSetDiaSession(void *,unsigned __int64,struct IDiaSession *))
_EFN_DumpImage;code;dbghelp.dll;?_EFN_DumpImage@@YGX_KK@Z (void __stdcall _EFN_DumpImage(unsigned __int64,unsigned long))
DbgHelpCreateUserDump;code;dbghelp.dll;_DbgHelpCreateUserDump@12
DbgHelpCreateUserDumpW;code;dbghelp.dll;_DbgHelpCreateUserDumpW@12
EnumDirTree;code;dbghelp.dll;_EnumDirTree@24
EnumDirTreeW;code;dbghelp.dll;_EnumDirTreeW@24
EnumerateLoadedModules64;code;dbghelp.dll;_EnumerateLoadedModules64@12
EnumerateLoadedModules;code;dbghelp.dll;_EnumerateLoadedModules@12
EnumerateLoadedModulesEx;code;dbghelp.dll;_EnumerateLoadedModulesEx@12
EnumerateLoadedModulesExW;code;dbghelp.dll;_EnumerateLoadedModulesExW@12
EnumerateLoadedModulesW64;code;dbghelp.dll;_EnumerateLoadedModulesW64@12
ExtensionApiVersion;code;dbghelp.dll;_ExtensionApiVersion@0
FindDebugInfoFile;code;dbghelp.dll;_FindDebugInfoFile@12
FindDebugInfoFileEx;code;dbghelp.dll;_FindDebugInfoFileEx@20
FindDebugInfoFileExW;code;dbghelp.dll;_FindDebugInfoFileExW@20
FindExecutableImage;code;dbghelp.dll;_FindExecutableImage@12
FindExecutableImageEx;code;dbghelp.dll;_FindExecutableImageEx@20
FindExecutableImageExW;code;dbghelp.dll;_FindExecutableImageExW@20
FindFileInPath;code;dbghelp.dll;_FindFileInPath@32
FindFileInSearchPath;code;dbghelp.dll;_FindFileInSearchPath@28
GetSymLoadError;code;dbghelp.dll;_GetSymLoadError@0
GetTimestampForLoadedLibrary;code;dbghelp.dll;_GetTimestampForLoadedLibrary@4
ImageDirectoryEntryToData;code;dbghelp.dll;_ImageDirectoryEntryToData@16
ImageDirectoryEntryToDataEx;code;dbghelp.dll;_ImageDirectoryEntryToDataEx@20
ImageNtHeader;code;dbghelp.dll;_ImageNtHeader@4
ImageRvaToSection;code;dbghelp.dll;_ImageRvaToSection@12
ImageRvaToVa;code;dbghelp.dll;_ImageRvaToVa@16
ImagehlpApiVersion;code;dbghelp.dll;_ImagehlpApiVersion@0
ImagehlpApiVersionEx;code;dbghelp.dll;_ImagehlpApiVersionEx@4
MakeSureDirectoryPathExists;code;dbghelp.dll;_MakeSureDirectoryPathExists@4
MapDebugInformation;code;dbghelp.dll;_MapDebugInformation@16
MiniDumpReadDumpStream;code;dbghelp.dll;_MiniDumpReadDumpStream@20
MiniDumpWriteDump;code;dbghelp.dll;_MiniDumpWriteDump@28
RangeMapAddPeImageSections;code;dbghelp.dll;_RangeMapAddPeImageSections@36
RangeMapCreate;code;dbghelp.dll;_RangeMapCreate@0
RangeMapFree;code;dbghelp.dll;_RangeMapFree@4
RangeMapRead;code;dbghelp.dll;_RangeMapRead@28
RangeMapRemove;code;dbghelp.dll;_RangeMapRemove@12
RangeMapWrite;code;dbghelp.dll;_RangeMapWrite@28
RemoveInvalidModuleList;code;dbghelp.dll;_RemoveInvalidModuleList@4
ReportSymbolLoadSummary;code;dbghelp.dll;_ReportSymbolLoadSummary@12
SearchTreeForFile;code;dbghelp.dll;_SearchTreeForFile@12
SearchTreeForFileW;code;dbghelp.dll;_SearchTreeForFileW@12
SetCheckUserInterruptShared;code;dbghelp.dll;_SetCheckUserInterruptShared@4
SetSymLoadError;code;dbghelp.dll;_SetSymLoadError@4
StackWalk64;code;dbghelp.dll;_StackWalk64@36
StackWalk;code;dbghelp.dll;_StackWalk@36
StackWalkEx;code;dbghelp.dll;_StackWalkEx@40
SymAddSourceStream;code;dbghelp.dll;_SymAddSourceStream@24
SymAddSourceStreamA;code;dbghelp.dll;_SymAddSourceStreamA@24
SymAddSourceStreamW;code;dbghelp.dll;_SymAddSourceStreamW@24
SymAddSymbol;code;dbghelp.dll;_SymAddSymbol@32
SymAddSymbolW;code;dbghelp.dll;_SymAddSymbolW@32
SymAddrIncludeInlineTrace;code;dbghelp.dll;_SymAddrIncludeInlineTrace@12
SymCleanup;code;dbghelp.dll;_SymCleanup@4
SymCompareInlineTrace;code;dbghelp.dll;_SymCompareInlineTrace@40
SymDeleteSymbol;code;dbghelp.dll;_SymDeleteSymbol@28
SymDeleteSymbolW;code;dbghelp.dll;_SymDeleteSymbolW@28
SymEnumLines;code;dbghelp.dll;_SymEnumLines@28
SymEnumLinesW;code;dbghelp.dll;_SymEnumLinesW@28
SymEnumProcesses;code;dbghelp.dll;_SymEnumProcesses@8
SymEnumSourceFileTokens;code;dbghelp.dll;_SymEnumSourceFileTokens@16
SymEnumSourceFiles;code;dbghelp.dll;_SymEnumSourceFiles@24
SymEnumSourceFilesW;code;dbghelp.dll;_SymEnumSourceFilesW@24
SymEnumSourceLines;code;dbghelp.dll;_SymEnumSourceLines@36
SymEnumSourceLinesW;code;dbghelp.dll;_SymEnumSourceLinesW@36
SymEnumSym;code;dbghelp.dll;_SymEnumSym@20
SymEnumSymbols;code;dbghelp.dll;_SymEnumSymbols@24
SymEnumSymbolsEx;code;dbghelp.dll;_SymEnumSymbolsEx@28
SymEnumSymbolsExW;code;dbghelp.dll;_SymEnumSymbolsExW@28
SymEnumSymbolsForAddr;code;dbghelp.dll;_SymEnumSymbolsForAddr@20
SymEnumSymbolsForAddrW;code;dbghelp.dll;_SymEnumSymbolsForAddrW@20
SymEnumSymbolsW;code;dbghelp.dll;_SymEnumSymbolsW@24
SymEnumTypes;code;dbghelp.dll;_SymEnumTypes@20
SymEnumTypesByName;code;dbghelp.dll;_SymEnumTypesByName@24
SymEnumTypesByNameW;code;dbghelp.dll;_SymEnumTypesByNameW@24
SymEnumTypesW;code;dbghelp.dll;_SymEnumTypesW@20
SymEnumerateModules64;code;dbghelp.dll;_SymEnumerateModules64@12
SymEnumerateModules;code;dbghelp.dll;_SymEnumerateModules@12
SymEnumerateModulesW64;code;dbghelp.dll;_SymEnumerateModulesW64@12
SymEnumerateSymbols64;code;dbghelp.dll;_SymEnumerateSymbols64@20
