Name;Type;DLL;SymbolOrOrdinal
_AddRefContext@4;code;FCACHDLL.dll;
_AssociateContextWithName@36;code;FCACHDLL.dll;
_AssociateFile@4;code;FCACHDLL.dll;
_AssociateFileEx@12;code;FCACHDLL.dll;
_CacheCreateFile@16;code;FCACHDLL.dll;
_CacheRemoveFiles@8;code;FCACHDLL.dll;
_CacheRichCreateFile@16;code;FCACHDLL.dll;
_CloseNonCachedFile@4;code;FCACHDLL.dll;
_CompleteDotStuffingOnWrites@8;code;FCACHDLL.dll;
_FIOInitialize@4;code;FCACHDLL.dll;
_FIOReadFile@16;code;FCACHDLL.dll;
_FIOReadFileEx@28;code;FCACHDLL.dll;
_FIOTerminate@0;code;FCACHDLL.dll;
_FIOWriteFile@16;code;FCACHDLL.dll;
_FIOWriteFileEx@28;code;FCACHDLL.dll;
_FindContextFromName@32;code;FCACHDLL.dll;
_FindOrCreateNameCache@20;code;FCACHDLL.dll;
_FindSyncContextFromName@32;code;FCACHDLL.dll;
_GetDotStuffState@16;code;FCACHDLL.dll;
_GetFileSizeFromContext@8;code;FCACHDLL.dll;
_GetIsFileDotTerminated@4;code;FCACHDLL.dll;
_InitializeCache@0;code;FCACHDLL.dll;
_InsertFile@12;code;FCACHDLL.dll;
_InvalidateName@12;code;FCACHDLL.dll;
_ProduceDotStuffedContext@12;code;FCACHDLL.dll;
_ProduceDotStuffedContextInContext@16;code;FCACHDLL.dll;
_ReleaseContext@4;code;FCACHDLL.dll;
_ReleaseNameCache@4;code;FCACHDLL.dll;
_SetDotScanningOnReads@8;code;FCACHDLL.dll;
_SetDotScanningOnWrites@8;code;FCACHDLL.dll;
_SetDotStuffState@12;code;FCACHDLL.dll;
_SetDotStuffingOnWrites@12;code;FCACHDLL.dll;
_SetIsFileDotTerminated@8;code;FCACHDLL.dll;
_SetNameCacheSecurityFunction@8;code;FCACHDLL.dll;
_TerminateCache@0;code;FCACHDLL.dll;
