Name;Type;DLL;SymbolOrOrdinal
XRegThunkEntry;code;MSACM32.dll;_XRegThunkEntry@36
acmDriverAddA;code;MSACM32.dll;_acmDriverAddA@20
acmDriverAddW;code;MSACM32.dll;_acmDriverAddW@20
acmDriverClose;code;MSACM32.dll;_acmDriverClose@8
acmDriverDetailsA;code;MSACM32.dll;_acmDriverDetailsA@12
acmDriverDetailsW;code;MSACM32.dll;_acmDriverDetailsW@12
acmDriverEnum;code;MSACM32.dll;_acmDriverEnum@12
acmDriverID;code;MSACM32.dll;_acmDriverID@12
acmDriverMessage;code;MSACM32.dll;_acmDriverMessage@16
acmDriverOpen;code;MSACM32.dll;_acmDriverOpen@12
acmDriverPriority;code;MSACM32.dll;_acmDriverPriority@12
acmDriverRemove;code;MSACM32.dll;_acmDriverRemove@8
acmFilterChooseA;code;MSACM32.dll;_acmFilterChooseA@4
acmFilterChooseW;code;MSACM32.dll;_acmFilterChooseW@4
acmFilterDetailsA;code;MSACM32.dll;_acmFilterDetailsA@12
acmFilterDetailsW;code;MSACM32.dll;_acmFilterDetailsW@12
acmFilterEnumA;code;MSACM32.dll;_acmFilterEnumA@20
acmFilterEnumW;code;MSACM32.dll;_acmFilterEnumW@20
acmFilterTagDetailsA;code;MSACM32.dll;_acmFilterTagDetailsA@12
acmFilterTagDetailsW;code;MSACM32.dll;_acmFilterTagDetailsW@12
acmFilterTagEnumA;code;MSACM32.dll;_acmFilterTagEnumA@20
acmFilterTagEnumW;code;MSACM32.dll;_acmFilterTagEnumW@20
acmFormatChooseA;code;MSACM32.dll;_acmFormatChooseA@4
acmFormatChooseW;code;MSACM32.dll;_acmFormatChooseW@4
acmFormatDetailsA;code;MSACM32.dll;_acmFormatDetailsA@12
acmFormatDetailsW;code;MSACM32.dll;_acmFormatDetailsW@12
acmFormatEnumA;code;MSACM32.dll;_acmFormatEnumA@20
acmFormatEnumW;code;MSACM32.dll;_acmFormatEnumW@20
acmFormatSuggest;code;MSACM32.dll;_acmFormatSuggest@20
acmFormatTagDetailsA;code;MSACM32.dll;_acmFormatTagDetailsA@12
acmFormatTagDetailsW;code;MSACM32.dll;_acmFormatTagDetailsW@12
acmFormatTagEnumA;code;MSACM32.dll;_acmFormatTagEnumA@20
acmFormatTagEnumW;code;MSACM32.dll;_acmFormatTagEnumW@20
acmGetVersion;code;MSACM32.dll;_acmGetVersion@0
acmMessage32;code;MSACM32.dll;_acmMessage32@24
acmMetrics;code;MSACM32.dll;_acmMetrics@12
acmStreamClose;code;MSACM32.dll;_acmStreamClose@8
acmStreamConvert;code;MSACM32.dll;_acmStreamConvert@12
acmStreamMessage;code;MSACM32.dll;_acmStreamMessage@16
acmStreamOpen;code;MSACM32.dll;_acmStreamOpen@32
acmStreamPrepareHeader;code;MSACM32.dll;_acmStreamPrepareHeader@12
acmStreamReset;code;MSACM32.dll;_acmStreamReset@8
acmStreamSize;code;MSACM32.dll;_acmStreamSize@16
acmStreamUnprepareHeader;code;MSACM32.dll;_acmStreamUnprepareHeader@12
