Name;Type;DLL;SymbolOrOrdinal
ChangeEntryType;code;RASAPI32.dll;_ChangeEntryType@8
ClosePhonebookFile;code;RASAPI32.dll;_ClosePhonebookFile@4
ComputeHashFromEntryName;code;RASAPI32.dll;_ComputeHashFromEntryName@8
CopyToPbport;code;RASAPI32.dll;_CopyToPbport@8
CreateEntryNode;code;RASAPI32.dll;_CreateEntryNode@4
CreateLinkNode;code;RASAPI32.dll;_CreateLinkNode@0
CreatePhoneNode;code;RASAPI32.dll;_CreatePhoneNode@0
CreatePortNode;code;RASAPI32.dll;_CreatePortNode@0
DDMComputeLuid;code;RASAPI32.dll;_DDMComputeLuid@4
DDMFreeDialingParam;code;RASAPI32.dll;_DDMFreeDialingParam@4
DDMFreePhonebookContext;code;RASAPI32.dll;_DDMFreePhonebookContext@4
DDMFreeRemoteEndpoint;code;RASAPI32.dll;_DDMFreeRemoteEndpoint@8
DDMGetAddressesFromPhonebook;code;RASAPI32.dll;_DDMGetAddressesFromPhonebook@16
DDMGetEapInfo;code;RASAPI32.dll;_DDMGetEapInfo@20
DDMGetEapUserIdentityW;code;RASAPI32.dll;_DDMGetEapUserIdentityW@20
DDMGetPhoneBookContext;code;RASAPI32.dll;_DDMGetPhoneBookContext@12
DDMGetPhonebookInfo;code;RASAPI32.dll;_DDMGetPhonebookInfo@84
DDMGetProtocolStartParams;code;RASAPI32.dll;_DDMGetProtocolStartParams@32
DDMGetRasDialParams;code;RASAPI32.dll;_DDMGetRasDialParams@4
DDMGetRasDialingParams;code;RASAPI32.dll;_DDMGetRasDialingParams@40
DDMGetTunnelEndpoints;code;RASAPI32.dll;_DDMGetTunnelEndpoints@16
DDMRasPbkEntryCleanup;code;RASAPI32.dll;_DDMRasPbkEntryCleanup@4
DDMUpdateProtocolConfigInfoFromEntry;code;RASAPI32.dll;_DDMUpdateProtocolConfigInfoFromEntry@12
DestroyEntryNode;code;RASAPI32.dll;_DestroyEntryNode@4
DestroyLinkNode;code;RASAPI32.dll;_DestroyLinkNode@4
DestroyPhoneNode;code;RASAPI32.dll;_DestroyPhoneNode@4
DestroyPortNode;code;RASAPI32.dll;_DestroyPortNode@4
DoesProtocolListInfoContain;code;RASAPI32.dll;_DoesProtocolListInfoContain@8
DuplicateEntryNode;code;RASAPI32.dll;_DuplicateEntryNode@4
DuplicatePhoneNode;code;RASAPI32.dll;_DuplicatePhoneNode@4
DwCloneEntry;code;RASAPI32.dll;_DwCloneEntry@12
DwEnumEntryDetails;code;RASAPI32.dll;_DwEnumEntryDetails@16
DwEnumEntryDetailsEx;code;RASAPI32.dll;_DwEnumEntryDetailsEx@20
DwGetCustomAuthData;code;RASAPI32.dll;_DwGetCustomAuthData@12
DwGetCustomDllEntryPoint;code;RASAPI32.dll;_DwGetCustomDllEntryPoint@28
DwGetEntryMode;code;RASAPI32.dll;_DwGetEntryMode@16
DwRasUninitialize;code;RASAPI32.dll;_DwRasUninitialize@0
DwSetCustomAuthData;code;RASAPI32.dll;_DwSetCustomAuthData@12
EnableOrDisableNetComponent;code;RASAPI32.dll;_EnableOrDisableNetComponent@12
EntryNodeFromName;code;RASAPI32.dll;_EntryNodeFromName@8
FIsNetComponentListed;code;RASAPI32.dll;_FIsNetComponentListed@16
GetAutoTriggerProfileInfo;code;RASAPI32.dll;_GetAutoTriggerProfileInfo@24
GetCountryCodeAndID;code;RASAPI32.dll;_GetCountryCodeAndID@4
GetFirstPhoneNode;code;RASAPI32.dll;_GetFirstPhoneNode@4
GetOverridableParam;code;RASAPI32.dll;_GetOverridableParam@12
GetPbkAndEntryName;code;RASAPI32.dll;_GetPbkAndEntryName@20
GetPersonalPhonebookPath;code;RASAPI32.dll;_GetPersonalPhonebookPath@12
GetPhonebookDirectory;code;RASAPI32.dll;_GetPhonebookDirectory@12
GetPreferredDestinationForEntry;code;RASAPI32.dll;_GetPreferredDestinationForEntry@12
GetPublicPhonebookPath;code;RASAPI32.dll;_GetPublicPhonebookPath@8
IsActiveAutoTriggerConnection;code;RASAPI32.dll;_IsActiveAutoTriggerConnection@16
IsActiveAutoTriggerConnectionEx;code;RASAPI32.dll;_IsActiveAutoTriggerConnectionEx@20
IsCredentialIsolationEnabled;code;RASAPI32.dll;_IsCredentialIsolationEnabled@0
IsProtocolListInfoEmpty;code;RASAPI32.dll;_IsProtocolListInfoEmpty@8
IsProtocolListInfoValid;code;RASAPI32.dll;_IsProtocolListInfoValid@4
IsPublicPhonebook;code;RASAPI32.dll;_IsPublicPhonebook@4
IsRouterPhonebook;code;RASAPI32.dll;_IsRouterPhonebook@4
IsValidPbportForVPNStrategy;code;RASAPI32.dll;_IsValidPbportForVPNStrategy@8
LoadPortsList2;code;RASAPI32.dll;_LoadPortsList2@12
PbdevicetypeFromPszType;code;RASAPI32.dll;_PbdevicetypeFromPszType@4
RasAutoDialSharedConnection;code;RASAPI32.dll;_RasAutoDialSharedConnection@0
RasAutodialAddressToNetwork;code;RASAPI32.dll;_RasAutodialAddressToNetwork@12
RasAutodialEntryToNetwork;code;RASAPI32.dll;_RasAutodialEntryToNetwork@12
RasClearConnectionStatistics;code;RASAPI32.dll;_RasClearConnectionStatistics@4
RasClearLinkStatistics;code;RASAPI32.dll;_RasClearLinkStatistics@8
RasCompleteDialMachineCleanup;code;RASAPI32.dll;_RasCompleteDialMachineCleanup@0
RasConfigUserProxySettingsW;code;RASAPI32.dll;_RasConfigUserProxySettingsW@8
RasConnectionNotificationA;code;RASAPI32.dll;_RasConnectionNotificationA@12
RasConnectionNotificationW;code;RASAPI32.dll;_RasConnectionNotificationW@12
RasCreatePhonebookEntryA;code;RASAPI32.dll;_RasCreatePhonebookEntryA@8
RasCreatePhonebookEntryW;code;RASAPI32.dll;_RasCreatePhonebookEntryW@8
RasDeleteEntryA;code;RASAPI32.dll;_RasDeleteEntryA@8
RasDeleteEntryW;code;RASAPI32.dll;_RasDeleteEntryW@8
RasDeleteSubEntryA;code;RASAPI32.dll;_RasDeleteSubEntryA@12
