Name;Type;DLL;SymbolOrOrdinal
RtwqAddPeriodicCallback;code;RTWorkQ.DLL;_RtwqAddPeriodicCallback@12
RtwqAllocateSerialWorkQueue;code;RTWorkQ.DLL;_RtwqAllocateSerialWorkQueue@8
RtwqAllocateWorkQueue;code;RTWorkQ.DLL;_RtwqAllocateWorkQueue@8
RtwqBeginRegisterWorkQueueWithMMCSS;code;RTWorkQ.DLL;_RtwqBeginRegisterWorkQueueWithMMCSS@24
RtwqBeginUnregisterWorkQueueWithMMCSS;code;RTWorkQ.DLL;_RtwqBeginUnregisterWorkQueueWithMMCSS@12
RtwqCancelWorkItem;code;RTWorkQ.DLL;_RtwqCancelWorkItem@8
RtwqCreateAsyncResult;code;RTWorkQ.DLL;_RtwqCreateAsyncResult@16
RtwqEndRegisterWorkQueueWithMMCSS;code;RTWorkQ.DLL;_RtwqEndRegisterWorkQueueWithMMCSS@8
RtwqEndUnregisterWorkQueueWithMMCSS;code;RTWorkQ.DLL;_RtwqEndUnregisterWorkQueueWithMMCSS@4
RtwqGetWorkQueueMMCSSClass;code;RTWorkQ.DLL;_RtwqGetWorkQueueMMCSSClass@12
RtwqGetWorkQueueMMCSSPriority;code;RTWorkQ.DLL;_RtwqGetWorkQueueMMCSSPriority@8
RtwqGetWorkQueueMMCSSTaskId;code;RTWorkQ.DLL;_RtwqGetWorkQueueMMCSSTaskId@8
RtwqInvokeCallback;code;RTWorkQ.DLL;_RtwqInvokeCallback@4
RtwqJoinWorkQueue;code;RTWorkQ.DLL;_RtwqJoinWorkQueue@12
RtwqLockPlatform;code;RTWorkQ.DLL;_RtwqLockPlatform@0
RtwqLockSharedWorkQueue;code;RTWorkQ.DLL;_RtwqLockSharedWorkQueue@16
RtwqLockWorkQueue;code;RTWorkQ.DLL;_RtwqLockWorkQueue@4
RtwqPutWaitingWorkItem;code;RTWorkQ.DLL;_RtwqPutWaitingWorkItem@16
RtwqPutWorkItem;code;RTWorkQ.DLL;_RtwqPutWorkItem@12
RtwqRegisterPlatformEvents;code;RTWorkQ.DLL;_RtwqRegisterPlatformEvents@4
RtwqRegisterPlatformWithMMCSS;code;RTWorkQ.DLL;_RtwqRegisterPlatformWithMMCSS@12
RtwqRemovePeriodicCallback;code;RTWorkQ.DLL;_RtwqRemovePeriodicCallback@4
RtwqScheduleWorkItem;code;RTWorkQ.DLL;_RtwqScheduleWorkItem@16
RtwqSetLongRunning;code;RTWorkQ.DLL;_RtwqSetLongRunning@8
RtwqShutdown;code;RTWorkQ.DLL;_RtwqShutdown@0
RtwqStartup;code;RTWorkQ.DLL;_RtwqStartup@0
RtwqUnjoinWorkQueue;code;RTWorkQ.DLL;_RtwqUnjoinWorkQueue@8
RtwqUnlockPlatform;code;RTWorkQ.DLL;_RtwqUnlockPlatform@0
RtwqUnlockWorkQueue;code;RTWorkQ.DLL;_RtwqUnlockWorkQueue@4
RtwqUnregisterPlatformEvents;code;RTWorkQ.DLL;_RtwqUnregisterPlatformEvents@4
RtwqUnregisterPlatformFromMMCSS;code;RTWorkQ.DLL;_RtwqUnregisterPlatformFromMMCSS@0
