Name;Type;DLL;SymbolOrOrdinal
ClusWorkerStart;code;RESUTILS.dll;?ClusWorkerStart@@YGKPAU_WORK_CONTEXT@@@Z (unsigned long __stdcall ClusWorkerStart(struct _WORK_CONTEXT *))
CloseClusterCryptProvider;code;RESUTILS.dll;_CloseClusterCryptProvider@4
ClusWorkerCheckTerminate;code;RESUTILS.dll;_ClusWorkerCheckTerminate@4
ClusWorkerCreate;code;RESUTILS.dll;_ClusWorkerCreate@12
ClusWorkerTerminate;code;RESUTILS.dll;_ClusWorkerTerminate@4
ClusWorkerTerminateEx;code;RESUTILS.dll;_ClusWorkerTerminateEx@12
ClusWorkersTerminate;code;RESUTILS.dll;_ClusWorkersTerminate@16
ClusterClearBackupStateForSharedVolume;code;RESUTILS.dll;_ClusterClearBackupStateForSharedVolume@4
ClusterDecrypt;code;RESUTILS.dll;_ClusterDecrypt@20
ClusterEncrypt;code;RESUTILS.dll;_ClusterEncrypt@20
ClusterGetVolumeNameForVolumeMountPoint;code;RESUTILS.dll;_ClusterGetVolumeNameForVolumeMountPoint@12
ClusterGetVolumePathName;code;RESUTILS.dll;_ClusterGetVolumePathName@12
ClusterIsPathOnSharedVolume;code;RESUTILS.dll;_ClusterIsPathOnSharedVolume@4
ClusterPrepareSharedVolumeForBackup;code;RESUTILS.dll;_ClusterPrepareSharedVolumeForBackup@20
ClusterSharedVolumeCheckSnapshotPresence;code;RESUTILS.dll;_ClusterSharedVolumeCheckSnapshotPresence@4
ClusterSharedVolumeCreateSnapshot;code;RESUTILS.dll;_ClusterSharedVolumeCreateSnapshot@8
ClusterSharedVolumeReleaseSnapshot;code;RESUTILS.dll;_ClusterSharedVolumeReleaseSnapshot@4
CreateClusterStorageSpacesClustering;code;RESUTILS.dll;_CreateClusterStorageSpacesClustering@8
CreateClusterStorageSpacesResourceLocator;code;RESUTILS.dll;_CreateClusterStorageSpacesResourceLocator@4
CreateClusterStorageSpacesSubProvider;code;RESUTILS.dll;_CreateClusterStorageSpacesSubProvider@8
FreeClusterCrypt;code;RESUTILS.dll;_FreeClusterCrypt@4
OpenClusterCryptProvider;code;RESUTILS.dll;_OpenClusterCryptProvider@16
ResUtilAddUnknownProperties;code;RESUTILS.dll;_ResUtilAddUnknownProperties@24
ResUtilCreateDirectoryTree;code;RESUTILS.dll;_ResUtilCreateDirectoryTree@4
ResUtilDupParameterBlock;code;RESUTILS.dll;_ResUtilDupParameterBlock@12
ResUtilDupString;code;RESUTILS.dll;_ResUtilDupString@4
ResUtilEnumPrivateProperties;code;RESUTILS.dll;_ResUtilEnumPrivateProperties@20
ResUtilEnumProperties;code;RESUTILS.dll;_ResUtilEnumProperties@20
ResUtilEnumResources;code;RESUTILS.dll;_ResUtilEnumResources@16
ResUtilEnumResourcesEx2;code;RESUTILS.dll;_ResUtilEnumResourcesEx2@24
ResUtilEnumResourcesEx;code;RESUTILS.dll;_ResUtilEnumResourcesEx@20
ResUtilExpandEnvironmentStrings;code;RESUTILS.dll;_ResUtilExpandEnvironmentStrings@4
ResUtilFindBinaryProperty;code;RESUTILS.dll;_ResUtilFindBinaryProperty@20
ResUtilFindDependentDiskResourceDriveLetter;code;RESUTILS.dll;_ResUtilFindDependentDiskResourceDriveLetter@16
ResUtilFindDwordProperty;code;RESUTILS.dll;_ResUtilFindDwordProperty@16
ResUtilFindExpandSzProperty;code;RESUTILS.dll;_ResUtilFindExpandSzProperty@16
ResUtilFindExpandedSzProperty;code;RESUTILS.dll;_ResUtilFindExpandedSzProperty@16
ResUtilFindFileTimeProperty;code;RESUTILS.dll;_ResUtilFindFileTimeProperty@16
ResUtilFindLongProperty;code;RESUTILS.dll;_ResUtilFindLongProperty@16
ResUtilFindMultiSzProperty;code;RESUTILS.dll;_ResUtilFindMultiSzProperty@20
ResUtilFindSzProperty;code;RESUTILS.dll;_ResUtilFindSzProperty@16
ResUtilFindULargeIntegerProperty;code;RESUTILS.dll;_ResUtilFindULargeIntegerProperty@16
ResUtilFreeEnvironment;code;RESUTILS.dll;_ResUtilFreeEnvironment@4
ResUtilFreeParameterBlock;code;RESUTILS.dll;_ResUtilFreeParameterBlock@12
ResUtilGetAllProperties;code;RESUTILS.dll;_ResUtilGetAllProperties@24
ResUtilGetBinaryProperty;code;RESUTILS.dll;_ResUtilGetBinaryProperty@28
ResUtilGetBinaryValue;code;RESUTILS.dll;_ResUtilGetBinaryValue@16
ResUtilGetClusterRoleState;code;RESUTILS.dll;_ResUtilGetClusterRoleState@8
ResUtilGetCoreClusterResources;code;RESUTILS.dll;_ResUtilGetCoreClusterResources@16
ResUtilGetCoreClusterResourcesEx;code;RESUTILS.dll;_ResUtilGetCoreClusterResourcesEx@16
ResUtilGetDwordProperty;code;RESUTILS.dll;_ResUtilGetDwordProperty@28
ResUtilGetDwordValue;code;RESUTILS.dll;_ResUtilGetDwordValue@16
ResUtilGetEnvironmentWithNetName;code;RESUTILS.dll;_ResUtilGetEnvironmentWithNetName@4
ResUtilGetFileTimeProperty;code;RESUTILS.dll;_ResUtilGetFileTimeProperty@40
ResUtilGetLongProperty;code;RESUTILS.dll;_ResUtilGetLongProperty@28
ResUtilGetMultiSzProperty;code;RESUTILS.dll;_ResUtilGetMultiSzProperty@28
ResUtilGetPrivateProperties;code;RESUTILS.dll;_ResUtilGetPrivateProperties@20
ResUtilGetProperties;code;RESUTILS.dll;_ResUtilGetProperties@24
ResUtilGetPropertiesToParameterBlock;code;RESUTILS.dll;_ResUtilGetPropertiesToParameterBlock@20
ResUtilGetProperty;code;RESUTILS.dll;_ResUtilGetProperty@16
ResUtilGetPropertyFormats;code;RESUTILS.dll;_ResUtilGetPropertyFormats@20
ResUtilGetPropertySize;code;RESUTILS.dll;_ResUtilGetPropertySize@16
ResUtilGetQwordValue;code;RESUTILS.dll;_ResUtilGetQwordValue@20
ResUtilGetResourceDependency;code;RESUTILS.dll;_ResUtilGetResourceDependency@8
ResUtilGetResourceDependencyByClass;code;RESUTILS.dll;_ResUtilGetResourceDependencyByClass@16
ResUtilGetResourceDependencyByClassEx;code;RESUTILS.dll;_ResUtilGetResourceDependencyByClassEx@20
ResUtilGetResourceDependencyByName;code;RESUTILS.dll;_ResUtilGetResourceDependencyByName@16
ResUtilGetResourceDependencyByNameAndClass;code;RESUTILS.dll;_ResUtilGetResourceDependencyByNameAndClass@24
ResUtilGetResourceDependencyByNameEx;code;RESUTILS.dll;_ResUtilGetResourceDependencyByNameEx@20
ResUtilGetResourceDependencyEx;code;RESUTILS.dll;_ResUtilGetResourceDependencyEx@12
ResUtilGetResourceDependentIPAddressProps;code;RESUTILS.dll;_ResUtilGetResourceDependentIPAddressProps@28
ResUtilGetResourceName;code;RESUTILS.dll;_ResUtilGetResourceName@12
ResUtilGetResourceNameDependency;code;RESUTILS.dll;_ResUtilGetResourceNameDependency@8
ResUtilGetResourceNameDependencyEx;code;RESUTILS.dll;_ResUtilGetResourceNameDependencyEx@12
ResUtilGetSzProperty;code;RESUTILS.dll;_ResUtilGetSzProperty@20
ResUtilGetSzValue;code;RESUTILS.dll;_ResUtilGetSzValue@8
ResUtilIsPathValid;code;RESUTILS.dll;_ResUtilIsPathValid@4
ResUtilIsResourceClassEqual;code;RESUTILS.dll;_ResUtilIsResourceClassEqual@8
ResUtilLeftPaxosIsLessThanRight;code;RESUTILS.dll;_ResUtilLeftPaxosIsLessThanRight@8
ResUtilPaxosComparer;code;RESUTILS.dll;_ResUtilPaxosComparer@8
ResUtilPropertyListFromParameterBlock;code;RESUTILS.dll;_ResUtilPropertyListFromParameterBlock@24
ResUtilRemoveResourceServiceEnvironment;code;RESUTILS.dll;_ResUtilRemoveResourceServiceEnvironment@12
ResUtilResourceTypesEqual;code;RESUTILS.dll;_ResUtilResourceTypesEqual@8
ResUtilResourcesEqual;code;RESUTILS.dll;_ResUtilResourcesEqual@8
ResUtilSetBinaryValue;code;RESUTILS.dll;_ResUtilSetBinaryValue@24
ResUtilSetDwordValue;code;RESUTILS.dll;_ResUtilSetDwordValue@16
ResUtilSetExpandSzValue;code;RESUTILS.dll;_ResUtilSetExpandSzValue@16
ResUtilSetMultiSzValue;code;RESUTILS.dll;_ResUtilSetMultiSzValue@24
ResUtilSetPrivatePropertyList;code;RESUTILS.dll;_ResUtilSetPrivatePropertyList@12
ResUtilSetPropertyParameterBlock;code;RESUTILS.dll;_ResUtilSetPropertyParameterBlock@28
ResUtilSetPropertyParameterBlockEx;code;RESUTILS.dll;_ResUtilSetPropertyParameterBlockEx@32
ResUtilSetPropertyTable;code;RESUTILS.dll;_ResUtilSetPropertyTable@28
ResUtilSetPropertyTableEx;code;RESUTILS.dll;_ResUtilSetPropertyTableEx@32
ResUtilSetQwordValue;code;RESUTILS.dll;_ResUtilSetQwordValue@20
ResUtilSetResourceServiceEnvironment;code;RESUTILS.dll;_ResUtilSetResourceServiceEnvironment@16
